rank,queue_bucket,partition_class,y_after_002,y_terminal,post_y_len,cisi,id,site,type,symbol,material,condition,dir,idx_002,prev2_before_002,prev1_before_002,next1_after_y,next2_after_y,text,source_grade,source_grade_label,source_hint_count,best_source_rank,best_source_file,best_status_text,best_source_url,best_local_image,best_sha256,best_note,source_files,queue_reason
110,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1166,3526.1,Mohenjo-daro,SEAL:S,Tigr,Steatite,Good,R/L,3,923,240,<END>,<END>,+740-923-240-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
111,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1177,3533.1,Mohenjo-daro,SEAL:S,CompBull,Steatite,Good,R/L,2,740,760,<END>,<END>,+740-760-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
112,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1226,3561.1,Mohenjo-daro,SEAL:S,Gaur,Steatite,Fair,R/L,5,235,233,<END>,<END>,+520-033-705-235-233-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
113,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1268,3575.1,Mohenjo-daro,SEAL:R,None,Steatite,Good,R/L,3,455,176,<END>,<END>,+740-455-176-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
114,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1299,3604.1,Mohenjo-daro,SEAL:R,None,Steatite,Good,R/L,5,705,233,<END>,<END>,+527-550-033-705-233-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
115,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1311,3616.1,Mohenjo-daro,SEAL:R,None,Steatite,Good,R/L,3,400,354,<END>,<END>,+520-400-354-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
116,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-14,2542.1,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Fine,R/L,3,776,503,<END>,<END>,+740-776-503-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
117,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-144,2671.1,Mohenjo-daro,SEAL:S,Bull1:J,Steatite,Good,R/L,4,415,240,<END>,<END>,+740-100-415-240-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
118,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-164,2690.1,Mohenjo-daro,SEAL:S,Bull1:X,Steatite,Fair,R/L,3,142,061,<END>,<END>,+740-142-061-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
119,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1693,2359.1,Mohenjo-daro,SEAL:S,Bull1,Steatite,Good,R/L,5,706,235,<END>,<END>,+527-555-033-706-235-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
120,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1708,2299.1,Mohenjo-daro,SEAL:S,Bull1:I,Steatite,Fair,R/L,3,585,017,<END>,<END>,+740-585-017-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
121,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1709,2268.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Poor,R/L,3,520,220,<END>,<END>,+621-520-220-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
122,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1711,2296.1,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Fair,R/L,3,760,049,<END>,<END>,+740-760-049-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
123,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1746,2283.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Good,R/L,5,415,240,<END>,<END>,+090-740-100-415-240-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
124,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1752,2457.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Fair,R/L,3,760,019,<END>,<END>,+740-760-019-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
125,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1844,2418.1,Mohenjo-daro,SEAL:S,Bull1:U,Steatite,Poor,R/L,2,390,004,<END>,<END>,+390-004-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
126,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1850,2188.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Poor,R/L,1,<START>,506,<END>,<END>,+506-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
127,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1927,2397.1,Mohenjo-daro,SEAL:S,Mult,Steatite,Fair,R/L,2,390,005,<END>,<END>,+390-005-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
128,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1961,2528.1,Mohenjo-daro,SEAL,NA,Steatite,Poor,R/L,2,406,072,<END>,<END>,+406-072-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
129,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-1976,2204.1,Mohenjo-daro,SEAL:R,None,Steatite,Fair,R/L,2,617,142,<END>,<END>,+617-142-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
130,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-198,2723.1,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Good,R/L,4,840,552,<END>,<END>,+740-760-840-552-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
131,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-204,2729.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Fair,R/L,2,740,061,<END>,<END>,+740-061-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
132,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-245,2768.1,Mohenjo-daro,SEAL:S,Gaur,Steatite,Good,R/L,6,460,503,<END>,<END>,+740-760-070-921-460-503-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
133,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-246,2769.1,Mohenjo-daro,SEAL:S,Gaur,Steatite,Fair,R/L,4,235,233,<END>,<END>,+740-503-235-233-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
134,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-259,2782.1,Mohenjo-daro,SEAL:S,Zebu,Steatite,Good,R/L,2,520,231,<END>,<END>,+520-231-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
135,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-278,2799.1,Mohenjo-daro,SEAL:S,Elep,Steatite,Good,R/L,3,390,004,<END>,<END>,+621-390-004-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
136,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-289,2809.1,Mohenjo-daro,SEAL:S,Tigr,Steatite,Fine,R/L,3,176,240,<END>,<END>,+740-176-240-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
137,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-362,2858.1,Mohenjo-daro,SEAL:R,None,Steatite,Fine,R/L,3,007,503,<END>,<END>,+740-007-503-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
138,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-364,2860.1,Mohenjo-daro,SEAL:R,None,Steatite,Good,R/L,2,740,354,<END>,<END>,+740-354-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
139,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-408,2904.1,Mohenjo-daro,SEAL:R,None,Steatite,Good,R/L,2,407,061,<END>,<END>,+407-061-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
140,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-42,2570.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Fair,R/L,3,550,240,<END>,<END>,+527-550-240-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
141,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-471,2956.1,Mohenjo-daro,TAB:B,None,NA,Fair,R/L,4,415,191,<END>,<END>,+740-100-415-191-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
142,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-58,2586.1,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Good,R/L,3,460,503,<END>,<END>,+740-460-503-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
143,closure_pole_route_needed,posthoc_closure_pole,817,false,2,M-644,3089.1,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Fair,R/L,5,740,240,090,370,+740-585-017-740-240-002-817-090-370+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
144,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-650,3094.1,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Fair,R/L,4,415,519,<END>,<END>,+520-220-415-519-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
145,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-732,3156.1,Mohenjo-daro,SEAL:S,Bull1:V,Steatite,Good,R/L,3,400,350,<END>,<END>,+520-400-350-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
146,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-792,3206.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Fair,R/L,4,575,017,<END>,<END>,+679-740-575-017-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
147,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-795,3209.1,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Poor,R/L,2,156,260,<END>,<END>,+156-260-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
148,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-816,3229.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Good,R/L,4,435,255,<END>,<END>,+740-690-435-255-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
149,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-819,3232.1,Mohenjo-daro,SEAL:S,Bull1:J,Steatite,Good,R/L,4,240,803,<END>,<END>,+520-233-240-803-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
150,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-839,3251.1,Mohenjo-daro,SEAL:S,Bull1:L,Steatite,Good,R/L,3,100,415,<END>,<END>,+740-100-415-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
151,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-851,3263.1,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Fair,R/L,4,390,590,<END>,<END>,+621-740-390-590-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
152,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-853,3265.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Fair,R/L,3,740,792,<END>,<END>,+090-740-792-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
153,closure_pole_route_needed,posthoc_closure_pole,817,false,2,M-855,3267.1,Mohenjo-daro,SEAL:S,Bull1,Steatite,Fair,R/L,5,390,590,690,544,+861-260-832-390-590-002-817-690-544+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
154,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-868,3278.1,Mohenjo-daro,SEAL:S,Bull1:W,NA,Fair,R/L,5,231,220,<END>,<END>,+520-033-705-231-220-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
155,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-895,3300.1,Mohenjo-daro,SEAL:S,Bull1,Steatite,Poor,R/L,2,740,048,<END>,<END>,+740-048-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
156,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-897,3302.1,Mohenjo-daro,SEAL:S,Bull1,Steatite,Poor,R/L,3,550,235,<END>,<END>,+527-550-235-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
157,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-90,2617.1,Mohenjo-daro,SEAL:S,Bull1:J,Steatite,Good,R/L,4,013,031,<END>,<END>,+740-840-013-031-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
158,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-903,3308.1,Mohenjo-daro,SEAL:S,Bull1,Steatite,Poor,R/L,2,740,772,<END>,<END>,+740-772-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
159,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-940,2243.1,Mohenjo-daro,SEAL:S,Bull1:J,Steatite,Good,R/L,2,527,555,<END>,<END>,+527-555-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
160,closure_pole_route_needed,posthoc_closure_pole,817,true,0,M-963,2263.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Poor,R/L,2,740,176,<END>,<END>,+740-176-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
161,closure_pole_route_needed,posthoc_closure_pole,817,true,0,Ns-54,5356.1,Nausharo,SEAL:S,Bull1:J,Steatite,Fair,R/L,2,740,222,<END>,<END>,+740-222-002-817+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 817 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
162,closure_pole_route_needed,posthoc_closure_pole,820,true,0,?-5,3894.1,Unknown,TAB:B,None,NA,Poor,R/L,2,555,233,<END>,<END>,+555-233-002-820+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 820 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
163,closure_pole_route_needed,posthoc_closure_pole,820,true,0,H-1045,246.1,Harappa,SEAL:S,Bull1:U,Steatite,Poor,R/L,3,900,005,<END>,<END>,+740-900-005-002-820+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 820 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
164,closure_pole_route_needed,posthoc_closure_pole,820,true,0,H-1076,3930.1,Harappa,SEAL:R,None,NA,Good,R/L,3,611,706,<END>,<END>,+740-611-706-002-820+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 820 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
165,closure_pole_route_needed,posthoc_closure_pole,820,true,0,H-149,1190.1,Harappa,SEAL:R,None,Steatite,Poor,R/L,7,630,220,<END>,<END>,+405-061-033-706-794-630-220-002-820+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 820 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
166,closure_pole_route_needed,posthoc_closure_pole,820,true,0,H-1680,634.1,Harappa,SEAL:S,Bull1:W,Steatite,Poor,R/L,2,390,003,<END>,<END>,+390-003-002-820+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 820 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
167,closure_pole_route_needed,posthoc_closure_pole,820,true,0,H-1882,466.1,Harappa,TAB:B,None,Faience,Fair,R/L,0,<START>,<START>,<END>,<END>,+002-820+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 820 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
168,closure_pole_route_needed,posthoc_closure_pole,820,true,0,H-1967,448.1,Harappa,TAB:B,Mult,Clay,Poor,R/L,3,760,382,<END>,<END>,+382-760-382-002-820+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 820 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
169,closure_pole_route_needed,posthoc_closure_pole,820,true,0,H-231,1258.1,Harappa,TAB:B,None,Faience,Fair,R/L,3,220,240,<END>,<END>,+520-220-240-002-820+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 820 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
170,closure_pole_route_needed,posthoc_closure_pole,820,true,0,H-244,1269.1,Harappa,TAB:B,None,Faience,Fair,R/L,1,<START>,104,<END>,<END>,+104-002-820+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 820 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
171,closure_pole_route_needed,posthoc_closure_pole,820,true,0,H-45,1104.1,Harappa,SEAL:S,Bull1:W,Steatite,Poor,R/L,3,740,101,<END>,<END>,+090-740-101-002-820+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Closure-pole sign 820 should be paired with branch-pole rows under comparable site/type/symbol/length conditions.
