sign,rows,circular_rows,circular_share,examples
562,1,0,0,
563,1,0,0,
564,5,0,0,
565,14,0,0,
571,1,0,0,
572,6,0,0,
573,1,0,0,
575,67,0,0,
576,1,0,0,
577,1,0,0,
578,2,0,0,
579,2,0,0,
585,44,0,0,
586,2,0,0,
591,1,0,0,
593,1,0,0,
595,45,0,0,
596,2,0,0,
597,4,0,0,
599,1,0,0,
600,5,0,0,
601,1,0,0,
602,1,0,0,
605,10,0,0,
606,1,0,0,
610,2,0,0,
611,6,0,0,
616,1,0,0,
617,58,0,0,
620,1,0,0,
621,22,0,0,
622,2,0,0,
623,1,0,0,
625,11,0,0,
626,8,0,0,
627,2,0,0,
628,1,0,0,
629,1,0,0,
630,27,0,0,
631,2,0,0,
633,1,0,0,
634,5,0,0,
635,1,0,0,
636,13,0,0,
637,4,0,0,
638,1,0,0,
639,1,0,0,
640,1,0,0,
641,1,0,0,
642,6,0,0,
643,4,0,0,
645,19,0,0,
646,1,0,0,
647,2,0,0,
678,2,0,0,
679,17,0,0,
680,2,0,0,
681,3,0,0,
682,1,0,0,
683,3,0,0,
684,1,0,0,
685,4,0,0,
686,1,0,0,
687,3,0,0,
689,2,0,0,
690,74,0,0,
693,1,0,0,
694,1,0,0,
697,7,0,0,
698,6,0,0,
699,1,0,0,
701,1,0,0,
702,10,0,0,
703,11,0,0,
704,4,0,0,
706,79,0,0,
707,1,0,0,
708,1,0,0,
709,1,0,0,
710,5,0,0,
711,8,0,0,
712,2,0,0,
713,1,0,0,
714,1,0,0,
715,1,0,0,
717,49,0,0,
718,1,0,0,
719,1,0,0,
720,3,0,0,
721,2,0,0,
722,1,0,0,
723,1,0,0,
727,2,0,0,
728,1,0,0,
729,1,0,0,
731,1,0,0,
732,2,0,0,
733,1,0,0,
734,1,0,0,
735,1,0,0,
736,1,0,0,
742,47,0,0,
743,2,0,0,
745,30,0,0,
746,9,0,0,
747,7,0,0,
748,2,0,0,
749,2,0,0,
750,1,0,0,
751,1,0,0,
752,21,0,0,
753,1,0,0,
759,2,0,0,
761,1,0,0,
762,1,0,0,
763,1,0,0,
764,1,0,0,
765,1,0,0,
766,1,0,0,
767,2,0,0,
768,1,0,0,
770,2,0,0,
772,10,0,0,
773,9,0,0,
776,8,0,0,
777,2,0,0,
778,1,0,0,
780,2,0,0,
781,1,0,0,
782,1,0,0,
783,1,0,0,
784,1,0,0,
785,2,0,0,
786,3,0,0,
791,6,0,0,
792,10,0,0,
793,1,0,0,
794,13,0,0,
795,2,0,0,
796,1,0,0,
797,4,0,0,
799,2,0,0,
801,1,0,0,
805,3,0,0,
808,8,0,0,
809,1,0,0,
810,2,0,0,
811,1,0,0,
812,9,0,0,
813,2,0,0,
814,2,0,0,
815,1,0,0,
816,1,0,0,
818,2,0,0,
821,10,0,0,
822,2,0,0,
824,19,0,0,
825,6,0,0,
826,1,0,0,
827,1,0,0,
828,3,0,0,
829,2,0,0,
830,1,0,0,
833,2,0,0,
834,2,0,0,
835,1,0,0,
836,2,0,0,
837,1,0,0,
838,15,0,0,
839,3,0,0,
841,1,0,0,
842,5,0,0,
843,3,0,0,
844,14,0,0,
845,21,0,0,
849,6,0,0,
850,38,0,0,
851,3,0,0,
852,3,0,0,
853,11,0,0,
854,2,0,0,
855,1,0,0,
856,3,0,0,
857,1,0,0,
858,1,0,0,
859,1,0,0,
860,1,0,0,
862,1,0,0,
863,1,0,0,
864,1,0,0,
865,3,0,0,
866,1,0,0,
868,5,0,0,
869,6,0,0,
870,3,0,0,
871,5,0,0,
872,1,0,0,
874,1,0,0,
875,1,0,0,
876,1,0,0,
878,1,0,0,
879,4,0,0,
880,11,0,0,
890,5,0,0,
891,2,0,0,
892,57,0,0,
893,4,0,0,
894,1,0,0,
895,1,0,0,
896,1,0,0,
897,1,0,0,
898,4,0,0,
899,3,0,0,
901,2,0,0,
902,1,0,0,
903,3,0,0,
905,8,0,0,
906,16,0,0,
907,1,0,0,
908,3,0,0,
909,3,0,0,
910,2,0,0,
911,1,0,0,
912,3,0,0,
913,2,0,0,
914,1,0,0,
918,1,0,0,
919,2,0,0,
921,16,0,0,
922,4,0,0,
925,1,0,0,
926,1,0,0,
927,10,0,0,
928,2,0,0,
930,7,0,0,
932,1,0,0,
940,2,0,0,
942,3,0,0,
943,1,0,0,
944,1,0,0,
945,1,0,0,
946,1,0,0,
947,1,0,0,
950,2,0,0,
951,1,0,0,
952,1,0,0,
953,1,0,0,
956,3,0,0,
957,1,0,0,
958,1,0,0,
999,15,0,0,
