object,site,region,type,material,shape,symbol,condition,complete,first_sign,target_position,text
H-2109,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,400,1,+400-740-681+
H-2070,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,400,1,+400-740-817-276+
H-2206,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,Y,740,0,+740-032-025+
H-1519,Harappa,Inter-Riverine,MISC,Copper,conical,NA,Poor,N,740,0,+740-032-000+
H-1711,Harappa,Inter-Riverine,SEAL:R,Steatite,rectangular,NA,Good,Y,740,0,+740-840-013-745-031-370+
M-182,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-416+
H-2135,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,Y,740,0,+740-920-318-700-692+
H-2093,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,820,1,]820-740[
H-2083,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Poor,N,740,0,+740-390-000+
H-2158,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,N,740,0,+740-900-000[
H-1945,Harappa,Inter-Riverine,TAB:B,Faience,prism,Fish,Poor,Y,400,1,+400-740-388-717-705+
M-176,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,740,0,+740-690+
M-879,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-400-142-061+
H-1883,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,740,0,+740-790-032+
H-1707,Harappa,Inter-Riverine,SEAL:R,Steatite,rectangular,NA,Poor,N,740,0,+740-760-838-240-000[
H-1705,Harappa,Inter-Riverine,SEAL:R,Steatite,rectangular,NA,Good,Y,740,0,+740-904-231-240-798-060-692+
H-1667,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-540-002-817+
H-2335,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,740,0,]740-000-000-923[
H-2339,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,740,0,]740-049-745-852+
H-1544,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,000,1,]000-740-900+
H-2013,Harappa,Inter-Riverine,TAB:B,Clay,rectangular-round,Bull1,Poor,N,090,1,+090-740-100-801-000+
H-1726,Harappa,Inter-Riverine,POT:T:s,Clay,rectangular,NA,Poor,Y,740,0,+740-100-692-491-002-817+
H-1791,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,400,1,+400-740-100[
M-1168,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Htgr,Good,Y,740,0,+740-482+
H-1657,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-405-590-032-900-003-806-235-220-032-002-690-921+
H-1774,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Scene,Good,Y,400,1,+400-740-335-482-175+
H-743,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,NA,Poor,Y,740,0,+740-752-482-240+
H-1851,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,740,0,+740-803-892-031-002-861+
H-1979,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Phyt,Poor,Y,740,0,+740-158-806-467+
H-1154,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Poor,?,740,0,]740-436-255[
H-1182,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,400,1,+400-740-817-175+
H-192,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Poor,N,740,0,+740-798-463-000+
H-1325,Harappa,Inter-Riverine,TAB:I,Steatite,fish,NA,Poor,N,740,0,+740-032-165-000+
H-734,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Poor,Y,740,0,+740-390-590-240+
H-966,Harappa,Inter-Riverine,TAB:I,NA,rectangular-rounded,NA,Fair,Y,740,0,+740-690-636-240+
H-2,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,232,1,+232-740-176-745-440-617+
H-3,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-585-017-002-611-615-703+
H-8,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,354,2,+354-001-740-405-590-033-706-002-690-921+
H-12,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-690-435-255-803-220-240-235-002-817+
H-13,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-760-615-503-002-817+
H-14,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,740,0,+740-772-240-060-415-056+
H-20,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,740,0,+740-176-690-435-255-220-032-806-060-550+
H-22,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,740,0,+740-920-320-233-806-002-405-321+
H-23,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-100-176-405-019+
H-24,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-626-176-033-705-233+
H-25,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-900-003-806-033-705-235-055+
H-26,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-388-231-240-798-001-820+
H-27,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,154,4,+154-806-468-001-740-877-032+
H-30,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,740,0,+740-760-033-706-000-000[
H-31,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,740,0,+740-100-415-240-002-365-374-000+
M-846,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740,0,+740-923+
H-36,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-798-220-742-146+
K-17,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Good,Y,740,0,+740-531+
H-39,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-390-590-231-240-235-745-060-920+
H-40,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-798-235-001-368-831-165+
H-42,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Poor,Y,740,0,+740-380-235-002-817+
H-45,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,090,1,+090-740-101-002-820+
H-46,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,740,0,+740-920-320-235+
H-47,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-752-482+
H-50,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-406-590-741-406-125+
H-51,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-643-240-002-861+
H-52,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Poor,N,740,0,+740-390-590-125-741-000-000+
H-56,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,Y,740,0,+740-176-060-692+
H-58,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,158,3,+158-806-468-740-752-231-235+
M-946,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-910+
H-60,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:II,Poor,Y,621,1,+621-740-900-003/002-820+
H-61,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:II,Poor,Y,740,0,+740-690-435-255-001-060-201+
H-63,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-100-717+
H-65,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:U,Good,Y,740,0,+740-032-028+
H-68,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Fair,Y,090,1,+090-740-220-003-002-390-072+
H-816,Harappa,Inter-Riverine,TAB:B,Faience,hexagonal,NA,Fair,Y,400,1,+400-740-390-590+
H-76,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Gaur,Good,Y,740,0,+740-100-240-235-741-175-132+
M-1815,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:I,Poor,Y,740,0,+740-615-703+
H-88,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Rhin,Fine,Y,740,0,+740-032-840-820+
H-96,Harappa,Inter-Riverine,SEAL:S,Steatite,square,CompBull,Fair,Y,368,1,+368-740-870+
H-101,Harappa,Inter-Riverine,SEAL:S,NA,square,NA,Good,Y,740,0,+740-760-440+
H-102,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,740,0,+740-630-240-741-861+
H-103,Harappa,Inter-Riverine,SEAL:S,Steatite,square,NA,Fair,Y,159,5,+159-097/520-033-705/740-717-220-415-806+
H-129,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,409,2,+409-061-740-235-220-031-002-861-244-165+
H-131,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,740,0,+740-032-840-233-240-033-706-055-002-595-575-794-000+
H-132,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Fine,Y,154,5,+154-806-471-407-845-740-233-231-798+
H-133,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,740,0,+740-554-220-415-798-060-692+
H-134,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-405-590-220-003-002-861+
H-135,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740,0,+740-773-231-806-002-861+
H-137,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,740,0,+740-443-388-033-705-233-002-817+
M-1321,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,740,0,+740-388[
H-140,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740,0,+740-384-032-002-817+
H-142,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,740,0,+740-267-811-832-060-692+
H-143,Harappa,Inter-Riverine,SEAL:R,Terracotta,rectangular,NA,Good,Y,154,4,+154-806-469-001-740-877-032+
K-475,Kalibangan,Inter-Riverine,MISC,Terracotta,NA,NA,Poor,Y,740,0,+740-840-013+
H-150,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,063,1,+063-740-918+
H-155,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-176-001-367-861-216+
M-1775,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-049+
H-158,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,154,4,+154-806-472-001-740-405-590+
H-700,Harappa,Inter-Riverine,TAB:B,NA,oval,Zebu,Poor,Y,740,0,+740-176-798-231+
M-1868,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Fair,?,740,0,+740-821[
H-187,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Good,Y,400,1,+400-740-463-495+
H-729,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Phyt,Poor,Y,740,0,+740-798-463-354+
H-196,Harappa,Inter-Riverine,TAB:B,Faience,cylindrical,Mult,Fair,Y,407,2,+407-590-740-072+
M-469,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Xhch,Fair,Y,400,1,+400-740-220-415-798+
H-205,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,740,0,+740-048-741-850+
H-206,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Good,Y,740,0,+740-642-240-204-705-621+
H-755,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,?,400,1,+400-740-405-590[
H-210,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,740,0,+740-100-176-101+
H-211,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,Y,400,1,+400-740-898-617+
H-441,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-337-484+
H-218,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,Y,740,0,+740-336-176+
H-232,Harappa,Inter-Riverine,TAB:B,Faience,notched oval,NA,Fair,Y,400,1,+400-740-177-519+
H-1141,Harappa,Inter-Riverine,TAB:B,NA,fish,Fish,Poor,Y,740,0,+740-032-840-679+
H-239,Harappa,Inter-Riverine,TAB:B,Faience,triangular,NA,Poor,Y,390,2,+390-060/740-500-091+
H-240,Harappa,Inter-Riverine,TAG:P,Clay,circular,NA,Good,Y,740,0,+740-904-032-233-803+
H-242,Harappa,Inter-Riverine,TAB:B,Faience,circular,Scene,Poor,N,400,1,+400-740-392-000-000-000-000-255-000+
H-245,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,400,2,+400-807-740-219+
H-247,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Poor,N,400,1,+400-740-335-000+
H-1313,Harappa,Inter-Riverine,TAB:I,Steatite,elliptical,NA,Poor,N,740,0,+740-840-000+
H-268,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-585-017-033-706-803-002-220-455-920+
H-270,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-482-055-220-415-798-803-742-617+
H-272,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,740,0,+740-585-017-240-002-305-032-904+
H-285,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,740,0,+740-382-002[
H-290,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Pipal,Fair,Y,740,0,+740-783-004+
H-291,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,N,400,1,+400-740-927-000-235+
H-296,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,400,1,+400-740-575-017-920+
H-1178,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Fair,Y,400,1,+400-740-636-240+
K-63,Kalibangan,Inter-Riverine,SEAL:R,Steatite,cuboid,NA,Fair,Y,400,1,+400-740-776-495+
H-988,Harappa,Inter-Riverine,TAB:I,Steatite,cuboid,Bult,Poor,Y,400,1,+400-740-636-240-031-032-171+
H-302,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,Y,400,2,+400-760-740-220-416+
H-304,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,740,0,+740-032-059+
H-310,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Poor,Y,740,0,+740-231-003+
H-959,Harappa,Inter-Riverine,TAB:I,Steatite,oval,NA,Fair,Y,400,1,+400-740-178+
M-1678,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,?,740,0,+740-100-240[
H-325,Harappa,Inter-Riverine,TAB:I,Steatite,notched rectangular-round,NA,Poor,Y,740,0,+740-926+
M-596,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,N,740,0,+740-000-000+
H-892,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,400,1,+400-740-336-176+
H-343,Harappa,Inter-Riverine,TAB:I,Steatite,circular,NA,Fair,Y,740,0,+740-861-877+
H-345,Harappa,Inter-Riverine,TAB:I,Steatite,circular,NA,Fair,Y,090,1,+090-740-362+
H-350,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Fair,Y,740,0,+740-690-642-240+
H-351,Harappa,Inter-Riverine,TAB:I,Steatite,prism,X,Good,Y,400,1,+400-740-032-060-013+
H-823,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,740,0,+740-636-240-060-692+
K-88,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Bull1,Poor,N,740,0,+740-000-000-000[
H-362,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Fair,Y,740,0,+740-760-797+
H-365,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Bult,Poor,N,740,0,+740-000-740-000-590-031+
H-383,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:Q,Poor,N,740,0,+740-585-017-033-705-002-000+
H-386,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,527,2,+527-555-740-055-240-415-798-060-201+
H-389,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,740,0,+740-405-590-235-002-031-480-625+
H-391,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:I,Poor,Y,740,0,+740-031-504-235-060-920+
L-189,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,090,1,+090-740-220-000[
H-408,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-176-240-002-702-503+
H-411,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-440-240-001-820+
H-417,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,740,0,+740-255-706-002-000[
H-420,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,407,3,+407-004-001-740-443-388-140+
H-421,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,679,1,+679-740-240-060-550+
H-431,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Poor,N,000,1,]000-740-798-240[
H-432,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,?,740,0,+740-575-017-235[
H-440,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,090,1,+090-740-240-031+
H-446,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-585-798-002-861-216+
H-449,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-390-590-240-741-390-728+
H-450,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-100-240-741-702-900-003+
H-452,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,Poor,Y,740,0,+740-266+
H-453,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,?,240,1,]240-740-017-503+
H-454,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-390-590-742-700+
H-457,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:J,Fair,Y,740,0,+740-798-003-002-416+
H-461,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:S,Good,N,090,1,+090-740-384-002-452-000+
H-465,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,?,740,0,]740-217+
H-466,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,Poor,N,740,0,+740-390-590-233-231-741-000+
H-468,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-900-003-002-940-705+
H-469,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-760-840-013+
H-471,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,?,740,0,+740-400-142-061-368[
H-472,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,740,0,+740-585-900-014-820+
H-474,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-900-482-484-900+
H-476,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,740,0,+740-100-717-002-000[
H-478,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-770-235-002-817+
H-479,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-405-590-790+
H-483,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,740,0,+740-032-840-233-060-550+
H-489,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:U,Poor,N,740,0,+740-017-000-233[
H-502,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,090,1,+090-740-220-032+
H-510,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,Y,740,0,+740-390-590-060-795+
M-1852,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1,Fair,Y,740,0,+740-900-005+
H-515,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-798-463-350-741-590-032+
H-519,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,Poor,Y,740,0,+740-904-033-741-700+
H-523,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull,Poor,N,740,0,+740-017-503-000-060-000[
H-537,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,740,0,+740-405-000[
M-1798,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-717+
H-563,Harappa,Inter-Riverine,SEAL,NA,NA,NA,Poor,?,740,0,+740-335-002-630[
M-265,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,090,1,+090-740-035-171-061+
H-569,Harappa,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,N,740,0,+740-032-840-240-220-032-000[
H-577,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Gaur,Poor,N,740,0,+740-784-004-000[
H-580,Harappa,Inter-Riverine,SEAL:S,NA,square,Gaur,Good,Y,740,0,+740-269-511-060-690+
H-586,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Zebu,Poor,Y,740,0,+740-877-032+
H-589,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Buff,Poor,Y,740,0,+740-900-005-033+
H-592,Harappa,Inter-Riverine,SEAL:S,NA,square,Gaur,Poor,Y,740,0,+740-575-017-220-415-803+
H-593,Harappa,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,N,740,0,+740-760-235-240-002-220-000[
H-597,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-390-590-070-032-002-861+
H-598,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,740,0,+740-639-240-002-435-255-777+
H-599,Harappa,Inter-Riverine,SEAL:S,NA,square,Mult,Poor,?,740,0,+740-760-512-495-741[
H-601,Harappa,Inter-Riverine,SEAL:S,Clay,square,Bull1,Poor,Y,740,0,+740-717-233-220-032+
H-603,Harappa,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,N,550,1,+550/740-142-000+
H-612,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,Poor,Y,740,0,+740-615-495-002-825+
H-612,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,Poor,Y,740,0,+740-892-590-893-001-615+
H-641,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,405,2,+405-061-740-100-503-705-000[
H-645,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,595,2,+595-632-740-550+
H-648,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Poor,N,353,2,+353-001-740-000[
H-654,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Poor,Y,405,2,+405-061-740-806+
M-324,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Mult,Fine,Y,740,0,+740-215+
H-659,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Fair,Y,407,3,+407-845-140-740-233-240-798-365-263+
-:1576.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,Y,740,0,+740-590-017+
H-666,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-007-503-626-484+
H-668,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,790,1,+790-740+
H-669,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,740,0,+740-220-032+
H-685,Harappa,Inter-Riverine,SEAL,NA,NA,NA,Poor,?,740,0,]740-904-032[
H-695,Harappa,Inter-Riverine,TAB:B,NA,square,Bull1:S,Fair,Y,740,0,+740-390-590-235-368-806+
M-1813,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Good,Y,740,0,+740-017-503+
H-720,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Poor,Y,740,0,+740-794+
H-722,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Poor,N,400,2,+400-090-740-000[
H-728,Harappa,Inter-Riverine,TAB:B,NA,rectangular,Phyt,Poor,Y,740,0,+740-798-460-015+
H-730,Harappa,Inter-Riverine,TAB:B,Faience,cylindrical,Phyt,Poor,N,740,0,+740-798-460-000+
M-1312,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,400,1,+400-740-220+
H-758,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Good,Y,740,0,+740-100-440+
H-763,Harappa,Inter-Riverine,TAB:B,Steatite,rectangular,NA,Poor,?,400,1,+400-740-920-320-233[
H-1117,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,?,740,0,+740-717-790[
H-768,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,N,400,1,+400-740-033-705-233-235-000+
H-773,Harappa,Inter-Riverine,TAB:B,Faience,plano-convex,NA,Fair,Y,740,0,+740-798-803-002-390-530-741+
H-776,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,740,0,+740-803-741-031-032-716+
H-779,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,N,000,2,+000-000-740-233-240+
H-783,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,NA,Poor,N,400,1,+400-740-690-000+
H-788,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,740,0,+740-255-000+
H-787,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,400,1,+400-740-176-700-033+
H-790,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,400,1,+400-740-384-033+
H-800,Harappa,Inter-Riverine,TAB:B,Faience,plano-convex,NA,Good,Y,740,0,+740-337-692-490+
H-802,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,400,1,+400-740-337-000+
H-804,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,N,000,1,+000-740-832-000+
H-817,Harappa,Inter-Riverine,TAB:B,Faience,notched oval,NA,Fair,Y,400,1,+400-740-336-018+
