object,site,region,type,material,shape,symbol,condition,complete,has_740,has_407,first_sign,first_740_position,first_407_position,text
M-1973,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Fair,Y,true,false,740,0,,+740-575-017-233-550-002-861+
M-1979,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Good,Y,true,false,740,0,,+740-923-013-820+
M-1991,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,N,true,false,000,1,,+000-740-227-220-000[
M-2045,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Gaur,Good,N,true,false,740,0,,+740-752-000-503+
M-2048,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Gaur,Poor,N,false,true,407,,0,+407-061-845-000-000+
M-2055,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Good,Y,false,true,002,,1,+002-407-125-590-831+
-:4161.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Good,Y,true,false,064,3,,+064-004-013-740-176+
-:4265.1,Dholavira,Gujarat/Kutch,SEAL:R,Steatite,rectangular,NA,Fair,N,true,false,000,2,,]000-001-740-798-235+
-:4274.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Fair,Y,true,false,832,2,,+832-001-740-176+
-:4277.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Poor,Y,true,false,740,0,,+740-067-900-002-003+
-:4284.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Fair,Y,false,true,590,,1,+590-407-790-001-746+
-:5252.1,Nuhato,Lower Indus,SEAL:R,NA,rectangular,NA,Poor,Y,true,false,740,0,,+740-900-803+
Ns-60,Nausharo,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fine,Y,true,true,407,2,0,+407-063-740-176-236-798-002-297-350-125-413+
-:5586.1,Unknown,Other,SEAL:R,NA,NA,NA,NA,Y,true,false,740,0,,+740-154-017-060-130-035-171+
