id,cisi,site,region,type,material,shape,symbol,cult,condition,complete,dir,class,text,text_dedup_key,strict_complete_closed,idx_002,prev1_before_002,prev2_before_002,y_after_002,next1_after_y,next2_after_y,post_y_len,y_terminal,continuation_class,context_scope
1175.1,H-134,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Good,Y,R/L,LP,+740-405-590-220-003-002-861+,740 405 590 220 003 002 861,true,5,003,220,861,<END>,<END>,0,true,terminal,other_after_002
1176.1,H-135,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Fine,Y,R/L,LP,+740-773-231-806-002-861+,740 773 231 806 002 861,true,4,806,231,861,<END>,<END>,0,true,terminal,other_after_002
1178.1,H-137,Harappa,Inter-Riverine,SEAL:R,-,rectangular,None,None,Good,Y,R/L,LP,+740-443-388-033-705-233-002-817+,740 443 388 033 705 233 002 817,true,6,233,705,817,<END>,<END>,0,true,terminal,other_after_002
1181.1,H-140,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Fine,Y,R/L,IT,+740-384-032-002-817+,740 384 032 002 817,true,3,032,384,817,<END>,<END>,0,true,terminal,after_032
1182.1,H-141,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Good,Y,R/L,LC,+405-032-900-003-070-002-233-235+,405 032 900 003 070 002 233 235,true,5,070,003,233,235,<END>,1,false,one_token_continuation,other_after_002
1190.1,H-149,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Poor,Y,R/L,LP,+405-061-033-706-794-630-220-002-820+,405 061 033 706 794 630 220 002 820,true,7,220,630,820,<END>,<END>,0,true,terminal,other_after_002
1204.1,H-164,Harappa,Inter-Riverine,SEAL:R,Steatite,rectangular,None,None,Poor,Y,R/L,SP,+161-097-002-817+,161 097 002 817,true,2,097,161,817,<END>,<END>,0,true,terminal,other_after_002
1211.1,H-177,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Scene,None,Fair,Y,R/L,SP,+700-033-151-706-031-002-817+,700 033 151 706 031 002 817,true,5,031,706,817,<END>,<END>,0,true,terminal,other_after_002
1258.1,H-231,Harappa,Inter-Riverine,TAB:B,Faience,elliptical,None,None,Fair,Y,R/L,SP,+520-220-240-002-820+,520 220 240 002 820,true,3,240,220,820,<END>,<END>,0,true,terminal,other_after_002
1269.1,H-244,Harappa,Inter-Riverine,TAB:B,Faience,circular,None,SAN,Fair,Y,R/L,IM,+104-002-820+,104 002 820,true,1,104,<START>,820,<END>,<END>,0,true,terminal,other_after_002
1277.1,H-252,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1278.1,H-253,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1279.1,H-254,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1280.1,H-255,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1281.1,H-256,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1282.1,H-257,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1283.1,H-258,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1284.1,H-259,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1285.1,H-260,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1286.1,H-261,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1287.1,H-262,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1288.1,H-263,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1289.1,H-264,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1290.1,H-265,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1293.1,H-268,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,Y,R/L,LP,+740-585-017-033-706-803-002-220-455-920+,740 585 017 033 706 803 002 220 455 920,true,6,803,706,220,455,920,2,false,multi_token_continuation,other_after_002
1296.1,H-272,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,-,Poor,Y,R/L,LP,+740-585-017-240-002-305-032-904+,740 585 017 240 002 305 032 904,true,4,240,017,305,032,904,2,false,continues_with_later_032,other_after_002
1297.1,H-273,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,-,Poor,N,R/L,??,]000-240-002-820+,000 240 002 820,false,2,240,000,820,<END>,<END>,0,true,terminal,other_after_002
1298.1,H-276,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1299.1,H-277,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1,None,Poor,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1314.1,H-292,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,None,SAN,Poor,Y,R/L,SS,+002-817+,002 817,true,0,<START>,<START>,817,<END>,<END>,0,true,terminal,other_after_002
1315.1,H-293,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,None,SAN,Fair,Y,R/L,SS,+002-817+,002 817,true,0,<START>,<START>,817,<END>,<END>,0,true,terminal,other_after_002
1394.1,H-375,Harappa,Inter-Riverine,POT:T:g,-,-,None,None,Good,N,R/L,??,]000-220-002-000[,000 220 002 000,false,2,220,000,000,<END>,<END>,0,true,terminal,other_after_002
1398.1,H-383,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:Q,SAN,Poor,N,R/L,??,+740-585-017-033-705-002-000+,740 585 017 033 705 002 000,false,5,705,033,000,<END>,<END>,0,true,terminal,other_after_002
1399.1,H-385,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAF,Poor,N,R/L,??,+000-220-002-595-632-354-850+,000 220 002 595 632 354 850,false,2,220,000,595,632,354,3,false,multi_token_continuation,other_after_002
1401.1,H-388,Harappa,Inter-Riverine,SEAL:S,-,square,Bull1:W,SAF,Good,Y,R/L,LP,+520-033-706-231-806-002-817+,520 033 706 231 806 002 817,true,5,806,231,817,<END>,<END>,0,true,terminal,other_after_002
1402.1,H-389,Harappa,Inter-Riverine,SEAL:S,-,square,Bull1:W,SAN,Good,Y,R/L,LP,+740-405-590-235-002-031-480-625+,740 405 590 235 002 031 480 625,true,4,235,590,031,480,625,2,false,multi_token_continuation,other_after_002
1410.1,H-405,Harappa,Inter-Riverine,SEAL:S,-,square,Bull1:W,SAN,Poor,Y,R/L,SP,+236-806-002-863+,236 806 002 863,true,2,806,236,863,<END>,<END>,0,true,terminal,other_after_002
1412.1,H-407,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAF,Fair,Y,R/L,IM,+390-003-002-817+,390 003 002 817,true,2,003,390,817,<END>,<END>,0,true,terminal,other_after_002
1413.1,H-408,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Fair,Y,R/L,SP,+740-176-240-002-702-503+,740 176 240 002 702 503,true,3,240,176,702,503,<END>,1,false,one_token_continuation,other_after_002
1414.1,H-410,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,SAN,Good,Y,R/L,SC,+368-840-830-002-861+,368 840 830 002 861,true,3,830,840,861,<END>,<END>,0,true,terminal,other_after_002
1420.1,H-417,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,-,Poor,N,R/L,??,+740-255-706-002-000[,740 255 706 002 000,false,3,706,255,000,<END>,<END>,0,true,terminal,other_after_002
1426.1,H-426,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,-,Poor,N,R/L,??,]000-240-235-002-460-511+,000 240 235 002 460 511,false,3,235,240,460,511,<END>,1,false,one_token_continuation,other_after_002
1434.1,H-444,Harappa,Inter-Riverine,SEAL:S,-,square,Bull1:W,SAF,Good,Y,R/L,SP,+241-220-032-002-861+,241 220 032 002 861,true,3,032,220,861,<END>,<END>,0,true,terminal,after_032
1435.1,H-445,Harappa,Inter-Riverine,SEAL:S,-,square,Bull1:W,SAF,Poor,N,R/L,??,]235-803-002-000+,235 803 002 000,false,2,803,235,000,<END>,<END>,0,true,terminal,other_after_002
1436.1,H-446,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,SAN,Fair,Y,R/L,SP,+740-585-798-002-861-216+,740 585 798 002 861 216,true,3,798,585,861,216,<END>,1,false,one_token_continuation,other_after_002
1445.1,H-455,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,SAN,Poor,Y,R/L,IT,+520-033-705-002-172-032+,520 033 705 002 172 032,true,3,705,033,172,032,<END>,1,false,one_token_continuation,other_after_002
1446.1,H-456,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,SAN,Fair,Y,R/L,IT,+520-033-706-002-817-808+,520 033 706 002 817 808,true,3,706,033,817,808,<END>,1,false,one_token_continuation,other_after_002
1447.1,H-457,Harappa,Inter-Riverine,SEAL:S,-,square,Bull1:J,SAF,Fair,Y,R/L,IT,+740-798-003-002-416+,740 798 003 002 416,true,3,003,798,416,<END>,<END>,0,true,terminal,other_after_002
1449.1,H-459,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:T,SAN,Poor,Y,R/L,SP,+527-555-231-002-817+,527 555 231 002 817,true,3,231,555,817,<END>,<END>,0,true,terminal,other_after_002
1450.1,H-461,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:S,SAF,Good,N,R/L,??,+090-740-384-002-452-000+,090 740 384 002 452 000,false,3,384,740,452,000,<END>,1,false,one_token_continuation,other_after_002
1452.1,H-464,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:U,SAF,Poor,N,R/L,??,+000-176-002-798-590-032+,000 176 002 798 590 032,false,2,176,000,798,590,032,2,false,continues_with_later_032,other_after_002
1456.1,H-468,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,HAF,Good,Y,R/L,LP,+740-900-003-002-940-705+,740 900 003 002 940 705,true,3,003,900,940,705,<END>,1,false,one_token_continuation,other_after_002
1463.1,H-476,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,N,R/L,??,+740-100-717-002-000[,740 100 717 002 000,false,3,717,100,000,<END>,<END>,0,true,terminal,other_after_002
1466.1,H-478,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Fair,Y,R/L,SP,+740-770-235-002-817+,740 770 235 002 817,true,3,235,770,817,<END>,<END>,0,true,terminal,other_after_002
1468.1,H-480,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,SAN,Poor,?,R/L,UC,]002-416+,002 416,false,0,<START>,<START>,416,<END>,<END>,0,true,terminal,other_after_002
1472.1,H-484,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,-,Poor,?,R/L,UC,]233-002-817+,233 002 817,false,1,233,<START>,817,<END>,<END>,0,true,terminal,other_after_002
1474.1,H-486,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,-,Poor,N,R/L,??,]002-000-861-031+,002 000 861 031,false,0,<START>,<START>,000,861,031,2,false,multi_token_continuation,other_after_002
1479.1,H-501,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,SAN,Poor,Y,R/L,SP,+520-233-803-002-817+,520 233 803 002 817,true,3,803,233,817,<END>,<END>,0,true,terminal,other_after_002
1484.1,H-506,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,SAN,Good,Y,R/L,LC,+294-350-595-820-002-820+,294 350 595 820 002 820,true,4,820,595,820,<END>,<END>,0,true,terminal,other_after_002
1485.1,H-507,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,SAN,Poor,N,R/L,??,]000-032-002-820+,000 032 002 820,false,2,032,000,820,<END>,<END>,0,true,terminal,after_032
1491.1,H-514,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,RAN,Fair,Y,R/L,SP,+151-220-016-002-820+,151 220 016 002 820,true,3,016,220,820,<END>,<END>,0,true,terminal,other_after_002
1515.1,H-561,Harappa,Inter-Riverine,SEAL:S,-,square,-,-,Poor,N,R/L,??,+226-002-000[,226 002 000,false,1,226,<START>,000,<END>,<END>,0,true,terminal,other_after_002
1517.1,H-563,Harappa,Inter-Riverine,SEAL,-,-,-,-,Poor,?,R/L,UC,+740-335-002-630[,740 335 002 630,false,2,335,740,630,<END>,<END>,0,true,terminal,other_after_002
1526.1,H-574,Harappa,Inter-Riverine,SEAL,Steatite,square,-,-,Poor,N,R/L,??,]000-803-002-820+,000 803 002 820,false,2,803,000,820,<END>,<END>,0,true,terminal,other_after_002
1537.1,H-593,Harappa,Inter-Riverine,SEAL:S,Steatite,square,-,-,Poor,N,R/L,??,+740-760-235-240-002-220-000[,740 760 235 240 002 220 000,false,4,240,235,220,000,<END>,1,false,one_token_continuation,other_after_002
1540.1,H-597,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,SAN,Fair,Y,R/L,LP,+740-390-590-070-032-002-861+,740 390 590 070 032 002 861,true,5,032,070,861,<END>,<END>,0,true,terminal,after_032
1540.2,H-597,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,SAN,Fair,Y,R/L,LP,+740-390-590-070-032-002-861+,740 390 590 070 032 002 861,true,5,032,070,861,<END>,<END>,0,true,terminal,after_032
1541.2,H-598,Harappa,Inter-Riverine,SEAL:S,-,square,Bull1:W,SAN,Good,Y,R/L,LP,+740-639-240-002-435-255-777+,740 639 240 002 435 255 777,true,3,240,639,435,255,777,2,false,multi_token_continuation,other_after_002
1543.1,H-600,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,SAF,Poor,Y,R/L,SC,+002-368-260+,002 368 260,true,0,<START>,<START>,368,260,<END>,1,false,one_token_continuation,other_after_002
1549.1,H-609,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,N,R/L,??,]798-233-231-002-817-000+,798 233 231 002 817 000,false,3,231,233,817,000,<END>,1,false,one_token_continuation,other_after_002
1551.1,H-611,Harappa,Inter-Riverine,SEAL:S,Steatite,square,None,None,Poor,Y,R/L,IT,+527-550-002-125-590+,527 550 002 125 590,true,2,550,527,125,590,<END>,1,false,one_token_continuation,other_after_002
1552.1,H-612,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,SAN,Poor,Y,R/L,SP,+740-615-495-002-825+,740 615 495 002 825,true,3,495,615,825,<END>,<END>,0,true,terminal,other_after_002
1554.1,H-639,Harappa,Inter-Riverine,SEAL:R,-,cuboid-convex,None,None,Poor,N,R/L,??,+407-000-000-705-832-904-845-235-002-717-747+,407 000 000 705 832 904 845 235 002 717 747,false,8,235,845,717,747,<END>,1,false,one_token_continuation,other_after_002
1555.1,H-640,Harappa,Inter-Riverine,SEAL:R,-,cuboid-convex,None,None,Poor,?,R/L,UC,]220-032-002-817+,220 032 002 817,false,2,032,220,817,<END>,<END>,0,true,terminal,after_032
1564.1,H-649,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Poor,Y,R/L,LP,+520-033-705-233-240-806-002-820+,520 033 705 233 240 806 002 820,true,6,806,240,820,<END>,<END>,0,true,terminal,other_after_002
1566.1,H-651,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Poor,?,R/L,UC,]031-002-861+,031 002 861,false,1,031,<START>,861,<END>,<END>,0,true,terminal,other_after_002
1568.1,H-653,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Poor,N,R/L,??,+000-000-000-000-002-820+,000 000 000 000 002 820,false,4,000,000,820,<END>,<END>,0,true,terminal,other_after_002
1573.1,H-658,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Poor,?,R/L,UC,]900-002-817+,900 002 817,false,1,900,<START>,817,<END>,<END>,0,true,terminal,other_after_002
1594.1,H-688,Harappa,Inter-Riverine,SEAL,-,-,None,None,Poor,Y,R/L,SP,+520-233-002-861-831-165+,520 233 002 861 831 165,true,2,233,520,861,831,165,2,false,multi_token_continuation,other_after_002
1602.1,H-697,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Bull2,SAN,Fair,Y,R/L,SP,+740-904-240-002-817+,740 904 240 002 817,true,3,240,904,817,<END>,<END>,0,true,terminal,other_after_002
1606.1,H-701,Harappa,Inter-Riverine,TAB:B,-,rectangular,Goat,Plant,Poor,?,R/L,UC,]240-002-418+,240 002 418,false,1,240,<START>,418,<END>,<END>,0,true,terminal,other_after_002
1607.1,H-702,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Mult,None,Poor,Y,L/R,SC,+137-002-820+,137 002 820,true,1,137,<START>,820,<END>,<END>,0,true,terminal,other_after_002
1611.1,H-706,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Gavi,None,Poor,Y,R/L,VX,+700-033-137-002-820+,700 033 137 002 820,true,3,137,033,820,<END>,<END>,0,true,terminal,other_after_002
1622.1,H-719,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Phyt,None,Fair,Y,R/L,IM,+405-004-002-861+,405 004 002 861,true,2,004,405,861,<END>,<END>,0,true,terminal,other_after_002
1665.1,H-773,Harappa,Inter-Riverine,TAB:B,Faience,plano-convex,None,None,Fair,Y,R/L,IT,+740-798-803-002-390-530-741+,740 798 803 002 390 530 741,true,3,803,798,390,530,741,2,false,multi_token_continuation,other_after_002
1695.1,H-806,Harappa,Inter-Riverine,TAB:B,Clay,twisted rectangular-rounded,None,None,Fair,Y,R/L,SP,+740-482-240-002-861+,740 482 240 002 861,true,3,240,482,861,<END>,<END>,0,true,terminal,other_after_002
1696.1,H-807,Harappa,Inter-Riverine,TAB:B,-,twisted rectangular-rounded,None,None,Poor,Y,R/L,SP,+740-482-240-002-861+,740 482 240 002 861,true,3,240,482,861,<END>,<END>,0,true,terminal,other_after_002
1697.1,H-808,Harappa,Inter-Riverine,TAB:B,-,twisted rectangular-rounded,None,None,Poor,Y,R/L,SP,+740-482-240-002-861+,740 482 240 002 861,true,3,240,482,861,<END>,<END>,0,true,terminal,other_after_002
1700.1,H-811,Harappa,Inter-Riverine,TAB:B,Faience,twisted rectangular,None,None,Fair,Y,R/L,LP,+317-740-335-740-176-002-920-491+,317 740 335 740 176 002 920 491,true,5,176,740,920,491,<END>,1,false,one_token_continuation,other_after_002
1717.1,H-829,Harappa,Inter-Riverine,TAB:B,-,semi-circular,None,None,Fair,Y,L/R,IT,+139-002-820+,139 002 820,true,1,139,<START>,820,<END>,<END>,0,true,terminal,other_after_002
1719.1,H-833,Harappa,Inter-Riverine,TAB:B,Faience,circular,None,None,Good,Y,R/L,IT,+526-554-002-820+,526 554 002 820,true,2,554,526,820,<END>,<END>,0,true,terminal,other_after_002
1724.1,H-838,Harappa,Inter-Riverine,TAB:B,Faience,circular,None,None,Fair,Y,R/L,SP,+740-615-495-002-817+,740 615 495 002 817,true,3,495,615,817,<END>,<END>,0,true,terminal,other_after_002
1742.1,H-859,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Good,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1743.1,H-860,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Good,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1744.1,H-861,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Good,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1745.1,H-862,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Good,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1746.1,H-863,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Good,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1747.1,H-864,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Good,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1748.1,H-865,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Good,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1749.1,H-866,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:U,None,Good,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1750.1,H-867,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:U,None,Good,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1751.1,H-868,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Good,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1752.1,H-869,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Good,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1753.1,H-870,Harappa,Inter-Riverine,TAB:B,-,cylindrical,Bull1:I,None,Good,Y,R/L,SP,+520-240-002-405-501+,520 240 002 405 501,true,2,240,520,405,501,<END>,1,false,one_token_continuation,other_after_002
1769.1,H-887,Harappa,Inter-Riverine,TAB:I,-,rectangular,None,SAN,Good,Y,R/L,SS,+002-817+,002 817,true,0,<START>,<START>,817,<END>,<END>,0,true,terminal,other_after_002
1791.1,H-909,Harappa,Inter-Riverine,TAB:I,-,rectangular,None,None,Poor,N,R/L,??,+002-820-000[,002 820 000,false,0,<START>,<START>,820,000,<END>,1,false,one_token_continuation,other_after_002
1792.1,H-910,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,None,None,Poor,Y,R/L,SS,+002-861-416+,002 861 416,true,0,<START>,<START>,861,416,<END>,1,false,one_token_continuation,other_after_002
1875.1,Jk-2,Jhukar,Lower Indus,SEAL:S,-,square,Bull1:J,SAN,Fair,Y,R/L,SP,+740-803-233-002-817+,740 803 233 002 817,true,3,233,803,817,<END>,<END>,0,true,terminal,other_after_002
1878.1,K-2,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,RBF,Fair,N,R/L,??,+740-585-017-002-000+,740 585 017 002 000,false,3,017,585,000,<END>,<END>,0,true,terminal,other_after_002
1879.1,K-4,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAF,Fine,Y,R/L,LP,+036-269-140-002-741-060-920+,036 269 140 002 741 060 920,true,3,140,269,741,060,920,2,false,multi_token_continuation,other_after_002
1885.1,K-10,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,RAN,Fine,Y,R/L,LP,+740-690-435-255-002-368-861-590-032-368+,740 690 435 255 002 368 861 590 032 368,true,4,255,435,368,861,590,4,false,continues_with_later_032,other_after_002
1887.1,K-12,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,RAN,Poor,N,R/L,??,+000-003-002-820+,000 003 002 820,false,2,003,000,820,<END>,<END>,0,true,terminal,other_after_002
1893.1,K-18,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:X,RAF,Fair,Y,-,SC,+307-002-762-463-140+,307 002 762 463 140,true,1,307,<START>,762,463,140,2,false,multi_token_continuation,other_after_002
1897.1,K-23,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,RAN,Good,Y,R/L,IT,+740-441-002-820-033+,740 441 002 820 033,true,2,441,740,820,033,<END>,1,false,one_token_continuation,other_after_002
1898.1,K-24,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1,R,Poor,Y,R/L,IT,+740-760-093-002-252-575+,740 760 093 002 252 575,true,3,093,760,252,575,<END>,1,false,one_token_continuation,other_after_002
1899.1,K-25,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1,-,Poor,Y,R/L,LC,+520-231-002-220-065-132-082+,520 231 002 220 065 132 082,true,2,231,520,220,065,132,3,false,multi_token_continuation,other_after_002
1901.1,K-27,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull2,None,Fine,Y,R/L,SS,+002-817+,002 817,true,0,<START>,<START>,817,<END>,<END>,0,true,terminal,other_after_002
1902.1,K-28,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Gaur,None,Good,Y,R/L,LC,+440-411-740-335-002-285-491+,440 411 740 335 002 285 491,true,4,335,740,285,491,<END>,1,false,one_token_continuation,other_after_002
1906.1,K-33,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Buff,Trough,Fine,Y,R/L,IT,+226-002-861+,226 002 861,true,1,226,<START>,861,<END>,<END>,0,true,terminal,other_after_002
1908.1,K-40,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Elep,None,Fine,Y,R/L,LC,+760-031-002-861-791-440-717+,760 031 002 861 791 440 717,true,2,031,760,861,791,440,3,false,multi_token_continuation,other_after_002
