"cisi","priority","type","site","h_series","side_count_from_signature","row_count","short_mark_rows","long_text_rows","sequence_signature","strict_h_roles_present","strict_h_role_count","unordered_h_roles_present","unordered_h_role_count","strict_h_template_class","unordered_h_template_class","strict_complete_h_inventory","unordered_complete_h_inventory","strict_role_15x_side","unordered_role_15x_side","interpretation_status"
"H-921","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+861-003+|2:+740-255-061+","role_861_003","1","role_861_003","1","","","false","false","","","no_reading_admissible"
"H-930","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-900-004+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-933","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+034-700+|2:+400-740-176+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-948","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-151-229+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-960","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-034+|2:+400-740-176+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-975","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-760-382+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-983","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-637-240+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-987","P1_mixed_short_long_core","TAB:I","Harappa","false","3","3","1","2","1:+690-365-817+|2:+700-033+|3:+400-740-176+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1102","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-382+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1124","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-236-220+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1133","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-892-831+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1138","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-603-240-060-692+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1198","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-061-001-031-820+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1287","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-156-140-032+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1308","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-690-636-240+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1309","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+156-176-741-060-920+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1312","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-031-904-001-032+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1321","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-226-032+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1354","P1_mixed_short_long_core","TAB:I","Harappa","false","3","3","1","2","1:+824-032-578-415+|2:+740-714-840-799+|3:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1774","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-335-482-175+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1793","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-752-482-240+|2:+700-745+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1797","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+032-700+|2:+740-690-435-255-055+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1817","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+400-525-554+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1822","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+400-740-176-519+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1823","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+400-740-798-365-415-001+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1824","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+740-176-031-060-201+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1825","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+740-176-220+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1832","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+400-297-352-892-590-740-176+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1839","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+740-100-175-630-705+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1841","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+740-540-204-255+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1842","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+033-700+|2:+740-690-435-176-233-803+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1844","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+400-154-690+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1845","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+740-642-240-060-692+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1846","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+740-603-240-060-692+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1850","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+400-740-760-382+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1851","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+033-700+|2:+740-803-892-031-002-861+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1853","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+400-617-829+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1854","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+400-740-717+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1855","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+032-700+|2:+400-153-118+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1864","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+032-700+|2:+740-142-062-002-817+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1867","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+151-740-221+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1871","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+151-740-235+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1872","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+400-236-220+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1873","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+400-236-233+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1883","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+740-790-032+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1894","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+400-740-061-140+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1895","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+400-740-100-240+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1896","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+400-892-831+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1897","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+033-700+|2:+400-740-904-240+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1898","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+400-368-741+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1903","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+033-700+|2:+740-923-235+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1906","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+400-090-740-400-090+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1909","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+740-817-491+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1917","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-004+|2:+400-151-097+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1922","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+400-740-920-320-233-240-798+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1923","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+400-740-032-840+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1929","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+400-740-061-140+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1931","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+400-740-176-791+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1933","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+400-520-400-352+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1937","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+034-700+|2:+740-690-435-255+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1938","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+033-700+|2:+740-690-435-255+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1940","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+400-740-067-100+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1941","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+400-236-220+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1943","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+740-384-031+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1945","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+032-700+|2:+400-740-388-717-705+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1995","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+400-151-142+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2070","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-034+|2:+400-740-817-276+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2115","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-033+|2:+400-740-032-028+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2123","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-255-061+|2:+861-003+","role_861_003","1","role_861_003","1","","","false","false","","","no_reading_admissible"
"H-2125","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-033+|2:+740-143-067+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2137","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-034+|2:+740-100-176+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2139","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-032+|2:+740-176-033-705-235+","","0","","0","","","false","false","","","no_reading_admissible"
"H-2143","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-034+|2:+090-740-792+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2173","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-032+|2:+400-740-817-491+","","0","","0","","","false","false","","","no_reading_admissible"
"H-2183","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-032+|2:+400-740-575-017-798+","","0","","0","","","false","false","","","no_reading_admissible"
"H-2184","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-032+|2:+400-740-032-015+","","0","","0","","","false","false","","","no_reading_admissible"
"H-2185","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-032+|2:+400-158-690+","","0","","0","","","false","false","","","no_reading_admissible"
"H-2189","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+824-700+|2:+400-740-152-240+","","0","","0","","","false","false","","","no_reading_admissible"
"H-2190","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+090-740-327+|2:+861-003+","role_861_003","1","role_861_003","1","","","false","false","","","no_reading_admissible"
"H-2197","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-033+|2:+400-090-740-100-390-231+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2198","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-255-032+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-2201","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-032+|2:+400-740-176-240+","","0","","0","","","false","false","","","no_reading_admissible"
"H-2204","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-034+|2:+400-740-032-027+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2206","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-034+|2:+740-032-025+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2208","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+034-700+|2:+400-740-032-027+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2209","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-033+|2:+400-740-032-025+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2213","P1_mixed_short_long_core","TAB:I","Harappa","false","3","3","1","2","1:+700-033+|2:+824-032-578-415+|3:+740-760-840-799+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2214","P1_mixed_short_long_core","TAB:I","Harappa","false","3","3","1","2","1:+700-033+|2:+740-760-840-799+|3:+876-032-578-415+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2217","P1_mixed_short_long_core","TAB:I","Harappa","false","3","3","2","1","1:+700-032+|2:+400-854-032+|3:+257-360+","","0","","0","","","false","false","","","no_reading_admissible"
"H-2246","P1_mixed_short_long_core","TAB:I","Harappa","false","3","3","1","2","1:+700-034+|2:+824-032-578-415+|3:+740-760-840-799+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-819","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+520-240+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1828","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+156-176+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1829","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+156-176+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1830","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+700-034+|2:+156-176+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1831","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+700-034+|2:+156-176+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1858","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+033-700+|2:+400-137+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1859","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+033-700+|2:+400-137+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1907","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+520-240+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-215","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+700-034+|2:+400-137+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-219","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+415-035-171+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-230","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+520-072-219+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-239","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+390-060/740-500-091+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-247","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+400-740-335-000+|2:+116-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-249","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+033-700+|2:+520-233+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-702","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+137-002-820+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-703","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:]435-255-055+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-717","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+705-904+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-745","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:]482-240+|2:+700-745+","","0","","0","","","false","false","","","no_reading_admissible"
"H-766","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+065-826+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-768","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+400-740-033-705-233-235-000+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-770","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+151-840-416+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-771","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+032-257-840+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-777","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+032-700+|2:+390-004-104+","","0","","0","","","false","false","","","no_reading_admissible"
"H-778","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+390-004-817+","","0","","0","","","false","false","","","no_reading_admissible"
"H-779","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+032-700+|2:+000-000-740-233-240+","","0","","0","","","false","false","","","no_reading_admissible"
"H-783","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+400-740-690-000+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-785","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+700-034+|2:+740-255-000+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-788","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+740-255-000+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-795","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+033-700+|2:+442-000-220-000+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-796","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+370-455+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-798","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+158-999-792+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-799","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+032-820-100-415+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-801","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+700-036+|2:+415-035-171+","","0","","0","","","false","false","","","no_reading_admissible"
"H-802","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+400-740-337-000+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-812","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+368-035+|2:+033-700+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-813","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+400-892-000+|2:+032-700+","","0","","0","","","false","false","","","no_reading_admissible"
"H-815","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+520-072-219+","","0","","0","","","false","false","","","no_reading_admissible"
"H-827","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+700-033+|2:+000-000-000+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-833","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+526-554-002-820+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-837","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+000-480-176+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-839","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+032-700+|2:+400-140+","","0","","0","","","false","false","","","no_reading_admissible"
"H-848","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+740-100-000-000+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-876","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+200-705-380+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-877","P2_tab_b_core_short_queue","TAB:B","Harappa","false","3","3","1","0","1:+000-000+|2:+700-032+|3:+740-000+","","0","","0","","","false","false","","","no_reading_admissible"
"H-969","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+700-032+|2:+740-000-000+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1112","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+033-700+|2:+520-000-255+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1120","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+740-000-000-705+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1123","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+525-550-220+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1134","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+400-892-000+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1146","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+526-554-002-820+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1153","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+740-000-000-000-000+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1156","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+200-705-380+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1768","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+144+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1804","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+700-032+|2:+000-591+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1836","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+700-032+|2:+400-740-000-792+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1860","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+700-034+|2:+400-097+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1861","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+700-033+|2:+368-091+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1865","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+700-032+|2:+740-702-061-002-000+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1870","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","2","0","1:+700-034+|2:+158-221+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1874","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","0","1:+700-034+|2:+002-220-455-000+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1880","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+034-700+|2:+520-033-033+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1881","P2_tab_b_core_short_queue","TAB:B","Harappa","false","2","2","1","1","1:+700-036+|2:+415-700-033-171+","","0","","0","","","false","false","","","no_reading_admissible"
