"acquisition_rank","primary_bucket","source_route","evidence_grade_now","cisi","packet_rank_min","packet_row_count","packet_rows","packet_labels","subtypes","short_texts","side_relations","context_classes","longer_texts","long_token_sets","sequence_family_keys","sequence_family_count_max_no_h","metadata_row_count","metadata_rows","excavation_ids","figure_refs","area_sections","room_grids","period_phase","depth","material","shape_cross_section","condition_preservation","dimensions_mm","local_rows_to_reconcile","public_lead_statuses","source_request","preserves_034_residue_if","kills_or_downgrades_if","source_check_status"
"27","A_034_direction_reversal","ia_cisi_page_image_acquired","source_panel_audited_same_object_pressure_component_negative","H-938","69","1","1818.2","allograph_direction_risk;source_visible_034_residue_candidate_component_negative","034","1818.2:+034-700+","short_after_all_longer","single_longer_text","+520-220-415+","220;415;520","1:+520-220-415+|2:+034-700+","1","2","1818.1;1818.2","8650b458","","F-","--","Period 3C-1/Stratum IV","-7.0 ft","Steatite","rectangular/rectangular","Good/complete","14 x 7.6 x 0","1818.1:+520-220-415+;1818.2:+034-700+","ia_cisi_leaf_n374_image_acquired","Source panels/crops now stored for H-938 A/A bis/B from CISI Pakistan leaf n374 / printed p. 340. Same-object proximity survives, but B-side component probe rejects direct component-level 034/415 support under local R/L.","H-938 remains source-visible same-object proximity pressure between +520-220-415+ and +034-700+.","H-938 B does not place 034 on the vertical/rake component under R/L; direct 034=415 and allograph proof are rejected. If order policy fails, mark unresolved, not positive.","source_panel_audited_same_object_pressure_only_component_negative"
"28","A_034_direction_reversal","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1937","78","1","938.1","allograph_direction_risk;positive_034_residue_candidate","034","938.1:+034-700+","short_before_all_longer","single_longer_text","+740-690-435-255+","255;435;690;740","1:+034-700+|2:+740-690-435-255+","1","2","938.1;938.2","H98-3504","Figure 25.09","--","--","Period 3/-","-0.0 m","Faience","prism/triangular","Good/complete","17.7 x 9.5 x 0","938.1:+034-700+;938.2:+740-690-435-255+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1937. Metadata source hooks: H98-3504; Figure 25.09. Packet rows to verify: 938.1 +034-700+. All local rows to reconcile: 938.1 +034-700+; 938.2 +740-690-435-255+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","+034-700+ survives image-direction checking as a real ordered variant rather than normalized reading order.","+034-700+ is explained by impression/copy direction or catalog normalization.","source_acquisition_only_source_images_not_validated"
"29","A_034_direction_reversal","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-892","84","1","1774.2","allograph_direction_risk;positive_034_residue_candidate","034","1774.2:+034-700+","short_after_all_longer","single_longer_text","+400-740-336-176+","176;336;400;740","1:+400-740-336-176+|2:+034-700+","1","2","1774.1;1774.2","995451","","FTrench I","-M12/16","Period 3B/C/Stratum V","-13.0 ft","Steatite","rectangular/rectangular","Fair/complete","17.8 x 10.2 x 0","1774.1:+400-740-336-176+;1774.2:+034-700+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-892. Metadata source hooks: 995451. Packet rows to verify: 1774.2 +034-700+. All local rows to reconcile: 1774.1 +400-740-336-176+; 1774.2 +034-700+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","+034-700+ survives image-direction checking as a real ordered variant rather than normalized reading order.","+034-700+ is explained by impression/copy direction or catalog normalization.","source_acquisition_only_source_images_not_validated"
"30","A_034_direction_reversal","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1876","85","1","468.1","allograph_direction_risk;duplicate_family_risk;positive_034_residue_candidate","034","468.1:+034-700+","short_before_all_longer","single_longer_text","+400-775-516+","400;516;775","1:+034-700+|2:+400-775-516+","2","2","468.1;468.2","H2001-5083","Figure 43.11","ETrench 54","--","Period 3B/B","- -","Faience","rectangular/rectangular","Fair/complete","15 x 9 x 3","468.1:+034-700+;468.2:+400-775-516+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1876. Metadata source hooks: H2001-5083; Figure 43.11. Packet rows to verify: 468.1 +034-700+. All local rows to reconcile: 468.1 +034-700+; 468.2 +400-775-516+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","+034-700+ survives image-direction checking as a real ordered variant rather than normalized reading order.","+034-700+ is explained by impression/copy direction or catalog normalization.","source_acquisition_only_source_images_not_validated"
"31","B_034_400_740_176_bridge","use_text_lead_as_bibliographic_pointer_then_CISI_HARP_plate","T4_text_pointer_not_source_validated","H-960","16","1","1837.1","positive_034_residue_candidate","034","1837.1:+700-034+","short_before_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+700-034+|2:+400-740-176+","1","2","1837.1;1837.2","1261543","","FTrench I","-M11/17","Period 3B/C/Stratum V","-11.33 ft","Steatite","oval/rectangular","Fair/complete","10.2 x 7.6 x 0","1837.1:+700-034+;1837.2:+400-740-176+","text_only_or_bibliographic_lead","Request source-grade images/plates for all catalog rows of H-960. Metadata source hooks: 1261543. Packet rows to verify: 1837.1 +700-034+. All local rows to reconcile: 1837.1 +700-034+; 1837.2 +400-740-176+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","034 is distinct while sharing +400-740-176+ context with 033, preserving a true sibling contrast.","033/034 distinction collapses or +400-740-176+ side relation is catalog-only.","source_acquisition_only_source_images_not_validated"
"32","B_034_400_740_176_bridge","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-308","70","1","1330.2","duplicate_family_risk;positive_034_residue_candidate","034","1330.2:+700-034+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-034+","7","2","1330.1;1330.2","2569","","FTrench I","-M10/20","Period 3B/C/Stratum V","-14.0 ft","Steatite","rectangular/rectangular","Fair/complete","11.4 x 6.4 x 0","1330.1:+400-740-176+;1330.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-308. Metadata source hooks: 2569. Packet rows to verify: 1330.2 +700-034+. All local rows to reconcile: 1330.1 +400-740-176+; 1330.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","034 is distinct while sharing +400-740-176+ context with 033, preserving a true sibling contrast.","033/034 distinction collapses or +400-740-176+ side relation is catalog-only.","source_acquisition_only_source_images_not_validated"
"33","B_034_400_740_176_bridge","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-314","71","1","1336.2","duplicate_family_risk;positive_034_residue_candidate","034","1336.2:+700-034+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-034+","7","2","1336.1;1336.2","3091","","FTrench I","-M11/17","Period 3B/C/Stratum V","-12.58 ft","Steatite","oval/rectangular","Good/complete","12.7 x 6.9 x 0","1336.1:+400-740-176+;1336.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-314. Metadata source hooks: 3091. Packet rows to verify: 1336.2 +700-034+. All local rows to reconcile: 1336.1 +400-740-176+; 1336.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","034 is distinct while sharing +400-740-176+ context with 033, preserving a true sibling contrast.","033/034 distinction collapses or +400-740-176+ side relation is catalog-only.","source_acquisition_only_source_images_not_validated"
"34","B_034_400_740_176_bridge","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-317","72","1","1339.2","duplicate_family_risk;positive_034_residue_candidate","034","1339.2:+700-034+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-034+","7","2","1339.1;1339.2","3025","","FTrench I","-M11/22","Period 3B/C/-","-12.0 ft","Steatite","oval/rectangular","Fair/slightly chipped","11.4 x 5.8 x 0","1339.1:+400-740-176+;1339.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-317. Metadata source hooks: 3025. Packet rows to verify: 1339.2 +700-034+. All local rows to reconcile: 1339.1 +400-740-176+; 1339.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","034 is distinct while sharing +400-740-176+ context with 033, preserving a true sibling contrast.","033/034 distinction collapses or +400-740-176+ side relation is catalog-only.","source_acquisition_only_source_images_not_validated"
"35","B_034_400_740_176_bridge","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1273","73","1","265.2","duplicate_family_risk;positive_034_residue_candidate","034","265.2:+700-034+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-034+","7","2","265.1;265.2","2568508","","FTrench III","-N9/10","Period 3B-1/Stratum VII","-19.5 ft","Steatite","rectangular/rectangular","Good/complete","11.4 x 7.1 x 0","265.1:+400-740-176+;265.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1273. Metadata source hooks: 2568508. Packet rows to verify: 265.2 +700-034+. All local rows to reconcile: 265.1 +400-740-176+; 265.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","034 is distinct while sharing +400-740-176+ context with 033, preserving a true sibling contrast.","033/034 distinction collapses or +400-740-176+ side relation is catalog-only.","source_acquisition_only_source_images_not_validated"
"36","B_034_400_740_176_bridge","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-312","108","1","1334.2","duplicate_family_risk;positive_034_residue_candidate","034","1334.2:+700-034+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-034+","7","2","1334.1;1334.2","2483","","FTrench I","-M11/11","Period 3B/C/Stratum VI","-15.0 ft","Steatite","elliptical/rectangular","Fair/complete","14 x 7.6 x 0","1334.1:+400-740-176+;1334.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-312. Metadata source hooks: 2483. Packet rows to verify: 1334.2 +700-034+. All local rows to reconcile: 1334.1 +400-740-176+; 1334.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","034 is distinct while sharing +400-740-176+ context with 033, preserving a true sibling contrast.","033/034 distinction collapses or +400-740-176+ side relation is catalog-only.","source_acquisition_only_source_images_not_validated"
"37","B_034_400_740_176_bridge","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-313","109","1","1335.2","duplicate_family_risk;positive_034_residue_candidate","034","1335.2:+700-034+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-034+","7","2","1335.1;1335.2","2648","","FTrench I","-M11/16","Period 3B/C/Stratum VI","-16.0 ft","Steatite","oval/rectangular","Fair/complete","14 x 7.6 x 0","1335.1:+400-740-176+;1335.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-313. Metadata source hooks: 2648. Packet rows to verify: 1335.2 +700-034+. All local rows to reconcile: 1335.1 +400-740-176+; 1335.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","034 is distinct while sharing +400-740-176+ context with 033, preserving a true sibling contrast.","033/034 distinction collapses or +400-740-176+ side relation is catalog-only.","source_acquisition_only_source_images_not_validated"
"38","B_034_400_740_176_bridge","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-936","110","1","1816.2","duplicate_family_risk;positive_034_residue_candidate","034","1816.2:+700-034+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-034+","7","2","1816.1;1816.2","1242","","FTrench I","-M11/17","Period 3B/C/Stratum V","-12.0 ft","Steatite","rectangular/rectangular","Poor/complete","7.6 x 11.9 x 0","1816.1:+400-740-176+;1816.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-936. Metadata source hooks: 1242. Packet rows to verify: 1816.2 +700-034+. All local rows to reconcile: 1816.1 +400-740-176+; 1816.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","034 is distinct while sharing +400-740-176+ context with 033, preserving a true sibling contrast.","033/034 distinction collapses or +400-740-176+ side relation is catalog-only.","source_acquisition_only_source_images_not_validated"
"39","C_033_400_740_176_sibling","use_text_lead_as_bibliographic_pointer_then_CISI_HARP_plate","T4_text_pointer_not_source_validated","H-355","14","2","1374.2;1374.3","duplicate_family_risk;sibling_033_branch","033","1374.2:+700-033+;1374.3:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+|3:+700-033+","2","3","1374.1;1374.2;1374.3","1274","","--","--","-/-","- -","","prism/triangular","Poor/complete","15.5 x 5.8 x 0","1374.1:+400-740-176+;1374.2:+700-033+;1374.3:+700-033+","text_only_or_bibliographic_lead","Request source-grade images/plates for all catalog rows of H-355. Metadata source hooks: 1274. Packet rows to verify: 1374.2 +700-033+; 1374.3 +700-033+. All local rows to reconcile: 1374.1 +400-740-176+; 1374.2 +700-033+; 1374.3 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"40","C_033_400_740_176_sibling","verify_public_direction_lead_then_CISI_HARP_plate","T2/T4_lead_not_source_validated","H-1302","17","1","4073.2","duplicate_family_risk;sibling_033_branch","033","4073.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","4073.1;4073.2","2366","","FTrench I","-M10/20","Period 3B/C/Stratum VI","-15.25 ft","Steatite","oval/rectangular","Good/complete","14 x 6.4 x 0","4073.1:+400-740-176+;4073.2:+700-033+","candidate_public_images_plus_direction_note","Request source-grade images/plates for all catalog rows of H-1302. Metadata source hooks: 2366. Packet rows to verify: 4073.2 +700-033+. All local rows to reconcile: 4073.1 +400-740-176+; 4073.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"41","C_033_400_740_176_sibling","verify_public_direction_lead_then_CISI_HARP_plate","T2/T4_lead_not_source_validated","H-1303","18","1","4077.2","duplicate_family_risk;sibling_033_branch","033","4077.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","4077.1;4077.2","2357879","","FTrench I","-M10/20","Period 3B/C/Stratum VI","-15.25 ft","Steatite","oval/rectangular","Fair/complete","13.2 x 7.6 x 0","4077.1:+400-740-176+;4077.2:+700-033+","candidate_public_images_plus_direction_note","Request source-grade images/plates for all catalog rows of H-1303. Metadata source hooks: 2357879. Packet rows to verify: 4077.2 +700-033+. All local rows to reconcile: 4077.1 +400-740-176+; 4077.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"42","C_033_400_740_176_sibling","inspect_public_image_pointer_then_CISI_HARP_plate","T4_image_pointer_not_source_validated","H-233","31","1","1260.2","duplicate_family_risk;sibling_033_branch","033","1260.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","1260.1;1260.2","12544387","","FTrench I","-M12/25","Period 3B/C/Stratum V","-11.67 ft","Faience","crescent/rectangular","Good/complete","26.7 x 0 x 0","1260.1:+400-740-176+;1260.2:+700-033+","candidate_public_images","Request source-grade images/plates for all catalog rows of H-233. Metadata source hooks: 12544387. Packet rows to verify: 1260.2 +700-033+. All local rows to reconcile: 1260.1 +400-740-176+; 1260.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"43","C_033_400_740_176_sibling","use_text_lead_as_bibliographic_pointer_then_CISI_HARP_plate","T4_text_pointer_not_source_validated","H-309","32","1","1331.2","duplicate_family_risk;sibling_033_branch","033","1331.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","1331.1;1331.2","2056(1)","","FTrench I","-M10/20","Period 3B/C/-","-12.0 ft","Steatite","rectangular/-","Good/complete","8.9 x 6.4 x 0","1331.1:+400-740-176+;1331.2:+700-033+","text_only_or_bibliographic_lead","Request source-grade images/plates for all catalog rows of H-309. Metadata source hooks: 2056(1). Packet rows to verify: 1331.2 +700-033+. All local rows to reconcile: 1331.1 +400-740-176+; 1331.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"44","C_033_400_740_176_sibling","use_text_lead_as_bibliographic_pointer_then_CISI_HARP_plate","T4_text_pointer_not_source_validated","H-316","33","1","1338.2","duplicate_family_risk;sibling_033_branch","033","1338.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","1338.1;1338.2","2480","","FTrench I","-M10/15","Period 3B/C/Stratum VI","-15.25 ft","Steatite","oval/rectangular","Good/complete","14.5 x 7.1 x 0","1338.1:+400-740-176+;1338.2:+700-033+","text_only_or_bibliographic_lead","Request source-grade images/plates for all catalog rows of H-316. Metadata source hooks: 2480. Packet rows to verify: 1338.2 +700-033+. All local rows to reconcile: 1338.1 +400-740-176+; 1338.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"45","C_033_400_740_176_sibling","use_text_lead_as_bibliographic_pointer_then_CISI_HARP_plate","T4_text_pointer_not_source_validated","H-353","34","1","1372.2","duplicate_family_risk;sibling_033_branch","033","1372.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","1372.1;1372.2","1348","","FTrench I","-M11/18","Period 3B/C/Stratum V","-13.0 ft","Steatite","prism/triangular","Good/complete","15.2 x 6.4 x 0","1372.1:+400-740-176+;1372.2:+700-033+","text_only_or_bibliographic_lead","Request source-grade images/plates for all catalog rows of H-353. Metadata source hooks: 1348. Packet rows to verify: 1372.2 +700-033+. All local rows to reconcile: 1372.1 +400-740-176+; 1372.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"46","C_033_400_740_176_sibling","use_text_lead_as_bibliographic_pointer_then_CISI_HARP_plate","T4_text_pointer_not_source_validated","H-357","35","1","1376.2","duplicate_family_risk;sibling_033_branch","033","1376.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","1376.1;1376.2","2917","","FTrench I","-M11/17","Period 3B/C/Stratum V","-12.0 ft","Steatite","prism/triangular","Poor/chipped","11.9 x 8.1 x 0","1376.1:+400-740-176+;1376.2:+700-033+","text_only_or_bibliographic_lead","Request source-grade images/plates for all catalog rows of H-357. Metadata source hooks: 2917. Packet rows to verify: 1376.2 +700-033+. All local rows to reconcile: 1376.1 +400-740-176+; 1376.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"47","C_033_400_740_176_sibling","use_text_lead_as_bibliographic_pointer_then_CISI_HARP_plate","T4_text_pointer_not_source_validated","H-935","37","1","1815.2","duplicate_family_risk;sibling_033_branch","033","1815.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","1815.1;1815.2","1280509","","FTrench I","-M11/18","Period 3B/C/Stratum V","-13.0 ft","Steatite","rectangular/rectangular","Poor/complete","10.2 x 6.4 x 0","1815.1:+400-740-176+;1815.2:+700-033+","text_only_or_bibliographic_lead","Request source-grade images/plates for all catalog rows of H-935. Metadata source hooks: 1280509. Packet rows to verify: 1815.2 +700-033+. All local rows to reconcile: 1815.1 +400-740-176+; 1815.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"48","C_033_400_740_176_sibling","use_text_lead_as_bibliographic_pointer_then_CISI_HARP_plate","T4_text_pointer_not_source_validated","H-978","39","1","1855.2","duplicate_family_risk;sibling_033_branch","033","1855.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","1855.1;1855.2","1277","","FTrench I","-M11/18","Period 3B/C/Stratum V","-13.0 ft","Steatite","prism/triangular","Good/complete","15.2 x 6.4 x 0","1855.1:+400-740-176+;1855.2:+700-033+","text_only_or_bibliographic_lead","Request source-grade images/plates for all catalog rows of H-978. Metadata source hooks: 1277. Packet rows to verify: 1855.2 +700-033+. All local rows to reconcile: 1855.1 +400-740-176+; 1855.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"49","C_033_400_740_176_sibling","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-356","43","1","1375.1","duplicate_family_risk;sibling_033_branch","033","1375.1:+700-033+","short_before_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+700-033+|2:+400-740-176+","3","2","1375.1;1375.2","2478","","FTrench III","-N9/10","Period 3B/C/Stratum VI","-16.42 ft","","prism/triangular","Fair/complete","16 x 6 x 0","1375.1:+700-033+;1375.2:+400-740-176+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-356. Metadata source hooks: 2478. Packet rows to verify: 1375.1 +700-033+. All local rows to reconcile: 1375.1 +700-033+; 1375.2 +400-740-176+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"50","C_033_400_740_176_sibling","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-934","44","1","1814.1","duplicate_family_risk;sibling_033_branch","033","1814.1:+700-033+","short_before_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+700-033+|2:+400-740-176+","3","2","1814.1;1814.2","11380","","FTrench VI","-O9/23","Period 3C-1/Stratum IV","-9.0 ft","Steatite","rectangular/rectangular","Fair/complete","12.7 x 8.9 x 0","1814.1:+700-033+;1814.2:+400-740-176+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-934. Metadata source hooks: 11380. Packet rows to verify: 1814.1 +700-033+. All local rows to reconcile: 1814.1 +700-033+; 1814.2 +400-740-176+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"51","C_033_400_740_176_sibling","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-979","45","1","1856.1","duplicate_family_risk;sibling_033_branch","033","1856.1:+700-033+","short_before_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+700-033+|2:+400-740-176+","3","2","1856.1;1856.2","3534b","","--","--","-/-","- -","","prism/triangular","Fair/slightly chipped","16.5 x 7 x 0","1856.1:+700-033+;1856.2:+400-740-176+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-979. Metadata source hooks: 3534b. Packet rows to verify: 1856.1 +700-033+. All local rows to reconcile: 1856.1 +700-033+; 1856.2 +400-740-176+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"52","C_033_400_740_176_sibling","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-987","46","1","1863.2","sibling_033_branch","033","1863.2:+700-033+","short_between_longer_sides","multiple_longer_texts","+400-740-176+|+690-365-817+","176;365;400;690;740;817","1:+690-365-817+|2:+700-033+|3:+400-740-176+","1","3","1863.1;1863.2;1863.3","11715586","","FTrench IV+V","-I13/21","Period 3B/C/Stratum V","-13.25 ft","Steatite","prism/triangular","Fair/complete","16.5 x 6.4 x 0","1863.1:+690-365-817+;1863.2:+700-033+;1863.3:+400-740-176+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-987. Metadata source hooks: 11715586. Packet rows to verify: 1863.2 +700-033+. All local rows to reconcile: 1863.1 +690-365-817+; 1863.2 +700-033+; 1863.3 +400-740-176+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"53","C_033_400_740_176_sibling","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1304","47","1","5470.2","duplicate_family_risk;sibling_033_branch","033","5470.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","5470.1;5470.2","2480","","FTrench I","-M10/15","Period 3B/C/Stratum VI","-15.25 ft","","oval/rectangular","Poor/fragment","14.5 x 0 x 0","5470.1:+400-740-176+;5470.2:+700-033+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1304. Metadata source hooks: 2480. Packet rows to verify: 5470.2 +700-033+. All local rows to reconcile: 5470.1 +400-740-176+; 5470.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
