rank,scope,unit_kind,unit,context_field,context_value,n_rows,unit_rows,label_rows,support,expected,precision,recall,lift,log2_lift,z,max_null_ge_observed_share,worst_null_model,non_site_max_null_ge_observed_share,non_site_worst_null_model,field_max_null_ge_observed_share,field_worst_null_model,example_cisis,example_texts
66,text_only,unigram,154,site_type_symbol,Harappa|SEAL:R|None,1798,28,56,8,0.87208,0.285714,0.142857,9.173469,3.197467,7.813449,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-132;H-143;H-146;H-152|H-670|H-681|M-1986;H-154;H-157;H-158;H-160,+154-806-471-407-845-740-233-231-798+;+154-806-469-001-740-877-032+;+154-806-467-031+;+154-806-468+;+154-806-467-013-817+;+154-615-503+;+154-806-472-001-740-405-590+;+400-154-806-468+
67,text_only,first,154,site_type_symbol,Harappa|SEAL:R|None,1798,22,56,7,0.685206,0.318182,0.125,10.215909,3.352746,7.796003,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-132;H-143;H-146;H-152|H-670|H-681|M-1986;H-154;H-157;H-158,+154-806-471-407-845-740-233-231-798+;+154-806-469-001-740-877-032+;+154-806-467-031+;+154-806-468+;+154-806-467-013-817+;+154-615-503+;+154-806-472-001-740-405-590+
68,text_only,unigram,700,type_symbol,TAB:B|None,1798,55,200,24,6.117909,0.436364,0.12,3.922909,1.971924,7.786613,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1120|H-1138|H-1273|H-1354|H-1817|H-1823|H-1824|H-1825|H-1828|H-1829|H-1830|H-1831|H-1832|H-1844|H-1845|H-1846|H-1850|H-1854|H-1860|H-1867|H-1868|H-1869|H-1870|H-1871|H-1874|H-1894|H-1895|H-1907|H-1943|H-1981|H-1982|H-1987|H-2070|H-2094|H-2095|H-2096|H-2102|H-2105|H-2130|H-2137|H-2140|H-2141|H-2143|H-215|H-2155|H-2204|H-2206|H-2218|H-2219|H-2220|H-2221|H-2222|H-2223|H-2224|H-2225|H-2226|H-2227|H-2228|H-2229|H-2230|H-2231|H-2232|H-2233|H-2234|H-2235|H-2236|H-2237|H-2239|H-2246|H-285|H-297|H-307|H-308|H-312|H-313|H-314|H-317|H-320|H-324|H-350|H-351|H-363|H-771|H-780|H-785|H-788|H-819|H-823|H-893|H-910|H-936|H-939|H-946|H-947|H-952|H-953|H-960|H-982|H-983|H-985;?-6|H-1100|H-1102|H-1123|H-1133|H-1134|H-1146|H-1153|H-1156|H-1281|H-1294|H-1309|H-1312|H-1313|H-1319|H-1320|H-1321|H-1330|H-1771|H-1772|H-1773|H-1774|H-1804|H-1836|H-1841|H-1853|H-1865|H-1902|H-1906|H-1909|H-1922|H-1923|H-1931|H-1936|H-1941|H-209|H-2129|H-213|H-2139|H-214|H-2146|H-217|H-2173|H-2183|H-2184|H-2185|H-2186|H-2198|H-2201|H-2211|H-2217|H-230|H-232|H-251|H-315|H-322|H-327|H-340|H-341|H-361|H-362|H-697|H-717|H-766|H-768|H-778|H-796|H-802|H-814|H-815|H-833|H-837|H-852|H-854|H-877|H-926|H-930|H-943|H-944|H-962|H-963|H-965|H-966|H-968|H-969|H-975|K-68;H-1124|H-1188|H-1198|H-1270|H-1287|H-1295|H-1302|H-1303|H-1304|H-1308|H-1344|H-1345|H-1346|H-1347|H-1348|H-1768|H-1822|H-1839|H-1861|H-1872|H-1873|H-1883|H-1896|H-1898|H-1905|H-1908|H-1915|H-1929|H-1933|H-1940|H-1947|H-1993|H-1995|H-206|H-2115|H-2125|H-2131|H-2142|H-216|H-218|H-219|H-2197|H-2209|H-2213|H-2214|H-2215|H-2238|H-229|H-231|H-233|H-237|H-239|H-245|H-248|H-296|H-303|H-306|H-309|H-311|H-316|H-326|H-329|H-343|H-344|H-345|H-352|H-353|H-354|H-355|H-356|H-357|H-369|H-372|H-702|H-703|H-733|H-734|H-767|H-770|H-783|H-790|H-798|H-799|H-800|H-818|H-821|H-822|H-827|H-834|H-838|H-846|H-847|H-848|H-857|H-876|H-891|H-900|H-914|H-916|H-924|H-925|H-927|H-928|H-929|H-934|H-935|H-948|H-949|H-951|H-959|H-961|H-976|H-978|H-979|H-986|H-987;H-1112|H-1842|H-1851|H-1858|H-1859|H-1897|H-1903|H-1912|H-1924|H-1938|H-211|H-2272|H-249|H-323|H-776|H-781|H-789|H-792|H-793|H-795|H-812|H-816|H-931|H-942|H-950;H-2016|H-811;H-1881|H-371|H-801;H-1881;H-1876|H-1877|H-1880|H-1937|H-2097|H-2154|H-2208|H-358|H-853|H-892|H-933|H-938|H-945,+700-034+;+700-032+;+700-033+;+033-700+;+700-032-740-335-575-413+;+700-036+;+415-700-033-171+;+034-700+
69,text_only,bigram,400-740,type_symbol,TAB:B|None,1798,83,200,31,9.232481,0.373494,0.155,3.357711,1.747478,7.778542,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1102;H-874;H-1894|H-1929;H-1895|H-251;H-1897;H-178|H-1854|H-2136;H-1850,+400-740-176+;+400-740-382+;+400-740-455+;+400-740-061-140+;+400-740-100-240+;+400-740-904-240+;+400-740-717+;+400-740-760-382+
70,text_only,unigram,002,site_type,Mohenjo-daro|SEAL:S,1798,455,741,258,187.516685,0.567033,0.348178,1.375878,0.460352,7.765327,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,C-66|H-407|M-32;H-2003|M-1844|M-984;H-1680|M-1729|M-1806|Ns-7;H-1785|M-1063;K-82|M-1697|M-712;L-161|L-162|L-163|L-164|L-165|L-166|L-167|L-168|L-169|L-170|M-895;M-1755|M-2060;M-1696,+390-003-002-817+;+390-004-002-817+;+390-003-002-820+;+407-004-002-861+;+390-003-002-861+;+740-048-002-817+;+740-176-002-861+;+520-033-705-220-415-002-861+
71,text_only,unigram,700,type,TAB:B,1798,55,312,31,9.543938,0.563636,0.099359,3.248135,1.699612,7.757057,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1120|H-1138|H-1273|H-1354|H-1817|H-1823|H-1824|H-1825|H-1828|H-1829|H-1830|H-1831|H-1832|H-1844|H-1845|H-1846|H-1850|H-1854|H-1860|H-1867|H-1868|H-1869|H-1870|H-1871|H-1874|H-1894|H-1895|H-1907|H-1943|H-1981|H-1982|H-1987|H-2070|H-2094|H-2095|H-2096|H-2102|H-2105|H-2130|H-2137|H-2140|H-2141|H-2143|H-215|H-2155|H-2204|H-2206|H-2218|H-2219|H-2220|H-2221|H-2222|H-2223|H-2224|H-2225|H-2226|H-2227|H-2228|H-2229|H-2230|H-2231|H-2232|H-2233|H-2234|H-2235|H-2236|H-2237|H-2239|H-2246|H-285|H-297|H-307|H-308|H-312|H-313|H-314|H-317|H-320|H-324|H-350|H-351|H-363|H-771|H-780|H-785|H-788|H-819|H-823|H-893|H-910|H-936|H-939|H-946|H-947|H-952|H-953|H-960|H-982|H-983|H-985;?-6|H-1100|H-1102|H-1123|H-1133|H-1134|H-1146|H-1153|H-1156|H-1281|H-1294|H-1309|H-1312|H-1313|H-1319|H-1320|H-1321|H-1330|H-1771|H-1772|H-1773|H-1774|H-1804|H-1836|H-1841|H-1853|H-1865|H-1902|H-1906|H-1909|H-1922|H-1923|H-1931|H-1936|H-1941|H-209|H-2129|H-213|H-2139|H-214|H-2146|H-217|H-2173|H-2183|H-2184|H-2185|H-2186|H-2198|H-2201|H-2211|H-2217|H-230|H-232|H-251|H-315|H-322|H-327|H-340|H-341|H-361|H-362|H-697|H-717|H-766|H-768|H-778|H-796|H-802|H-814|H-815|H-833|H-837|H-852|H-854|H-877|H-926|H-930|H-943|H-944|H-962|H-963|H-965|H-966|H-968|H-969|H-975|K-68;H-1124|H-1188|H-1198|H-1270|H-1287|H-1295|H-1302|H-1303|H-1304|H-1308|H-1344|H-1345|H-1346|H-1347|H-1348|H-1768|H-1822|H-1839|H-1861|H-1872|H-1873|H-1883|H-1896|H-1898|H-1905|H-1908|H-1915|H-1929|H-1933|H-1940|H-1947|H-1993|H-1995|H-206|H-2115|H-2125|H-2131|H-2142|H-216|H-218|H-219|H-2197|H-2209|H-2213|H-2214|H-2215|H-2238|H-229|H-231|H-233|H-237|H-239|H-245|H-248|H-296|H-303|H-306|H-309|H-311|H-316|H-326|H-329|H-343|H-344|H-345|H-352|H-353|H-354|H-355|H-356|H-357|H-369|H-372|H-702|H-703|H-733|H-734|H-767|H-770|H-783|H-790|H-798|H-799|H-800|H-818|H-821|H-822|H-827|H-834|H-838|H-846|H-847|H-848|H-857|H-876|H-891|H-900|H-914|H-916|H-924|H-925|H-927|H-928|H-929|H-934|H-935|H-948|H-949|H-951|H-959|H-961|H-976|H-978|H-979|H-986|H-987;H-1112|H-1842|H-1851|H-1858|H-1859|H-1897|H-1903|H-1912|H-1924|H-1938|H-211|H-2272|H-249|H-323|H-776|H-781|H-789|H-792|H-793|H-795|H-812|H-816|H-931|H-942|H-950;H-2016|H-811;H-1881|H-371|H-801;H-1881;H-1876|H-1877|H-1880|H-1937|H-2097|H-2154|H-2208|H-358|H-853|H-892|H-933|H-938|H-945,+700-034+;+700-032+;+700-033+;+033-700+;+700-032-740-335-575-413+;+700-036+;+415-700-033-171+;+034-700+
72,text_only,unigram,700,type_symbol,TAB:B|Bult,1798,55,17,6,0.520022,0.109091,0.352941,11.537968,3.528317,7.752755,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1120|H-1138|H-1273|H-1354|H-1817|H-1823|H-1824|H-1825|H-1828|H-1829|H-1830|H-1831|H-1832|H-1844|H-1845|H-1846|H-1850|H-1854|H-1860|H-1867|H-1868|H-1869|H-1870|H-1871|H-1874|H-1894|H-1895|H-1907|H-1943|H-1981|H-1982|H-1987|H-2070|H-2094|H-2095|H-2096|H-2102|H-2105|H-2130|H-2137|H-2140|H-2141|H-2143|H-215|H-2155|H-2204|H-2206|H-2218|H-2219|H-2220|H-2221|H-2222|H-2223|H-2224|H-2225|H-2226|H-2227|H-2228|H-2229|H-2230|H-2231|H-2232|H-2233|H-2234|H-2235|H-2236|H-2237|H-2239|H-2246|H-285|H-297|H-307|H-308|H-312|H-313|H-314|H-317|H-320|H-324|H-350|H-351|H-363|H-771|H-780|H-785|H-788|H-819|H-823|H-893|H-910|H-936|H-939|H-946|H-947|H-952|H-953|H-960|H-982|H-983|H-985;?-6|H-1100|H-1102|H-1123|H-1133|H-1134|H-1146|H-1153|H-1156|H-1281|H-1294|H-1309|H-1312|H-1313|H-1319|H-1320|H-1321|H-1330|H-1771|H-1772|H-1773|H-1774|H-1804|H-1836|H-1841|H-1853|H-1865|H-1902|H-1906|H-1909|H-1922|H-1923|H-1931|H-1936|H-1941|H-209|H-2129|H-213|H-2139|H-214|H-2146|H-217|H-2173|H-2183|H-2184|H-2185|H-2186|H-2198|H-2201|H-2211|H-2217|H-230|H-232|H-251|H-315|H-322|H-327|H-340|H-341|H-361|H-362|H-697|H-717|H-766|H-768|H-778|H-796|H-802|H-814|H-815|H-833|H-837|H-852|H-854|H-877|H-926|H-930|H-943|H-944|H-962|H-963|H-965|H-966|H-968|H-969|H-975|K-68;H-1124|H-1188|H-1198|H-1270|H-1287|H-1295|H-1302|H-1303|H-1304|H-1308|H-1344|H-1345|H-1346|H-1347|H-1348|H-1768|H-1822|H-1839|H-1861|H-1872|H-1873|H-1883|H-1896|H-1898|H-1905|H-1908|H-1915|H-1929|H-1933|H-1940|H-1947|H-1993|H-1995|H-206|H-2115|H-2125|H-2131|H-2142|H-216|H-218|H-219|H-2197|H-2209|H-2213|H-2214|H-2215|H-2238|H-229|H-231|H-233|H-237|H-239|H-245|H-248|H-296|H-303|H-306|H-309|H-311|H-316|H-326|H-329|H-343|H-344|H-345|H-352|H-353|H-354|H-355|H-356|H-357|H-369|H-372|H-702|H-703|H-733|H-734|H-767|H-770|H-783|H-790|H-798|H-799|H-800|H-818|H-821|H-822|H-827|H-834|H-838|H-846|H-847|H-848|H-857|H-876|H-891|H-900|H-914|H-916|H-924|H-925|H-927|H-928|H-929|H-934|H-935|H-948|H-949|H-951|H-959|H-961|H-976|H-978|H-979|H-986|H-987;H-1112|H-1842|H-1851|H-1858|H-1859|H-1897|H-1903|H-1912|H-1924|H-1938|H-211|H-2272|H-249|H-323|H-776|H-781|H-789|H-792|H-793|H-795|H-812|H-816|H-931|H-942|H-950;H-1876|H-1877|H-1880|H-1937|H-2097|H-2154|H-2208|H-358|H-853|H-892|H-933|H-938|H-945;H-1797|H-1855|H-1864|H-1932|H-1942|H-1945|H-212|H-321|H-359|H-777|H-779|H-794|H-813|H-817|H-839|H-849|H-850,+700-034+;+700-032+;+700-033+;+033-700+;+034-700+;+032-700+
73,text_only,unigram,700,site_type_symbol,Harappa|TAB:B|Bult,1798,55,17,6,0.520022,0.109091,0.352941,11.537968,3.528317,7.752755,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-1120|H-1138|H-1273|H-1354|H-1817|H-1823|H-1824|H-1825|H-1828|H-1829|H-1830|H-1831|H-1832|H-1844|H-1845|H-1846|H-1850|H-1854|H-1860|H-1867|H-1868|H-1869|H-1870|H-1871|H-1874|H-1894|H-1895|H-1907|H-1943|H-1981|H-1982|H-1987|H-2070|H-2094|H-2095|H-2096|H-2102|H-2105|H-2130|H-2137|H-2140|H-2141|H-2143|H-215|H-2155|H-2204|H-2206|H-2218|H-2219|H-2220|H-2221|H-2222|H-2223|H-2224|H-2225|H-2226|H-2227|H-2228|H-2229|H-2230|H-2231|H-2232|H-2233|H-2234|H-2235|H-2236|H-2237|H-2239|H-2246|H-285|H-297|H-307|H-308|H-312|H-313|H-314|H-317|H-320|H-324|H-350|H-351|H-363|H-771|H-780|H-785|H-788|H-819|H-823|H-893|H-910|H-936|H-939|H-946|H-947|H-952|H-953|H-960|H-982|H-983|H-985;?-6|H-1100|H-1102|H-1123|H-1133|H-1134|H-1146|H-1153|H-1156|H-1281|H-1294|H-1309|H-1312|H-1313|H-1319|H-1320|H-1321|H-1330|H-1771|H-1772|H-1773|H-1774|H-1804|H-1836|H-1841|H-1853|H-1865|H-1902|H-1906|H-1909|H-1922|H-1923|H-1931|H-1936|H-1941|H-209|H-2129|H-213|H-2139|H-214|H-2146|H-217|H-2173|H-2183|H-2184|H-2185|H-2186|H-2198|H-2201|H-2211|H-2217|H-230|H-232|H-251|H-315|H-322|H-327|H-340|H-341|H-361|H-362|H-697|H-717|H-766|H-768|H-778|H-796|H-802|H-814|H-815|H-833|H-837|H-852|H-854|H-877|H-926|H-930|H-943|H-944|H-962|H-963|H-965|H-966|H-968|H-969|H-975|K-68;H-1124|H-1188|H-1198|H-1270|H-1287|H-1295|H-1302|H-1303|H-1304|H-1308|H-1344|H-1345|H-1346|H-1347|H-1348|H-1768|H-1822|H-1839|H-1861|H-1872|H-1873|H-1883|H-1896|H-1898|H-1905|H-1908|H-1915|H-1929|H-1933|H-1940|H-1947|H-1993|H-1995|H-206|H-2115|H-2125|H-2131|H-2142|H-216|H-218|H-219|H-2197|H-2209|H-2213|H-2214|H-2215|H-2238|H-229|H-231|H-233|H-237|H-239|H-245|H-248|H-296|H-303|H-306|H-309|H-311|H-316|H-326|H-329|H-343|H-344|H-345|H-352|H-353|H-354|H-355|H-356|H-357|H-369|H-372|H-702|H-703|H-733|H-734|H-767|H-770|H-783|H-790|H-798|H-799|H-800|H-818|H-821|H-822|H-827|H-834|H-838|H-846|H-847|H-848|H-857|H-876|H-891|H-900|H-914|H-916|H-924|H-925|H-927|H-928|H-929|H-934|H-935|H-948|H-949|H-951|H-959|H-961|H-976|H-978|H-979|H-986|H-987;H-1112|H-1842|H-1851|H-1858|H-1859|H-1897|H-1903|H-1912|H-1924|H-1938|H-211|H-2272|H-249|H-323|H-776|H-781|H-789|H-792|H-793|H-795|H-812|H-816|H-931|H-942|H-950;H-1876|H-1877|H-1880|H-1937|H-2097|H-2154|H-2208|H-358|H-853|H-892|H-933|H-938|H-945;H-1797|H-1855|H-1864|H-1932|H-1942|H-1945|H-212|H-321|H-359|H-777|H-779|H-794|H-813|H-817|H-839|H-849|H-850,+700-034+;+700-032+;+700-033+;+033-700+;+034-700+;+032-700+
74,text_only,unigram,400,type_symbol,TAB:I|None,1798,199,140,43,15.494994,0.21608,0.307143,2.77509,1.472534,7.713801,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1319|H-1320;H-1287;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1331|H-1332|H-2033|H-2034|H-347;H-1192;H-1181|H-2062|H-2063|H-2066|H-299|H-358|H-761|H-896|H-897;H-1858|H-1859|H-1956|H-2104|H-215|H-976;H-178|H-1854|H-2136,+400-678+;+400-156-140-032+;+400-740-176+;+400-098+;+400-740-767-220-416+;+400-156-435-255+;+400-137+;+400-740-717+
75,text_only,bigram,400-740,site_type_symbol,Harappa|TAB:B|None,1798,83,181,29,8.355395,0.349398,0.160221,3.470811,1.795273,7.709122,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1102;H-874;H-1894|H-1929;H-1895|H-251;H-1897;H-178|H-1854|H-2136;H-1850,+400-740-176+;+400-740-382+;+400-740-455+;+400-740-061-140+;+400-740-100-240+;+400-740-904-240+;+400-740-717+;+400-740-760-382+
76,text_only,unigram,700,material_type,NA|TAB:B,1798,55,90,15,2.753059,0.272727,0.166667,5.448485,2.445855,7.689465,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1120|H-1138|H-1273|H-1354|H-1817|H-1823|H-1824|H-1825|H-1828|H-1829|H-1830|H-1831|H-1832|H-1844|H-1845|H-1846|H-1850|H-1854|H-1860|H-1867|H-1868|H-1869|H-1870|H-1871|H-1874|H-1894|H-1895|H-1907|H-1943|H-1981|H-1982|H-1987|H-2070|H-2094|H-2095|H-2096|H-2102|H-2105|H-2130|H-2137|H-2140|H-2141|H-2143|H-215|H-2155|H-2204|H-2206|H-2218|H-2219|H-2220|H-2221|H-2222|H-2223|H-2224|H-2225|H-2226|H-2227|H-2228|H-2229|H-2230|H-2231|H-2232|H-2233|H-2234|H-2235|H-2236|H-2237|H-2239|H-2246|H-285|H-297|H-307|H-308|H-312|H-313|H-314|H-317|H-320|H-324|H-350|H-351|H-363|H-771|H-780|H-785|H-788|H-819|H-823|H-893|H-910|H-936|H-939|H-946|H-947|H-952|H-953|H-960|H-982|H-983|H-985;?-6|H-1100|H-1102|H-1123|H-1133|H-1134|H-1146|H-1153|H-1156|H-1281|H-1294|H-1309|H-1312|H-1313|H-1319|H-1320|H-1321|H-1330|H-1771|H-1772|H-1773|H-1774|H-1804|H-1836|H-1841|H-1853|H-1865|H-1902|H-1906|H-1909|H-1922|H-1923|H-1931|H-1936|H-1941|H-209|H-2129|H-213|H-2139|H-214|H-2146|H-217|H-2173|H-2183|H-2184|H-2185|H-2186|H-2198|H-2201|H-2211|H-2217|H-230|H-232|H-251|H-315|H-322|H-327|H-340|H-341|H-361|H-362|H-697|H-717|H-766|H-768|H-778|H-796|H-802|H-814|H-815|H-833|H-837|H-852|H-854|H-877|H-926|H-930|H-943|H-944|H-962|H-963|H-965|H-966|H-968|H-969|H-975|K-68;H-1124|H-1188|H-1198|H-1270|H-1287|H-1295|H-1302|H-1303|H-1304|H-1308|H-1344|H-1345|H-1346|H-1347|H-1348|H-1768|H-1822|H-1839|H-1861|H-1872|H-1873|H-1883|H-1896|H-1898|H-1905|H-1908|H-1915|H-1929|H-1933|H-1940|H-1947|H-1993|H-1995|H-206|H-2115|H-2125|H-2131|H-2142|H-216|H-218|H-219|H-2197|H-2209|H-2213|H-2214|H-2215|H-2238|H-229|H-231|H-233|H-237|H-239|H-245|H-248|H-296|H-303|H-306|H-309|H-311|H-316|H-326|H-329|H-343|H-344|H-345|H-352|H-353|H-354|H-355|H-356|H-357|H-369|H-372|H-702|H-703|H-733|H-734|H-767|H-770|H-783|H-790|H-798|H-799|H-800|H-818|H-821|H-822|H-827|H-834|H-838|H-846|H-847|H-848|H-857|H-876|H-891|H-900|H-914|H-916|H-924|H-925|H-927|H-928|H-929|H-934|H-935|H-948|H-949|H-951|H-959|H-961|H-976|H-978|H-979|H-986|H-987;H-1112|H-1842|H-1851|H-1858|H-1859|H-1897|H-1903|H-1912|H-1924|H-1938|H-211|H-2272|H-249|H-323|H-776|H-781|H-789|H-792|H-793|H-795|H-812|H-816|H-931|H-942|H-950;H-1881|H-371|H-801;H-1876|H-1877|H-1880|H-1937|H-2097|H-2154|H-2208|H-358|H-853|H-892|H-933|H-938|H-945;H-1797|H-1855|H-1864|H-1932|H-1942|H-1945|H-212|H-321|H-359|H-777|H-779|H-794|H-813|H-817|H-839|H-849|H-850;H-1921|H-246,+700-034+;+700-032+;+700-033+;+033-700+;+700-036+;+034-700+;+032-700+;+125-700-033+
77,text_only,unigram,845,site_type,Mohenjo-daro|TAB:C,1798,13,52,5,0.375973,0.384615,0.096154,13.298817,3.733226,7.678378,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,M-1535|M-1536|M-1540|M-1563|M-2050|M-2054|M-582|M-583|M-585|M-586|M-587|M-588|M-602|M-604;M-1456|M-1457|M-507|M-508;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1515|M-1516|M-1517|M-567|M-568|M-569;M-603,+740-900-850-407-061-845-806+;+407-845-220-415+;+407-321-407-845-033-705-235+;+407-061-845-240-798+;+740-900-850-407-845-806+
78,text_only,first,700,type_symbol,TAB:B|None,1798,29,200,16,3.225806,0.551724,0.08,4.96,2.31034,7.603804,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1120|H-1138|H-1273|H-1354|H-1817|H-1823|H-1824|H-1825|H-1828|H-1829|H-1830|H-1831|H-1832|H-1844|H-1845|H-1846|H-1850|H-1854|H-1860|H-1867|H-1868|H-1869|H-1870|H-1871|H-1874|H-1894|H-1895|H-1907|H-1943|H-1981|H-1982|H-1987|H-2070|H-2094|H-2095|H-2096|H-2102|H-2105|H-2130|H-2137|H-2140|H-2141|H-2143|H-215|H-2155|H-2204|H-2206|H-2218|H-2219|H-2220|H-2221|H-2222|H-2223|H-2224|H-2225|H-2226|H-2227|H-2228|H-2229|H-2230|H-2231|H-2232|H-2233|H-2234|H-2235|H-2236|H-2237|H-2239|H-2246|H-285|H-297|H-307|H-308|H-312|H-313|H-314|H-317|H-320|H-324|H-350|H-351|H-363|H-771|H-780|H-785|H-788|H-819|H-823|H-893|H-910|H-936|H-939|H-946|H-947|H-952|H-953|H-960|H-982|H-983|H-985;?-6|H-1100|H-1102|H-1123|H-1133|H-1134|H-1146|H-1153|H-1156|H-1281|H-1294|H-1309|H-1312|H-1313|H-1319|H-1320|H-1321|H-1330|H-1771|H-1772|H-1773|H-1774|H-1804|H-1836|H-1841|H-1853|H-1865|H-1902|H-1906|H-1909|H-1922|H-1923|H-1931|H-1936|H-1941|H-209|H-2129|H-213|H-2139|H-214|H-2146|H-217|H-2173|H-2183|H-2184|H-2185|H-2186|H-2198|H-2201|H-2211|H-2217|H-230|H-232|H-251|H-315|H-322|H-327|H-340|H-341|H-361|H-362|H-697|H-717|H-766|H-768|H-778|H-796|H-802|H-814|H-815|H-833|H-837|H-852|H-854|H-877|H-926|H-930|H-943|H-944|H-962|H-963|H-965|H-966|H-968|H-969|H-975|K-68;H-1124|H-1188|H-1198|H-1270|H-1287|H-1295|H-1302|H-1303|H-1304|H-1308|H-1344|H-1345|H-1346|H-1347|H-1348|H-1768|H-1822|H-1839|H-1861|H-1872|H-1873|H-1883|H-1896|H-1898|H-1905|H-1908|H-1915|H-1929|H-1933|H-1940|H-1947|H-1993|H-1995|H-206|H-2115|H-2125|H-2131|H-2142|H-216|H-218|H-219|H-2197|H-2209|H-2213|H-2214|H-2215|H-2238|H-229|H-231|H-233|H-237|H-239|H-245|H-248|H-296|H-303|H-306|H-309|H-311|H-316|H-326|H-329|H-343|H-344|H-345|H-352|H-353|H-354|H-355|H-356|H-357|H-369|H-372|H-702|H-703|H-733|H-734|H-767|H-770|H-783|H-790|H-798|H-799|H-800|H-818|H-821|H-822|H-827|H-834|H-838|H-846|H-847|H-848|H-857|H-876|H-891|H-900|H-914|H-916|H-924|H-925|H-927|H-928|H-929|H-934|H-935|H-948|H-949|H-951|H-959|H-961|H-976|H-978|H-979|H-986|H-987;H-2016|H-811;H-1881|H-371|H-801;H-1919;H-1827;H-1862,+700-034+;+700-032+;+700-033+;+700-032-740-335-575-413+;+700-036+;+700-031+;+700-032-690-368-817+;+700-033-368-091+
79,text_only,unigram,845,type,TAB:C,1798,13,53,5,0.383204,0.384615,0.09434,13.047896,3.705745,7.595879,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-1535|M-1536|M-1540|M-1563|M-2050|M-2054|M-582|M-583|M-585|M-586|M-587|M-588|M-602|M-604;M-1456|M-1457|M-507|M-508;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1515|M-1516|M-1517|M-567|M-568|M-569;M-603,+740-900-850-407-061-845-806+;+407-845-220-415+;+407-321-407-845-033-705-235+;+407-061-845-240-798+;+740-900-850-407-845-806+
80,text_only,unigram,845,material_type,Copper|TAB:C,1798,13,53,5,0.383204,0.384615,0.09434,13.047896,3.705745,7.595879,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-1535|M-1536|M-1540|M-1563|M-2050|M-2054|M-582|M-583|M-585|M-586|M-587|M-588|M-602|M-604;M-1456|M-1457|M-507|M-508;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1515|M-1516|M-1517|M-567|M-568|M-569;M-603,+740-900-850-407-061-845-806+;+407-845-220-415+;+407-321-407-845-033-705-235+;+407-061-845-240-798+;+740-900-850-407-845-806+
81,text_only,unigram,154,site_type,Harappa|SEAL:R,1798,28,60,8,0.934372,0.285714,0.133333,8.561905,3.097932,7.491148,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-132;H-143;H-146;H-152|H-670|H-681|M-1986;H-154;H-157;H-158;H-160,+154-806-471-407-845-740-233-231-798+;+154-806-469-001-740-877-032+;+154-806-467-031+;+154-806-468+;+154-806-467-013-817+;+154-615-503+;+154-806-472-001-740-405-590+;+400-154-806-468+
