edge,text_families,terminal_families,terminal_share,sites,types,examples
760-840,5,0,0,2,2,+740-760-840-799+ | +740-760-840-013+ | +892-374-740-760-840-416-002-861+ | +740-760-840-552-003+ | +740-760-840-552-002-817+
798-460,5,0,0,2,2,+740-798-460-015+ | +740-798-460-350-235-741-390-140+ | +740-798-460-350-002-814-084+ | +400-740-904-798-460-350+ | +740-100-415-798-460-350-002-817+
798-463,5,0,0,2,3,+740-798-463-354+ | +740-798-463-350-741-590-032+ | +154-798-463-353+ | +871-740-643/740-798-463-350-002-374-575+ | +740-798-463-350-742-706-032+
803-060,5,0,0,3,4,+740-803-060-550+ | +740-407-590-904-220-032-803-060-920+ | +103-740-803-060-540+ | +842-374-125/740-803-060-692-740-690-435-255-060-692+ | +520-233-803-060-820+
803-741,5,0,0,3,2,+740-803-741-031-032-716+ | +520-233-240-803-741-125+ | +520-220-803-741-262+ | +740-923-803-741-500-705+ | +234-803-741-082-350+
013-820,4,4,1,2,2,+154-806-474-013-820+ | +617-142-013-820+ | +740-923-013-820+ | +390-016-013-820+
031-892,4,4,1,3,3,+520-033-706-235-798-803-002-031-892+ | +015-013-031-892+ | +368-821-055-031-002-031-892+ | +031-892+
032-905,4,3,0.75,1,2,+617-142-597-032-905+ | +617-142-597-032-905/407-004-002-365-460-495+ | +130-032-905+ | +032-905+
231-235,4,3,0.75,3,2,+158-806-468-740-752-231-235+ | +527-555-231-235+ | +520-231-235+ | +740-877-032-033-705-231-235-002-861-360-520-919-140+
415-803,4,3,0.75,2,3,+740-407-590-690-436-255-920-318-220-415-803+ | +520-033-706-231-415-803+ | +740-575-017-220-415-803+ | +406-371-220-415-803-742-920-320+
460-495,4,3,0.75,2,2,+520-460-495+ | +617-142-597-032-905/407-004-002-365-460-495+ | +520-460-495-002-595-906+ | +407-004-002-365-460-495+
840-032,4,3,0.75,2,3,+700-840-032-741+ | +740-760-268-002-840-032+ | +617-831-013-302-840-032+ | +840-032+
032-806,4,2,0.5,2,2,+740-176-690-435-255-220-032-806-060-550+ | +740-405-590-220-032-806+ | +679-740-220-032-806-001-595-575-001-095+ | +740-055-240-220-032-806+
100-220,4,2,0.5,2,2,+151-100-220+ | +090-740-100-220-002-031-165+ | +740-100-220+ | +090-740-100-220-032-741-361+
220-004,4,2,0.5,3,3,+700-220-004+ | +740-388-220-004-060-920+ | +520-033-706-060-220-004+ | +520-220-004-002-817+
235-240,4,2,0.5,2,2,+090-740-235-240+ | +740-083-235-240+ | +740-388-235-240-798-002-861+ | +520-033-705-235-240-741-903-903+
384-031,4,2,0.5,2,5,+156-384-031-400+ | +740-384-031+ | +400-156-384-031+ | +740-384-031-950-001-741-257-840+
422-003,4,2,0.5,3,3,+422-003-001-060-065-405-720+ | +422-003+ | +422-003-900-740-690-435-255+ | +740-100-176-422-003+
550-003,4,2,0.5,2,3,+550-003-435+ | +617-550-003+ | +617-550-003-790+ | +031-031-550-003+
555-235,4,2,0.5,3,3,+526-555-235+ | +527-555-235-002-861+ | +526-555-235-002-861+ | +527-555-235+
740-792,4,2,0.5,2,4,+090-740-792+ | +740-792+ | +090-740-792-002-817+ | +090-740-792-740-220-003-803+
760-605,4,2,0.5,3,4,+400-740-760-605+ | +740-760-605-002-540-590+ | +740-760-605-002-861+ | +740-760-605+
904-240,4,2,0.5,2,2,+740-904-240-002-817+ | +740-904-240+ | +400-740-904-240+ | +740-904-240-235+
003-900,4,1,0.25,2,3,+515-740-220-003-900+ | +154-003-900-545+ | +400-592-140-003-900-692-003-700+ | +422-003-900-740-690-435-255+
032-803,4,1,0.25,2,2,+740-407-590-904-220-032-803-060-920+ | +031-850-140-236-220-032-803-002-820+ | +226-032-803+ | +740-384-032-803-002-820+
156-142,4,1,0.25,3,1,+156-142-060-820+ | +156-142+ | +156-142-368-817+ | +156-142-741-060-920+
176-240,4,1,0.25,2,2,+400-740-176-240+ | +740-176-240-002-702-503+ | +740-176-240-002-817+ | +679-740-176-240-798-002-861+
231-806,4,1,0.25,2,3,+409-032-845-033-705-231-806-002-595-812-125-717+ | +740-773-231-806-002-861+ | +520-033-706-231-806-002-817+ | +740-176-231-806+
390-017,4,1,0.25,4,2,+390-017-002-220-455-741+ | +390-017-741-060-920+ | +390-017+ | +463-513/390-017-002-463-575+
426-003,4,1,0.25,4,2,+426-003-060-692+ | +426-003-013-817+ | +426-003-002-388-031+ | +426-003+
460-350,4,1,0.25,1,2,+740-798-460-350-235-741-390-140+ | +740-798-460-350-002-814-084+ | +400-740-904-798-460-350+ | +740-100-415-798-460-350-002-817+
480-850,4,1,0.25,2,3,+390-128-702-032/226-032-013-480-850+ | +368-501-706/821-001-480-850-595-391+ | +821-001-480-850-595-391+ | +904-004-821-001-480-850-595-391+
520-460,4,1,0.25,3,1,+520-460-495+ | +520-460+ | +520-460-031+ | +520-460-495-002-595-906+
590-033,4,1,0.25,2,4,+416-590-033+ | +354-001-740-405-590-033-706-002-690-921+ | +740-390-590-033-705+ | +740-798-405-590-033-706-806+
615-495,4,1,0.25,2,2,+740-615-495-002-825+ | +740-615-495-002-817+ | +740-615-495-240-002-861+ | +740-615-495+
642-240,4,1,0.25,1,2,+740-642-240-060-692+ | +740-642-240-204-705-621+ | +740-690-642-240+ | +740-642-240-001-692+
740-231,4,1,0.25,3,2,+740-231-220-032-002-817+ | +740-231-003+ | +151-740-231+ | +621/090-740-231-740-560-534+
740-416,4,1,0.25,3,2,+740-416-002-861+ | +740-416+ | +740-416-741-060-920+ | +740-416-621-002-820+
772-240,4,1,0.25,2,2,+740-772-240-060-415-056+ | +740-772-240+ | +740-772-240-803+ | +740-772-240-002-900-003-590+
790-740,4,1,0.25,2,3,+790-740+ | +790-740-100-176-421-003+ | +790/740-100-415-740-257-840+ | +790-740-100-405-590+
798-231,4,1,0.25,2,2,+740-176-798-231+ | +740-798-231-060-820+ | +740-798-231-002-055-373+ | +740-798-231-002-298-460-032+
806-472,4,1,0.25,3,2,+154-806-472-001-740-405-590+ | +400-158-806-472+ | +740-100-806-472-240-806-001-820+ | +154-806-472-013-220-455-806+
001-060,4,0,0,4,1,+590-615-140/232-240-001-060-920+ | +740-690-435-255-001-060-201+ | +422-003-001-060-065-405-720+ | +740-390-590-001/060-820+
002-297,4,0,0,3,2,+226-003-002-297-350-125-413+ | +090-740-220-016-002-297-190-920-140+ | +740-760-440-002-297-416+ | +407-063-740-176-236-798-002-297-350-125-413+
002-365,4,0,0,3,2,+031-840-140-740-101-002-365-287-034+ | +617-142-597-032-905/407-004-002-365-460-495+ | +407-004-002-365-460-495+ | +391-002-365-550+
002-405,4,0,0,2,2,+740-920-320-233-806-002-405-321+ | +520-240-002-405-501+ | +740-336-176-002-405-372-374+ | +740-636-240-233-235-002-405-125-820+
002-595,4,0,0,2,2,+409-032-845-033-705-231-806-002-595-812-125-717+ | +740-760-070-255-832-240-002-595-504-803+ | +520-460-495-002-595-906+ | +016-002-595-342-632+
003-741,4,0,0,2,1,+429-003-741-060-920+ | +740-645-003-741-070-255+ | +520-220-003-741-060-920+ | +090-740-220-003-741-252-530+
005-741,4,0,0,3,2,+167-705-368-005-741-060-920+ | +407-005-741-500-561+ | +740-900-005-741-390-125+ | +368-005-741-060-920+
031-001,4,0,0,2,2,+740-031-001-140+ | +520-240-031-001-740-121+ | +520-220-031-001-706-575+ | +154-031-001-520-033-705+
031-032,4,0,0,2,3,+740-630-240-031-032-171+ | +400-740-636-240-031-032-171+ | +740-803-741-031-032-716+ | +031-032-171-745+
031-480,4,0,0,2,3,+031-480-388-032+ | +740-405-590-235-002-031-480-625+ | +031-480-165-900+ | +215-031-480-140-632-705-002-093-033+
032-033,4,0,0,1,3,+405-061-070-032-033-706-235-806-002-267-455+ | +740-877-032-033-705-231-235-002-861-360-520-919-140+ | +740-923-070-032-033-706-231-242-002-861-901+ | +790-032-033-705+
032-520,4,0,0,1,2,+407-032-520-095-585-017-220+ | +520-070-219-002-861-032-520-919-140+ | +407-032-520-095-585-017-231+ | +408-032-520-095-585-017-220+
032-900,4,0,0,2,2,+740-405-590-032-900-003-806-235-220-032-002-690-921+ | +405-032-900-003-070-002-233-235+ | +151-337-484-002-390-125-632-032-900-563+ | +298-350-590-032-900-853+
033-740,4,0,0,2,1,+033-033/740-142-061-140-002-546+ | +450-617-033/740-463-510-741-252-791+ | +413-033/740-388+ | +953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+
070-032,4,0,0,2,1,+740-390-590-070-032-002-861+ | +405-061-070-032-033-706-235-806-002-267-455+ | +740-923-406-061-070-032-741-861+ | +740-923-070-032-033-706-231-242-002-861-901+
070-921,4,0,0,2,2,+740-760-070-921-315-233+ | +520-070-921-240+ | +740-760-070-921-460-503-002-817+ | +520-070-921-742-615-920+
130-035,4,0,0,2,2,+820-130-035-171+ | +740-100-415-002-130-035-171+ | +740-585-220/002-130-035-171+ | +740-154-017-060-130-035-171+
140-740,4,0,0,3,2,+031-840-140-740-101-002-365-287-034+ | +407-845-140-740-233-240-798-365-263+ | +064-840-140-740-176+ | +407-845-140-740-101-923-240-002-861+
220-060,4,0,0,1,1,+740-798-220-060-820+ | +930/804-220-060-550+ | +621-520-220-060-880+ | +550-740-220-060-297-630+
233-060,4,0,0,2,1,+740-032-840-233-060-550+ | +740-269-511-233-060-820+ | +520-233-060-297+ | +090-740-233-060-368-817+
233-741,4,0,0,2,1,+740-803-233-741-250-579+ | +520-233-741-081-272+ | +740-100-235-233-741-060-920+ | +740-798-233-741-175+
235-233,4,0,0,1,1,+740-503-235-233-002-817+ | +565-740-798-235-233-013-269-632+ | +740-100-235-233-741-060-920+ | +520-033-705-235-233-002-817+
255-002,4,0,0,2,1,+740-690-435-255-002-368-861-590-032-368+ | +125-435-255-002-286-220-031-012-031-455-033-590+ | +740-690-435-255-002-817+ | +740-690-435-255-002-861+
255-220,4,0,0,2,1,+740-176-690-435-255-220-032-806-060-550+ | +740-760-260/220-255-220-063-315+ | +740-690-435-255-220-032-002-717-820+ | +740-690-435-255-220-032-240-235-002-390-125-632-032+
255-240,4,0,0,1,2,+740-690-435-255-240-741-906+ | +740-690-435-255-240-220-415-806-742-060-920+ | +740-690-435-255-240-235+ | +740-690-435-255-240-235-745-060-920+
335-575,4,0,0,1,1,+700-033-711-335-575-413+ | +700-032-740-335-575-413+ | +033-711-335-575-413+ | +740-033-711-335-575-413+
368-390,4,0,0,2,1,+368-390-125-033+ | +033-033-368-390-590+ | +368-390-710+ | +368-390-831+
384-032,4,0,0,2,2,+920-706-193-384-032-920-140-902+ | +740-384-032-002-817+ | +617-142-384-032-154-806-467+ | +740-384-032-803-002-820+
400-151,4,0,0,1,2,+400-151-097+ | +400-151-142+ | +400-151-336-630-706+ | +400-151-229+
400-156,4,0,0,1,3,+400-156-435-255+ | +400-156-140-032+ | +400-156-118+ | +400-156-384-031+
400-350,4,0,0,2,1,+520-400-350-031+ | +520-400-350-031-741-759+ | +090-740-400-350-031-545+ | +520-400-350-002-817+
400-892,4,0,0,3,4,+400-892-831+ | +400-892-829+ | +400-892-081-518-001-031-250+ | +400-892-865-031+
407-061,4,0,0,1,3,+740-900-850-407-061-845-806+ | +407-061-740-923-233-806-060-692+ | +407-061-002-817+ | +407-061-845-240-798+
407-790,4,0,0,3,1,+590-407-790-440+ | +590-407-790-032+ | +407-790-032+ | +590-407-790-001-746+
416-002,4,0,0,4,2,+740-416-002-861+ | +156-176-518-220-416-002-615+ | +416-002-824+ | +892-374-740-760-840-416-002-861+
550-740,4,0,0,2,2,+527-550-740-443-060-820+ | +368-001-550/740-543-350-002-820+ | +527-550-740-240-002-808+ | +550-740-220-060-297-630+
617-243,4,0,0,2,1,+617-243-950+ | +617-243-031-740-861+ | +617-243-706-595+ | +617-243-741-615-440-220+
617-550,4,0,0,2,3,+617-550-003+ | +617-550-003-790+ | +740-617-550-061-435-093-740-100-415+ | +617-550-033+
706-002,4,0,0,2,2,+354-001-740-405-590-033-706-002-690-921+ | +520-033-706-002-817-808+ | +520-033-706-002-861+ | +740-611-706-002-820+
706-240,4,0,0,2,2,+520-095-033-706-240-798+ | +520-033-706-240-233-803+ | +520-033-706-240-220-032-368-263+ | +520-033-706-240-235+
717-220,4,0,0,2,2,+159-097/520-033-705/740-717-220-415-806+ | +740-717-220-415+ | +100-904-717-220-415-806-742+ | +740-717-220-240-002-820+
740-017,4,0,0,3,2,+740-017-495-235-741-066+ | +400-740-017-503+ | +400-740-017-503-240+ | +740-017-503+
740-031,4,0,0,2,4,+740-031-904-001-032+ | +740-031-001-140+ | +740-031-504-235-060-920+ | +740-031-226+
740-269,4,0,0,2,1,+740-269-511-060-690+ | +740-269-511-233-060-820+ | +740-269-792-741-345+ | +060-692/740-269-140-002+
740-443,4,0,0,2,2,+740-443-388-033-705-233-002-817+ | +407-004-001-740-443-388-140+ | +527-550-740-443-060-820+ | +740-443-388-231+
740-540,4,0,0,2,3,+740-540-204-255+ | +740-540-002-817+ | +740-540-002-820+ | +740-540-920+
741-031,4,0,0,3,2,+740-803-741-031-032-716+ | +390-844-741-031-371+ | +165-741-031-060-692+ | +390-840-741-031-370+
741-572,4,0,0,3,1,+740-760-220-016-382-741-572-684+ | +090-740-032-840-741-572-683+ | +090-740-235-741-572-368+ | +520-033-033-741-572-368+
760-220,4,0,0,2,2,+151-760-220-003-002-861+ | +400-740-760-220-416+ | +740-760-220-016-382-741-572-684+ | +151-740-760-220/892-590-850-032+
760-335,4,0,0,2,2,+740-760-335-803+ | +740-760-335-220-032-002-820+ | +740-760-335-002-033-705+ | +740-760-335-741-060-920+
798-060,4,0,0,1,2,+520-220-240-798-060-692+ | +740-904-231-240-798-060-692+ | +740-554-220-415-798-060-692+ | +527-555-740-055-240-415-798-060-201+
832-904,4,0,0,2,2,+832-904-001+ | +832-904-001-820+ | +832-904-740-444-388-233-798-806+ | +204-630-233-832-904-794-630-235-060-550+
904-032,4,0,0,2,3,+740-904-032-233-803+ | +740-904-032-220-415-235-803-002-504-717+ | +740-904-032-060-550+ | +904-032-904+
923-033,4,0,0,1,2,+740-923-033-705-060-692+ | +001-740-923-033-705+ | +001-740-923-033-706+ | +740-923-033-706+
923-240,4,0,0,1,2,+740-923-240-235-060-820+ | +407-845-140-740-101-923-240-002-861+ | +740-923-240-235-806+ | +740-923-240-002-817+
002-880,3,3,1,2,2,+241-002-880+ | +740-460-503-002-880+ | +526-554-002-880+
003-003,3,3,1,3,2,+390-003-003+ | +003/003+ | +003-003+
032-025,3,3,1,1,1,+400-740-032-025+ | +690-032-025+ | +740-032-025+
032-904,3,3,1,2,2,+740-585-017-240-002-305-032-904+ | +617-142-597-032-904+ | +904-032-904+
257-840,3,3,1,3,2,+032-257-840+ | +790/740-100-415-740-257-840+ | +740-384-031-950-001-741-257-840+
368-260,3,3,1,2,1,+002-368-260+ | +740-455-002-368-260+ | +817-900-241-368-260+
595-391,3,3,1,1,3,+368-501-706/821-001-480-850-595-391+ | +821-001-480-850-595-391+ | +904-004-821-001-480-850-595-391+
700-004,3,3,1,2,2,+700-004+ | +220-700-004+ | +400-097-700-004+
741-861,3,3,1,2,1,+741-861+ | +740-630-240-741-861+ | +740-923-406-061-070-032-741-861+
820-033,3,3,1,3,2,+740-441-002-820-033+ | +090-740-100-415-240-820-033+ | +820-033+
861-603,3,3,1,1,2,+520-240-220-032-002-861-603+ | +740-585-017-033-705-233-798-803-002-861-603+ | +740-055-002-861-603+
892-831,3,3,1,2,3,+400-892-831+ | +892-831+ | +892-831
001-920,3,2,0.6666666666666666,1,1,+842-871-192-368/740-482-060-692-520-220-235-001-920+ | +842-535-099-004/740-482-060-692-520-220-235-001-920+ | +046-031-033-705-233-001-920-374+
017-220,3,2,0.6666666666666666,2,2,+740-575-017-220-415-803+ | +407-032-520-095-585-017-220+ | +408-032-520-095-585-017-220+
032-032,3,2,0.6666666666666666,1,2,+032-032-700+ | +032/032+ | +034-032-032+
032-171,3,2,0.6666666666666666,2,2,+740-630-240-031-032-171+ | +400-740-636-240-031-032-171+ | +031-032-171-745+
032-235,3,2,0.6666666666666666,2,2,+740-877-032-235-060-550-611-840+ | +740-794-734-032-235+ | +740-877-032-235+
125-032,3,2,0.6666666666666666,2,2,+002-610-125-032+ | +520-033-705-233-240-002-610-125-032+ | +400-595-420-125-032-820-920-140+
158-003,3,2,0.6666666666666666,3,3,+158-003-494+ | +400-158-003+ | +158-003+
171-061,3,2,0.6666666666666666,2,1,+090-740-035-171-061+ | +090-740-035-171-061-031-002-069+ | +400-090-740-035-171-061+
231-798,3,2,0.6666666666666666,2,3,+154-806-471-407-845-740-233-231-798+ | +226-032-231-798-002-693+ | +740-100-904-033-705-231-798+
336-176,3,2,0.6666666666666666,2,3,+740-336-176+ | +400-740-336-176+ | +740-336-176-002-405-372-374+
436-255,3,2,0.6666666666666666,2,2,+740-407-590-690-436-255-920-318-220-415-803+ | +740-690-436-255+ | +400-740-690-436-255+
503-240,3,2,0.6666666666666666,1,1,+400-740-017-503-240+ | +740-752-017-503-240-235-806+ | +520-070-503-240+
617-033,3,2,0.6666666666666666,2,1,+154-003-617-033+ | +450-617-033/740-463-510-741-252-791+ | +298-465-033-705-231-002-564-617-033+
705-031,3,2,0.6666666666666666,2,2,+368-033-705-031-741-390-741+ | +520-033-705-031+ | +243-705-031+
706-140,3,2,0.6666666666666666,2,2,+064-706-140+ | +706-140-632+ | +595-420-706-140+
740-806,3,2,0.6666666666666666,3,2,+405-061-740-806+ | +740-806-240-002-820+ | +045-740-806+
760-382,3,2,0.6666666666666666,1,2,+382-760-382-002-820+ | +400-740-760-382+ | +740-760-382+
900-004,3,2,0.6666666666666666,2,3,+740-900-004+ | +900-004+ | +154-900-004-001-390-032+
001-032,3,1,0.3333333333333333,2,3,+740-031-904-001-032+ | +317-890-001-032-776-625+ | +033-001-032-091+
001-550,3,1,0.3333333333333333,2,2,+368-001-550/740-543-350-002-820+ | +621/740-482-001-550+ | +740-740-001-550-467+
007-503,3,1,0.3333333333333333,2,2,+740-007-503-626-484+ | +740-007-503-002-817+ | +740-007-503+
032-233,3,1,0.3333333333333333,2,3,+740-904-032-233-803+ | +740-877-032-233+ | +740-861-032-233-803-002-820+
032-798,3,1,0.3333333333333333,1,1,+740-055-220-032-798-002-820+ | +226-032-798-742-060-920+ | +740-752-440-220-032-798+
060-297,3,1,0.3333333333333333,2,1,+520-233-060-297+ | +550-740-220-060-297-630+ | +520-070-495-240-060-297-368-632-032+
061-033,3,1,0.3333333333333333,2,2,+740-400-142-061-033+ | +405-061-033-706-794-630-220-002-820+ | +405-061-033-705-236+
100-001,3,1,0.3333333333333333,2,3,+032-700-100-001+ | +740-100-001-440-742-060-920+ | +494-615-179-100-001-033-426+
136-140,3,1,0.3333333333333333,1,2,+136-140-002-861+ | +615-016-435-255-400-136-140+ | +136-140-861-455-922+
151-061,3,1,0.3333333333333333,2,1,+151-061+ | +151-061/156-002-252-692+ | +151-061-002-861+
154-003,3,1,0.3333333333333333,2,2,+154-003+ | +154-003-617-033+ | +154-003-900-545+
156-031,3,1,0.3333333333333333,3,3,+156-031+ | +156-031-240+ | +156-031-133+
156-176,3,1,0.3333333333333333,2,3,+156-176-741-060-920+ | +156-176+ | +156-176-518-220-416-002-615+
161-097,3,1,0.3333333333333333,2,2,+161-097-741-140+ | +161-097-002-817+ | +161-097+
220-255,3,1,0.3333333333333333,2,1,+740-760-260/220-255-220-063-315+ | +527-550-240-220-255-812-906-388+ | +740-760-175-220-255+
220-803,3,1,0.3333333333333333,1,1,+520-220-803-741-262+ | +520-033-705-220-803-055-002-820+ | +140-165-740-176-220-803+
233-231,3,1,0.3333333333333333,2,2,+154-806-471-407-845-740-233-231-798+ | +740-390-590-233-231-002-107+ | +804-233-231+
236-220,3,1,0.3333333333333333,3,2,+400-236-220+ | +411-440-236-220-741-634+ | +031-850-140-236-220-032-803-002-820+
350-031,3,1,0.3333333333333333,2,1,+520-400-350-031+ | +520-400-350-031-741-759+ | +090-740-400-350-031-545+
388-233,3,1,0.3333333333333333,2,2,+527-388-233-740-176-002-861-392+ | +527-388-233+ | +832-904-740-444-388-233-798-806+
400-226,3,1,0.3333333333333333,2,2,+400-226-032+ | +400-226+ | +400-226-415+
400-236,3,1,0.3333333333333333,1,2,+400-236-233+ | +400-236-220+ | +400-236+
405-003,3,1,0.3333333333333333,3,3,+405-003+ | +405-003-002-293-360+ | +405-003-060-820+
405-005,3,1,0.3333333333333333,4,4,+405-005-002+ | +405-005+ | +405-005-001-063-615-262+
407-005,3,1,0.3333333333333333,2,3,+407-005-741-500-561+ | +407-005+ | +407-005-001-746-740-590+
415-806,3,1,0.3333333333333333,2,2,+159-097/520-033-705/740-717-220-415-806+ | +100-904-717-220-415-806-742+ | +740-690-435-255-240-220-415-806-742-060-920+
482-235,3,1,0.3333333333333333,3,2,+740-482-235+ | +742-406/740-482-235-001-480+ | +740-482-235-002-824+
482-240,3,1,0.3333333333333333,2,2,+740-482-240-002-861+ | +740-752-482-240+ | +740-482-240-002-944-920-140+
527-388,3,1,0.3333333333333333,2,1,+527-388-233-740-176-002-861-392+ | +527-388+ | +527-388-233+
630-240,3,1,0.3333333333333333,1,2,+740-630-240-031-032-171+ | +740-630-240-741-861+ | +740-690-630-240+
690-032,3,1,0.3333333333333333,2,2,+151-690/032-031+ | +690-032-025+ | +405-690-032+
706-233,3,1,0.3333333333333333,2,2,+520-033-706-233+ | +740-388-807-033-706-233-235-168-032+ | +740-760-033-706-233-803+
740-177,3,1,0.3333333333333333,2,2,+400-740-177-519+ | +740-177-231+ | +740-177+
740-362,3,1,0.3333333333333333,3,3,+090-740-362+ | +090-740-362-002-360-832+ | +350-001-740-362-692-032-002-861+
740-519,3,1,0.3333333333333333,2,3,+740-519+ | +740-519-002-861+ | +740-519-002-900-630+
740-531,3,1,0.3333333333333333,4,1,+740-531-060-692+ | +740-531+ | +090-740-531-060-692+
740-637,3,1,0.3333333333333333,2,2,+400-740-637+ | +400-740-637-240+ | +740-637-240-002-861+
740-705,3,1,0.3333333333333333,2,2,+851-740-705-924-156+ | +740-705+ | +740-705-171-360-064+
740-794,3,1,0.3333333333333333,2,2,+740-794+ | +740-794-630-220-032-002-368-906-329+ | +740-794-734-032-235+
740-892,3,1,0.3333333333333333,1,3,+740-892+ | +400-740-892-617+ | +740-892-590-893-001-615+
741-070,3,1,0.3333333333333333,1,2,+740-645-003-741-070-255+ | +032-840-221-150-741-070-255+ | +032-840-267-150-741-070+
741-590,3,1,0.3333333333333333,2,2,+390-004-455-371-741-590+ | +740-798-463-350-741-590-032+ | +520-240-741-590-575+
798-233,3,1,0.3333333333333333,2,2,+740-798-233-741-175+ | +740-798-233+ | +740-798-233-742-175+
798-235,3,1,0.3333333333333333,2,1,+740-798-235-001-368-831-165+ | +740-798-235+ | +565-740-798-235-233-013-269-632+
798-838,3,1,0.3333333333333333,1,2,+621-740-798-838-741-092-850+ | +390-697-151-740-176-798-838+ | +740-390-590-233-220-415-798-838-002-820+
803-233,3,1,0.3333333333333333,3,1,+740-803-233-741-250-579+ | +740-803-233-002-817+ | +740-803-233+
840-002,3,1,0.3333333333333333,3,3,+405-844-032-840-002-861+ | +740-032-840-002+ | +740-032-840-002-768+
850-032,3,1,0.3333333333333333,2,1,+032-031/850-032-530-740-741-456+ | +151-740-760-220/892-590-850-032+ | +090-850-032-060-573+
904-001,3,1,0.3333333333333333,2,2,+740-031-904-001-032+ | +832-904-001+ | +832-904-001-820+
001-220,3,0,0,2,1,+740-100-176-838-001-220-455-530-741+ | +740-760-001-220-415-798-803+ | +405-018-001-220-786-850+
001-520,3,0,0,1,2,+003-001-520-240-806-002-502-031+ | +154-031-001-520-033-705+ | +416-001-520-240-806-002-502-031+
002-252,3,0,0,2,1,+740-760-093-002-252-575+ | +151-061/156-002-252-692+ | +740-205-032-002-252-840+
002-298,3,0,0,3,1,+740-140-717-002-298-741+ | +740-798-231-002-298-460-032+ | +136-002-298-741+
002-705,3,0,0,3,2,+740-100-415-002-705-590+ | +390-004-002-705-127+ | +740-390-590-231-002-705-530-904+
002-920,3,0,0,3,2,+740-016-002-920-317+ | +317-740-335-740-176-002-920-491+ | +740-760-033-705-803-002-920-317+
017-033,3,0,0,2,1,+740-585-017-033-706-803-002-220-455-920+ | +740-585-017-033-705-240-798-002-820+ | +740-585-017-033-705-233-798-803-002-861-603+
017-060,3,0,0,3,2,+407-017-060-193+ | +740-575-017-060-220-065-374+ | +740-154-017-060-130-035-171+
033-711,3,0,0,1,1,+700-033-711-335-575-413+ | +033-711-335-575-413+ | +740-033-711-335-575-413+
048-741,3,0,0,2,3,+740-048-741-851+ | +740-048-741-850+ | +740-048-741-250-579+
055-001,3,0,0,2,5,+090-740-220-055-001-741-500-705+ | +400-150-617-055-001-150-243+ | +740-032-055-001-407-004+
060-368,3,0,0,1,1,+390-820-463-060-368-920+ | +156-003-060-368-817+ | +090-740-233-060-368-817+
061-060,3,0,0,3,2,+740-760-061-060-692+ | +740-061-060-820+ | +740-798-706-061-060-550+
061-740,3,0,0,2,2,+409-061-740-235-220-031-002-861-244-165+ | +405-061-740-806+ | +407-061-740-923-233-806-060-692+
095-585,3,0,0,1,1,+407-032-520-095-585-017-220+ | +407-032-520-095-585-017-231+ | +408-032-520-095-585-017-220+
100-140,3,0,0,2,1,+740-100-140-003+ | +740-100-140-003-002-156-920+ | +400-740-100-140-003+
100-233,3,0,0,2,3,+090-740-100-233-002-575-031+ | +740-100-233-220-032-002-820+ | +740-100-233-003+
104-002,3,0,0,3,2,+104-002-820+ | +740-615-104-002-817+ | +368-415-104-002-824+
125-632,3,0,0,1,1,+390-600-617-002-190-125-632-032+ | +740-690-435-255-220-032-240-235-002-390-125-632-032+ | +151-337-484-002-390-125-632-032-900-563+
140-220,3,0,0,2,2,+140-220/530+ | +565-031-416-140-220-001+ | +031-625-140-220-415+
142-002,3,0,0,1,2,+617-142-002-817+ | +740-604-142-002-518+ | +151-279-142-002-390-095+
142-597,3,0,0,1,1,+617-142-597-032-905+ | +617-142-597-032-905/407-004-002-365-460-495+ | +617-142-597-032-904+
175-002,3,0,0,2,3,+740-752-175-002-861+ | +520-175-002-295-502+ | +416-001-740-720-175-002-861+
176-001,3,0,0,3,2,+740-176-001-367-861-216+ | +740-338-605-176-001-820+ | +740-176-001-741-703-900-003+
176-033,3,0,0,2,2,+740-176-033-705-235+ | +740-626-176-033-705-233+ | +740-176-033-705-240-235-803+
220-031,3,0,0,2,2,+409-061-740-235-220-031-002-861-244-165+ | +125-435-255-002-286-220-031-012-031-455-033-590+ | +520-220-031-001-706-575+
220-063,3,0,0,2,1,+220-063-051+ | +740-760-260/220-255-220-063-315+ | +520-220-001-820-220-063-315+
220-742,3,0,0,3,1,+740-798-220-742-146+ | +090-740-220-742-534-550-090+ | +520-220-742-060-920+
222-002,3,0,0,2,1,+740-222-002-207-550-390+ | +740-222-002-820+ | +740-222-002-817+
231-220,3,0,0,3,1,+740-231-220-032-002-817+ | +520-033-705-231-220-002-817+ | +740-585-231-220-032-002-820+
235-745,3,0,0,2,1,+740-390-590-231-240-235-745-060-920+ | +740-482-055-240-235-745-740-590+ | +740-690-435-255-240-235-745-060-920+
240-233,3,0,0,1,1,+740-636-240-233-235-002-405-125-820+ | +688/740-100-240-233-002-861+ | +520-033-706-240-233-803+
240-740,3,0,0,1,2,+740-760-240/740-952-740+ | +405-240-740-176-002-326+ | +520-240-740-590-575+
298-350,3,0,0,2,2,+298-350-892-590+ | +298-350-761-032-060-572+ | +298-350-590-032-900-853+
320-233,3,0,0,2,2,+400-740-920-320-233-240-798+ | +740-920-320-233-806-002-405-321+ | +740-920-320-233-001-821+
