"cisi","lipi_id","site","type","symbol","material","lipi_complete","direction","text","token_count","control_class","control_position_index0","prev_token","focus_token","next_token","y_after_002","availability_tier","local_image_hit_count","source_panel_graph_count","mayig_overlap_count","same_site_as_source_visible","same_type_as_source_visible","same_symbol_as_source_visible","target_length_bucket_match","match_score","local_image_paths_first5","source_panel_graph_labels","mayig_paths"
"H-51","1110.1","Harappa","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-643-240-002-861+","5","negative_002_y_prev_not_032","3","240","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"H-514","1491.1","Harappa","SEAL:S","Bull1:W","Steatite","Y","R/L","+151-220-016-002-820+","5","negative_002_y_prev_not_032","3","016","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"H-515","1492.1","Harappa","SEAL:S","Bull1:S","Steatite","Y","R/L","+740-798-463-350-741-590-032+","7","negative_032_next_not_002","6","590","032","","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"H-598","1541.2","Harappa","SEAL:S","Bull1:W","-","Y","R/L","+740-639-240-002-435-255-777+","7","negative_002_y_prev_not_032","3","240","002","435","435","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"H-611","1551.1","Harappa","SEAL:S","None","Steatite","Y","R/L","+527-550-002-125-590+","5","negative_002_y_prev_not_032","2","550","002","125","125","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"H-649","1564.1","Harappa","SEAL:R","None","Steatite","Y","R/L","+520-033-705-233-240-806-002-820+","8","negative_002_y_prev_not_032","6","806","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"H-74","1132.1","Harappa","SEAL:S","Bull1:J","Steatite","Y","R/L","+002-610-125-032+","4","negative_032_next_not_002","3","125","032","","","metadata_only","0","0","0","yes","yes","yes","no","8","","",""
"H-8","1069.1","Harappa","SEAL:S","Bull1:W","Steatite","Y","R/L","+354-001-740-405-590-033-706-002-690-921+","10","negative_002_y_prev_not_032","7","706","002","690","690","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"L-114","2063.1","Lothal","SEAL:R","None","Steatite","Y","R/L","+740-407-590-904-220-032-803-060-920+","9","negative_220_032_next_not_002","5","220","032","803","","metadata_only","0","0","0","no","yes","yes","yes","8","","",""
"L-87","2041.1","Lothal","SEAL:R","None","Steatite","Y","R/L","+740-032-840-233-220-032-060-825-002+","9","negative_220_032_next_not_002","5","220","032","060","","metadata_only","0","0","0","no","yes","yes","yes","8","","",""
"M-10","2539.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+405-061-070-032-033-706-235-806-002-267-455+","11","negative_002_y_prev_not_032","8","806","002","267","267","mayig_overlap_only","0","0","1","yes","yes","yes","no","8","","","corpus/m001_m099/m010.json"
"M-100","2627.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+090-740-255-705-002-861+","6","negative_002_y_prev_not_032","4","705","002","861","861","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m100_m199/m100.json"
"M-1002","3394.1","Mohenjo-daro","SEAL:S","Bull1","-","Y","R/L","+740-373-031-002-315-850+","6","negative_002_y_prev_not_032","3","031","002","315","315","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-103","2630.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+390-004-002-820+","4","negative_002_y_prev_not_032","2","004","002","820","820","mayig_overlap_only","0","0","1","yes","yes","yes","no","8","","","corpus/m100_m199/m103.json"
"M-107","2634.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+740-565-233-002-940-260+","6","negative_002_y_prev_not_032","3","233","002","940","940","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m100_m199/m107.json"
"M-109","2636.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+740-879-220-415-002-287-140+","7","negative_002_y_prev_not_032","4","415","002","287","287","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m100_m199/m109.json"
"M-114","2641.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+740-760-440-002-297-416+","6","negative_002_y_prev_not_032","3","440","002","297","297","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m100_m199/m114.json"
"M-1152","3513.1","Mohenjo-daro","SEAL:S","Elep","Steatite","Y","R/L","+740-032-840-235-002-861+","6","negative_032_next_not_002","1","740","032","840","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"M-1159","3519.1","Mohenjo-daro","SEAL:S","Elep","Steatite","Y","R/L","+232-220-032-002-168-032+","6","negative_032_next_not_002","5","168","032","","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"M-116","2643.1","Mohenjo-daro","SEAL:S","Bull1:I","Steatite","Y","R/L","+740-100-176-840-013-002-817+","7","negative_002_y_prev_not_032","5","013","002","817","817","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m100_m199/m116.json"
"M-117","2644.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+520-033-705-220-803-055-002-820+","8","negative_002_y_prev_not_032","6","055","002","820","820","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m100_m199/m117.json"
"M-119","2646.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+151-337-484-002-390-125-632-032-900-563+","10","negative_002_y_prev_not_032","3","484","002","390","390","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m100_m199/m119.json"
"M-1224","3559.1","Mohenjo-daro","SEAL:S","Mult","Steatite","Y","R/L","+400-090-740-032-840+","5","negative_032_next_not_002","3","740","032","840","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"M-1267","3574.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+416-001-740-720-175-002-861+","7","negative_002_y_prev_not_032","5","175","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1268","3575.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-455-176-002-817+","5","negative_002_y_prev_not_032","3","176","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1274","3581.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+130-032-905+","3","negative_032_next_not_002","1","130","032","905","","metadata_only","0","0","0","yes","yes","yes","no","8","","",""
"M-1277","3584.1","Mohenjo-daro","SEAL:R","None","-","Y","L/R","+032-905+","2","negative_032_next_not_002","0","","032","905","","metadata_only","0","0","0","yes","yes","yes","no","8","","",""
"M-1284","3589.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+416-001-520-240-806-002-502-031+","8","negative_002_y_prev_not_032","5","806","002","502","502","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1299","3604.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+527-550-033-705-233-002-817+","7","negative_002_y_prev_not_032","5","233","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1306","3611.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-405-590-806-002-820+","6","negative_002_y_prev_not_032","4","806","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1311","3616.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+520-400-354-002-817+","5","negative_002_y_prev_not_032","3","354","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1318","3623.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-460-503-002-880+","5","negative_002_y_prev_not_032","3","503","002","880","880","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1341","3646.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+016-002-595-342-632+","5","negative_002_y_prev_not_032","1","016","002","595","595","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1346","3650.1","Mohenjo-daro","SEAL:R","None","-","Y","R/L","+740-861-032-233-803-002-820+","7","negative_002_y_prev_not_032","5","803","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-140","2667.1","Mohenjo-daro","SEAL:S","Bull1:S","Faience","Y","R/L","+740-336-002-220-065-440-455+","7","negative_002_y_prev_not_032","2","336","002","220","220","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m100_m199/m140.json"
"M-142","2669.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+136-140-002-861+","4","negative_002_y_prev_not_032","2","140","002","861","861","mayig_overlap_only","0","0","1","yes","yes","yes","no","8","","","corpus/m100_m199/m142.json"
"M-152","2679.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-772-002-861+","4","negative_002_y_prev_not_032","2","772","002","861","861","mayig_overlap_only","0","0","1","yes","yes","yes","no","8","","","corpus/m100_m199/m152.json"
"M-164","2690.1","Mohenjo-daro","SEAL:S","Bull1:X","Steatite","Y","R/L","+740-142-061-002-817+","5","negative_002_y_prev_not_032","3","061","002","817","817","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m100_m199/m164.json"
"M-166","2691.1","Mohenjo-daro","SEAL:S","Bull1:I","Steatite","Y","R/L","+390-844-240-806-002-861+","6","negative_002_y_prev_not_032","4","806","002","861","861","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m100_m199/m166.json"
"M-1661","2342.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+520-070-219-002-861-032-520-919-140+","9","negative_002_y_prev_not_032","3","219","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1665","2473.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+520-033-705-233-240-002-610-125-032+","9","negative_002_y_prev_not_032","5","240","002","610","610","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1674","2240.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+090-740-222-231-002-861-683+","7","negative_002_y_prev_not_032","4","231","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1675","2220.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+621-390-844-002-820+","5","negative_002_y_prev_not_032","3","844","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1681","2389.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+520-072-233-740-798-002-861-832+","8","negative_002_y_prev_not_032","5","798","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1692","2226.1","Mohenjo-daro","SEAL:S","Bull1:L","Steatite","Y","R/L","+390-600-617-002-190-125-632-032+","8","negative_032_next_not_002","7","632","032","","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"M-1693","2359.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+527-555-033-706-235-002-817+","7","negative_002_y_prev_not_032","5","235","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1698","3909.1","Mohenjo-daro","SEAL:S","Bull1:W","-","Y","R/L","+740-482-033-705-002-861-803+","7","negative_002_y_prev_not_032","4","705","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1704","2251.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-760-605-002-861+","5","negative_002_y_prev_not_032","3","605","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1707","2390.1","Mohenjo-daro","SEAL:S","Bull1:I","Steatite","Y","R/L","+298-350-761-032-060-572+","6","negative_032_next_not_002","3","761","032","060","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"M-1711","2296.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-760-049-002-817+","5","negative_002_y_prev_not_032","3","049","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1716","2506.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+520-220-240-803-002-820+","6","negative_002_y_prev_not_032","4","803","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1726","2276.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-615-495-240-002-861+","6","negative_002_y_prev_not_032","4","240","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1739","2448.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+740-390-590-032-060-201+","6","negative_032_next_not_002","3","590","032","060","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"M-1759","2375.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+740-032-840-002-768+","5","negative_032_next_not_002","1","740","032","840","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"M-1765","2255.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+215-031-480-140-632-705-002-093-033+","9","negative_002_y_prev_not_032","6","705","002","093","093","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1766","2193.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-032-845-240-002-269-892-810-033+","9","negative_002_y_prev_not_032","4","240","002","269","269","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1791","2290.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-760-268-002-840-032+","6","negative_002_y_prev_not_032","3","268","002","840","840","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1810","2310.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-100-140-003-002-156-920+","7","negative_002_y_prev_not_032","4","003","002","156","156","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1822","2329.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+031-032-171-745+","4","negative_032_next_not_002","1","031","032","171","","metadata_only","0","0","0","yes","yes","yes","no","8","","",""
"M-1825","3992.1","Mohenjo-daro","SEAL:S","Bull1","-","Y","R/L","+157-031-002-390-705+","5","negative_002_y_prev_not_032","2","031","002","390","390","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1835","3993.1","Mohenjo-daro","SEAL:S","Bull1:O","-","Y","R/L","+154-900-004-001-390-032+","6","negative_032_next_not_002","5","390","032","","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"M-1955","2338.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+390-920-322-803-002-820+","6","negative_002_y_prev_not_032","4","803","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1973","4010.1","Mohenjo-daro","SEAL:R","None","-","Y","R/L","+740-575-017-233-550-002-861+","7","negative_002_y_prev_not_032","5","550","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-1974","2278.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+064-031-400-521-002-820+","6","negative_002_y_prev_not_032","4","521","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-198","2723.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-760-840-552-002-817+","6","negative_002_y_prev_not_032","4","552","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-213","2737.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-384-002-390-346+","5","negative_002_y_prev_not_032","2","384","002","390","390","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-217","2741.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+740-877-032-233+","4","negative_032_next_not_002","2","877","032","233","","metadata_only","0","0","0","yes","yes","yes","no","8","","",""
"M-241","2764.1","Mohenjo-daro","SEAL:S","Gaur","Steatite","Y","R/L","+090-740-032-840-741-572-683+","7","negative_032_next_not_002","2","740","032","840","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"M-274","2795.1","Mohenjo-daro","SEAL:S","Rhin","Steatite","Y","R/L","+740-760-264-231-742-315-032+","7","negative_032_next_not_002","6","315","032","","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"M-307","2826.1","Mohenjo-daro","SEAL:S","T-M-T","Steatite","Y","R/L","+740-904-032-060-550+","5","negative_032_next_not_002","2","904","032","060","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"M-316","2834.1","Mohenjo-daro","SEAL:S","None","Steatite","Y","L/R","+367-390-710-002-861+","5","negative_002_y_prev_not_032","3","710","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-354","2850.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-729-407-845-236-002-906-125+","8","negative_002_y_prev_not_032","5","236","002","906","906","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-355","2851.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-877-032-033-705-231-235-002-861-360-520-919-140+","13","negative_032_next_not_002","2","877","032","033","","metadata_only","0","0","0","yes","yes","yes","no","8","","",""
"M-358","2854.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+003-001-520-240-806-002-502-031+","8","negative_002_y_prev_not_032","5","806","002","502","502","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-362","2858.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-007-503-002-817+","5","negative_002_y_prev_not_032","3","503","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-38","2566.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-690-435-255-220-032-240-235-002-390-125-632-032+","13","negative_002_y_prev_not_032","8","235","002","390","390","mayig_overlap_only","0","0","1","yes","yes","yes","no","8","","","corpus/m001_m099/m038.json"
"M-381","2877.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-055-220-032-798-002-820+","7","negative_002_y_prev_not_032","5","798","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-384","2880.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-900-003-803-002-820+","6","negative_002_y_prev_not_032","4","803","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-393","2889.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+679-740-575-017-240-806-002-540+","8","negative_002_y_prev_not_032","6","806","002","540","540","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-42","2570.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+527-550-240-002-817+","5","negative_002_y_prev_not_032","3","240","002","817","817","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m001_m099/m042.json"
"M-595","2464.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-100-415-176-002-820+","6","negative_002_y_prev_not_032","4","176","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-628","3079.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-560-233-002-291-690-564+","7","negative_002_y_prev_not_032","3","233","002","291","291","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-629","3080.1","Mohenjo-daro","SEAL:S","Bull1:W","-","Y","R/L","+679-740-176-240-798-002-861+","7","negative_002_y_prev_not_032","5","798","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-639","3088.1","Mohenjo-daro","SEAL:S","Bull1","-","Y","R/L","+226-415-002-190-751+","5","negative_002_y_prev_not_032","2","415","002","190","190","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-644","3089.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-585-017-740-240-002-817-090-370+","9","negative_002_y_prev_not_032","5","240","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-650","3094.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+520-220-415-519-002-817+","6","negative_002_y_prev_not_032","4","519","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-651","3095.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-717-220-240-002-820+","6","negative_002_y_prev_not_032","4","240","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-653","3096.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+679-740-235-002-861+","5","negative_002_y_prev_not_032","3","235","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-655","3097.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+740-717-233-002-220-880-689+","7","negative_002_y_prev_not_032","3","233","002","220","220","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-678","3116.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-752-006-503-236-806-002-031-502+","9","negative_002_y_prev_not_032","6","806","002","031","031","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-699","3126.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-100-415-002-130-035-171+","7","negative_002_y_prev_not_032","3","415","002","130","130","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-706","3133.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-773-240-002-861-031+","6","negative_002_y_prev_not_032","3","240","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-708","3134.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-061-002-390-140+","5","negative_002_y_prev_not_032","2","061","002","390","390","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-713","3138.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+226-803-717-002-764+","5","negative_002_y_prev_not_032","3","717","002","764","764","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-717","3142.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-142-061-002-861+","5","negative_002_y_prev_not_032","3","061","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-72","2600.1","Mohenjo-daro","SEAL:S","Bull1:V","Steatite","Y","R/L","+740-255-705-140-003-002-861+","7","negative_002_y_prev_not_032","5","003","002","861","861","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m001_m099/m072.json"
"M-724","3148.1","Mohenjo-daro","SEAL:S","Bull1:J","-","Y","R/L","+390-721-790-002-861+","5","negative_002_y_prev_not_032","3","790","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-727","3151.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-100-415-002-820+","5","negative_002_y_prev_not_032","3","415","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-739","3163.1","Mohenjo-daro","SEAL:S","Bull1:J","-","Y","R/L","+090-740-100-415-002-031-350-550-692+","9","negative_002_y_prev_not_032","4","415","002","031","031","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-746","3169.1","Mohenjo-daro","SEAL:S","Bull1:I","Steatite","Y","R/L","+740-440-220-032-741-390-590-032+","8","negative_032_next_not_002","7","590","032","","","metadata_only","0","0","0","yes","yes","no","yes","8","","",""
"M-756","3179.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-100-176-002-812-031+","6","negative_002_y_prev_not_032","3","176","002","812","812","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-776","3190.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-032-840-585-017-002-817+","7","negative_002_y_prev_not_032","5","017","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-78","2605.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+740-344-032-545+","4","negative_032_next_not_002","2","344","032","545","","mayig_overlap_only","0","0","1","yes","yes","no","no","8","","","corpus/m001_m099/m078.json"
"M-780","3194.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-773-156-002-820+","5","negative_002_y_prev_not_032","3","156","002","820","820","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-788","3202.1","Mohenjo-daro","SEAL:S","Bull1:J","-","Y","R/L","+740-482-235-002-824+","5","negative_002_y_prev_not_032","3","235","002","824","824","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-793","3207.1","Mohenjo-daro","SEAL:S","Bull1:W","-","Y","R/L","+740-388-235-240-798-002-861+","7","negative_002_y_prev_not_032","5","798","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-809","3222.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+520-460-495-002-595-906+","6","negative_002_y_prev_not_032","3","495","002","595","595","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-81","2608.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+527-555-240-002-617-070+","6","negative_002_y_prev_not_032","3","240","002","617","617","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m001_m099/m081.json"
"M-811","3224.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+226-032-803+","3","negative_032_next_not_002","1","226","032","803","","metadata_only","0","0","0","yes","yes","yes","no","8","","",""
"M-815","3228.1","Mohenjo-daro","SEAL:S","Bull1:W","Faience","Y","R/L","+520-070-233-798-002-861+","6","negative_002_y_prev_not_032","4","798","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-819","3232.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+520-233-240-803-002-817+","6","negative_002_y_prev_not_032","4","803","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-82","2609.1","Mohenjo-daro","SEAL:S","Bull1:I","Steatite","Y","R/L","+740-222-002-207-550-390+","6","negative_002_y_prev_not_032","2","222","002","207","207","mayig_overlap_only","0","0","1","yes","yes","no","yes","8","","","corpus/m001_m099/m082.json"
"M-828","3240.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+590-165-032-840+","4","negative_032_next_not_002","2","165","032","840","","metadata_only","0","0","0","yes","yes","yes","no","8","","",""
"M-833","3245.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+527-550-740-240-002-808+","6","negative_002_y_prev_not_032","4","240","002","808","808","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-834","3246.1","Mohenjo-daro","SEAL:S","Bull1:J","Faience","Y","R/L","+151-390-590-900-002-861+","6","negative_002_y_prev_not_032","4","900","002","861","861","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-849","3261.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+151-350-002-550-615+","5","negative_002_y_prev_not_032","2","350","002","550","550","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-851","3263.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+621-740-390-590-002-817+","6","negative_002_y_prev_not_032","4","590","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
"M-855","3267.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+861-260-832-390-590-002-817-690-544+","9","negative_002_y_prev_not_032","5","590","002","817","817","metadata_only","0","0","0","yes","yes","yes","yes","8","","",""
