"cisi","lipi_id","lipi_site","lipi_type","lipi_dir","lipi_text_length","lipi_signs","mayig_side_id","mayig_grapheme_count","count_diff_mayig_minus_lipi","count_match","primary_category","flags","status","lipi_text","mayig_graphemes"
"M-132","2659.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-132A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+156-003-545+","P004 P123 P226"
"M-133","2660.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-133A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+527-550-240-220-255-812-906-388+","P301 P230 P062 P050 P073 P369 P174 P110"
"M-134","2661.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-134A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+872-032-692+","P390 P145 P256"
"M-135","2662.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-135A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-033-705-031+","P217 P147 P316 P144"
"M-136","2663.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-136A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+090-740-220-016-031-908-545+","P013 P324 P050 P126 P144 P177 P226"
"M-137","2664.1","Mohenjo-daro","SEAL:S","NR","1","1","M-137A","1","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+945+","P379"
"M-138","2665.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-138A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-900-005+","P324 P154 P125"
"M-139","2666.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-139A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+033-832-236-741-361+","P147 P368 P061 P325 P294"
"M-140","2667.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-140A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-336-002-220-065-440-455+","P324 P309 P145 P050 P201 P283 P221"
"M-141","2668.1","Mohenjo-daro","SEAL:S","R/L","10","6","M-141A","3","-3","False","shared_unknown_zero","lipi_unknown_zero;lipi_compound_slash;mayig_unknown_p000","manual_collation_required","+817-255-636/000-000-000-240-002-031-000+","P000 P122 P000"
"M-142","2669.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-142A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+136-140-002-861+","P022 P011 P122 P385"
"M-143","2670.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-143A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-205-032-002-252-840+","P324 P082 P122 P145 P170 P349"
"M-144","2671.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-144A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-100-415-240-002-817+","P324 P009 P092 P062 P122 P385"
"M-145","2672.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-145A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-400-142-880+","P324 P098 P031 P384"
"M-146","2673.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-146A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-255-920-060-692+","P324 P073 P160 P120 P256"
"M-147","2674.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-147A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+226-803-002-220-455-520+","P051 P364 P122 P050 P221 P217"
"M-148","2675.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-148A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-817-556+","P324 P385 P231"
"M-149","2676.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-149A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-760-440-060-550+","P324 P332 P283 P120 P230"
"M-150","2677.1","Mohenjo-daro","SEAL:S","R/L","2","2","M-150A","2","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-832+","P324 P368"
"M-151","2678.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-151A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+220-065-864+","P050 P201 P393"
"M-152","2679.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-152A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-772-002-861+","P324 P096 P122 P385"
"M-153","2680.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-153A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+269-130-190+","P067 P026 P076"
"M-154","2681.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-154A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-220-621-415-002-257-898+","P217 P050 P092 P122 P300 P182 P265"
"M-155","2682.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-155A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-176-031+","P324 P194 P144"
"M-157","2683.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-157A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-900-790-233-798-001-820+","P324 P154 P355 P058 P075 P121 P378"
"M-158","2684.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-158A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-016-060-550+","P086 P126 P120 P230"
"M-159","2685.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-159A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-048-741-250-579+","P324 P136 P325 P166 P290"
"M-160","2686.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-160A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+151-243-031-002-820-741+","P001 P048 P144 P122 P378 P325"
"M-161","2687.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-161A","4","1","False","mayig_counts_more","","manual_count_disagreement","+617-122-003+","P268 P268 P037 P123"
"M-162","2688.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-162A","6","1","False","mayig_counts_more","","manual_count_disagreement","+740-760-840-552-003+","P324 P332 P349 P230 P234 P123"
"M-163","2689.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-163A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-220-415-060-820+","P217 P050 P092 P120 P378"
"M-164","2690.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-164A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-142-061-002-817+","P324 P031 P204 P122 P385"
"M-166","2691.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-166A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-844-240-806-002-861+","P086 P349 P062 P364 P122 P385"
"M-167","2692.1","Mohenjo-daro","SEAL:S","R/L","4","3","M-167A","3","0","True","count_match","lipi_unknown_zero;mayig_unknown_p000","candidate_with_sensitivity_flag","+156-000-368-780+","P324 P000 P385"
"M-169","2694.1","Mohenjo-daro","SEAL:S","R/L","7","5","M-169A","5","0","True","count_match","lipi_unknown_zero;mayig_unknown_p000","candidate_with_sensitivity_flag","+740-575-017-000-000-031-032+","P324 P289 P127 P000 P145"
"M-170","2695.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-170A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-923-406-061-070-032-741-861+","P324 P175 P086 P204 P114 P145 P325 P385"
"M-171","2696.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-171A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+407-061-740-923-233-806-060-692+","P086 P204 P324 P175 P058 P364 P120 P256"
"M-172","2697.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-172A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+405-018-001-220-786-850+","P086 P128 P121 P050 P117 P355"
"M-173","2698.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-173A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-388-900-320-806+","P324 P110 P160 P303 P364"
"M-174","2699.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-174A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-923-220-032-002-820+","P324 P175 P050 P145 P122 P378"
"M-175","2700.1","Mohenjo-daro","SEAL:S","R/L","2+?","2","M-175A","3","1","False","lipi_boundary_fragment","lipi_boundary_fragment;mayig_unknown_p000","manual_collation_required","]002-861+","P000 P122 P385"
"M-176","2701.1","Mohenjo-daro","SEAL:S","R/L","2","2","M-176A","2","0","True","count_match","mayig_unknown_p000","candidate_with_sensitivity_flag","+740-690+","P000 P255"
"M-177","2702.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-177A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-003-002-803+","P086 P123 P122 P385"
"M-178","2704.1","Mohenjo-daro","SEAL:S","R/L","2","2","M-178A","2","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-016+","P086 P126"
"M-179","2705.1","Mohenjo-daro","SEAL:S","R/L","2","2","M-179A","2","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-003+","P086 P123"
"M-180","2706.1","Mohenjo-daro","SEAL:S","R/L","2","2","M-180A","2","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-621+","P324 P265"
"M-181","2707.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-181A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-175-002-295-502+","P217 P193 P122 P205 P207"
"M-183","2708.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-183A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-233-060-297+","P217 P058 P120 P205"
"M-184","2709.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-184A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+090-740-101-853+","P013 P324 P010 P359"
"M-182","3845.1","Mohenjo-daro","SEAL:S","R/L","2","2","M-182A","2","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-416+","P324 P095"
