object,site,region,type,material,shape,symbol,condition,complete,tablet_account_context,first_sign,target_initial,text
M-263,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,false,090,false,+090-740-400-350-031-545+
M-290,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Good,Y,false,400,true,+400-345-279+
M-356,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,false,400,true,+400-595-420-125-032-820-920-140+
M-434,Mohenjo-daro,Lower Indus,MDLN,NA,circular,NA,Poor,N,false,400,true,+400-000-000-220+
M-470,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,NA,Fair,Y,true,400,true,+400-158-806-473+
M-471,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,NA,Fair,Y,true,400,true,+400-740-904-798-460-350+
M-477,Mohenjo-daro,Lower Indus,TAB:B,Clay,twisted rectangular,Mult,Poor,N,true,400,true,+400-000-706+
M-1425,Mohenjo-daro,Lower Indus,TAB:B,Clay,twisted rectangular,Mult,Good,Y,true,400,true,+400-097-700-004+
M-482,Mohenjo-daro,Lower Indus,TAB:B,Clay,rectangular,Mult,Fair,Y,true,400,true,+400-740-803+
M-488,Mohenjo-daro,Lower Indus,TAB:B,Clay,prism,Mult,Fair,Y,true,615,false,+615-016-435-255-400-136-140+
M-500,Mohenjo-daro,Lower Indus,SEAL:C,Steatite,circular,Phyt,Good,Y,false,400,true,+400-592-140-003-900-692-003-700+
M-704,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,400,true,+400-131+
M-710,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:J,Good,Y,false,400,true,+400-390-004+
M-732,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:V,Good,Y,false,520,false,+520-400-350-002-817+
M-748,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,false,790,false,+790/400-798-243+
M-836,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Good,Y,false,400,true,+400-368-055+
M-1305,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,false,400,true,+400-159-877+
M-916,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,false,400,true,+400-806-805+
M-947,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,false,400,true,+400-090-740-035-171-061+
M-956,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,false,400,true,+400-520-033-705-233+
M-961,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:X,Poor,Y,false,400,true,+400-158-460-503+
M-1075,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Poor,?,false,400,true,+400-520-550[
M-1133,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Poor,N,false,463,false,+463-513-740-400-142-000+
M-1135,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Good,Y,false,740,false,+740-061-002-400-703+
M-1224,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Mult,Good,Y,false,400,true,+400-090-740-032-840+
M-1271,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,false,400,true,+400-456-503-337-484-920-140+
M-1278,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,false,400,true,+400-271-000+
M-1311,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,false,520,false,+520-400-354-002-817+
M-1332,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Poor,N,false,400,true,+400-032-000-140+
M-1390,Mohenjo-daro,Lower Indus,TAB:B,Clay,circular,Mult,Fair,Y,true,400,true,+400-525-550+
M-1402,Mohenjo-daro,Lower Indus,TAB:B,Terracotta,cuboid,Mult,Poor,N,true,000,false,+000-388-400-740-000-617+
M-1408,Mohenjo-daro,Lower Indus,TAB:B,Clay,cuboid,NA,Poor,Y,true,400,true,+400-740-033-503+
M-1419,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,NA,Good,Y,true,400,true,+400-158-806-467+
M-1438,Mohenjo-daro,Lower Indus,SEAL:R,NA,semi-circular,NA,Poor,Y,false,400,true,+400-740-923-226-032+
-:3769.1,Ganweriwala,Inter-Riverine,TAG,Terracotta,twisted rectangular-rounded,NA,Poor,Y,false,740,false,+740-400-061-299-350-125-176+
M-1650,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Fair,N,false,400,true,+400-740-760-032-033-000-550+
Nd-2,Nindowari-damb,Iranian Plateau,SEAL:S,NA,square,Bull1:W,Good,Y,false,400,true,+400-798-255+
Rpr-1,Rupar,Eastern Headwaters,TAB:I,NA,rectangular,Bult,Good,Y,true,400,true,+400-226-415+
H-1035,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:L,Fair,N,false,400,true,+400-435-000-632+
H-1103,Harappa,Inter-Riverine,TAB:B,Steatite,cylindrical,Phyt,Poor,N,true,400,true,+400-202-000-220-000+
M-1930,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,NA,Good,Y,false,400,true,+400-804+
M-2103,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,N,false,400,true,+400-740-760-000-000+
M-2111,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,N,false,400,true,+400-000-220-415+
H-1305,Harappa,Inter-Riverine,TAB:I,Steatite,NA,NA,Poor,N,true,400,true,+400-000-705+
H-1433,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Fair,?,false,400,true,+400-527[
-:4163.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,Poor,N,false,400,true,+400-125-000+
-:4189.1,Dholavira,Gujarat/Kutch,SEAL:S,NA,square,NA,Poor,N,false,400,true,+400-392-631-000+
-:4226.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,Y,false,400,true,+400-740-920+
-:4262.1,Dholavira,Gujarat/Kutch,TAB:I,NA,rectangular,NA,Poor,?,true,400,true,+400-033[
H-1285,Harappa,Inter-Riverine,TAB:I,Steatite,NA,NA,Poor,?,true,520,false,+520-400[
K-417,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Fair,?,false,400,true,]400-740-055+
Ns-63,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Poor,Y,false,795,false,+795-400-740+
Ns-64,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Poor,Y,false,400,true,+400-892-865-031+
Ns-66,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Fair,N,false,033,false,+033-999-400-090-740-100-000-002-892-000-002+
-:5428.1,Unknown,Other,SEAL:S,NA,square,Bull1:J,Poor,Y,false,151,false,+151-400-142+
M-1182,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,T-M-T,Poor,N,false,400,true,+400-000-480-000+
