"triad_rank","target_bucket","contrast_readiness","triad_score","target_cisi","target_row_id","target_short_text","target_context_class","target_side_relation","target_long_token_set","target_hva_bins","target_source_hooks","target_material_shape","target_period_phase_depth","target_dimensions_mm","target_local_rows","control_033_cisi","control_033_row_id","control_033_score","control_033_short_text","control_033_context_class","control_033_side_relation","control_033_long_token_set","control_033_hva_bins","control_033_source_hooks","control_033_material_shape","control_033_period_phase_depth","control_033_dimensions_mm","control_033_local_rows","control_033_matches","control_033_mismatches","control_032_cisi","control_032_row_id","control_032_score","control_032_short_text","control_032_context_class","control_032_side_relation","control_032_long_token_set","control_032_hva_bins","control_032_source_hooks","control_032_material_shape","control_032_period_phase_depth","control_032_dimensions_mm","control_032_local_rows","control_032_matches","control_032_mismatches","source_request_bundle","triad_question","preserves_source_contrast_if","downgrades_to_object_format_if","kills_034_residue_if","source_check_status"
"50","E_other_034_residue","strong_two_sibling_metadata_controls","68","H-1824","646.1","+700-034+","single_longer_text","short_before_all_longer","031;060;176;201;740","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","H95-2434;Figure 26.10","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","15.7 x 7.3 x 4.3","646.1:+700-034+;646.2:+740-176-031-060-201+","H-1883","930.1","36","+700-033+","single_longer_text","short_before_all_longer","032;740;790","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","H98-3498;Figure 24.10","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","13.3 x 7 x 2","930.1:+700-033+;930.2:+740-790-032+","type;sides;site;material;shape;cross_section;symbol;period_phase;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:ETrench 10W/11->ETrench 11W;excavation_prefix:H95->H98;long_token_set:031;060;176;201;740->032;740;790","H-212","1243.2","32","+032-700+","single_longer_text","short_after_all_longer","118;156;400","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","3890357","Faience/rectangular/rectangular","Period 3B/C/Stratum V/-2.5 ft","14 x 7.1 x 0","1243.1:+400-156-118+;1243.2:+032-700+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class","area_section:ETrench 10W/11->FTrench I;period_phase:Period 3B/C/B/C->Period 3B/C/Stratum V;side_relation:short_before_all_longer->short_after_all_longer;order:700_first->700_last;long_token_set:031;060;176;201;740->118;156;400","H-1824: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H95-2434; Figure 26.10 | H-1883: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H98-3498; Figure 24.10 | H-212: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 3890357","Does target H-1824 +700-034+ remain visually distinct from matched 033 H-1883 +700-033+ and matched 032 H-212 +032-700+? After source direction and side-order checks, is the target's context (short_before_all_longer; 031;060;176;201;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"51","E_other_034_residue","strong_two_sibling_metadata_controls","68","H-1850","480.1","+700-034+","single_longer_text","short_before_all_longer","382;400;740;760","h_ge_16/v_8p5_10/area_120_180/aspect_1p5_1p9","H2001-5141;Figure 48.07","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","17 x 9 x 2.2 - 2.8","480.1:+700-034+;480.2:+400-740-760-382+","H-1842","631.1","34","+033-700+","single_longer_text","short_before_all_longer","176;233;435;690;740;803","h_ge_16/v_8p5_10/area_120_180/aspect_ge_1p9","H95-2416;Figure 26.07","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","18.4 x 9.2 x 4.9","631.1:+033-700+;631.2:+740-690-435-176-233-803+","type;sides;site;material;shape;cross_section;symbol;period_phase;h_bin;v_bin;area_bin;context_class;side_relation","area_section:ETrench 11->ETrench 10W/11;excavation_prefix:H2001->H95;aspect_bin:aspect_1p5_1p9->aspect_ge_1p9;order:700_first->700_last;long_token_set:382;400;740;760->176;233;435;690;740;803","H-1772","400.1","34","+700-032+","single_longer_text","short_before_all_longer","001;031;140;740","h_ge_16/v_8p5_10/area_120_180/aspect_ge_1p9","H2000-4437;Figure 39.05","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","17 x 8.8 x 2.1","400.1:+700-032+;400.2:+740-031-001-140+","type;sides;site;material;shape;cross_section;period_phase;h_bin;v_bin;area_bin;context_class;side_relation;order","symbol:None->Goat:4;area_section:ETrench 11->ETrench 54;excavation_prefix:H2001->H2000;aspect_bin:aspect_1p5_1p9->aspect_ge_1p9;long_token_set:382;400;740;760->001;031;140;740","H-1850: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2001-5141; Figure 48.07 | H-1842: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H95-2416; Figure 26.07 | H-1772: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2000-4437; Figure 39.05","Does target H-1850 +700-034+ remain visually distinct from matched 033 H-1842 +033-700+ and matched 032 H-1772 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 382;400;740;760) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"52","E_other_034_residue","strong_two_sibling_metadata_controls","68","H-2102","1018.1","+700-034+","all_short_or_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H99-3960;Figure 34.04","Steatite/rectangular/rectangular","Period 3C/C/- -","13.6 x 7.5 x 2.5","1018.1:+700-034+;1018.2:+137-413+","H-2131","732.1","38","+700-033+","all_short_or_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H96-2738;Figure 17.04","Steatite/rectangular/rectangular","Period 3C/C/- -","14 x 8.2 x 2.6","732.1:+700-033+;732.2:+368-900+","type;sides;site;material;shape;cross_section;symbol;period_phase;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order;long_token_set","area_section:ETrench 11W->FTrench 37;excavation_prefix:H99->H96","H-930","1810.2","30","+700-032+","single_longer_text","short_after_all_longer","004;740;900","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","J30520","Steatite/rectangular/rectangular","-/Stratum I/-2.0 ft","14 x 8.4 x 0","1810.1:+740-900-004+;1810.2:+700-032+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;order","area_section:ETrench 11W->D-;period_phase:Period 3C/C->-/Stratum I;excavation_prefix:H99->J;context_class:all_short_or_no_longer_text->single_longer_text;side_relation:no_longer_text->short_after_all_longer;long_token_set:NO_LONGER_TEXT->004;740;900","H-2102: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H99-3960; Figure 34.04 | H-2131: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H96-2738; Figure 17.04 | H-930: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks J30520","Does target H-2102 +700-034+ remain visually distinct from matched 033 H-2131 +700-033+ and matched 032 H-930 +700-032+? After source direction and side-order checks, is the target's context (no_longer_text; NO_LONGER_TEXT) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"53","E_other_034_residue","strong_two_sibling_metadata_controls","67","H-319","1341.2","+700-034+","single_longer_text","short_after_all_longer","220;415;520","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","10060544","Steatite/oval/rectangular","Period 3C-1/Stratum IV/-6.0 ft","13.2 x 7.6 x 0","1341.1:+520-220-415+;1341.2:+700-034+","H-1303","4077.2","35","+700-033+","single_longer_text","short_after_all_longer","176;400;740","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","2357879","Steatite/oval/rectangular","Period 3B/C/Stratum VI/-15.25 ft","13.2 x 7.6 x 0","4077.1:+400-740-176+;4077.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:FTrench IV+V->FTrench I;period_phase:Period 3C-1/Stratum IV->Period 3B/C/Stratum VI;long_token_set:220;415;520->176;400;740","H-930","1810.2","32","+700-032+","single_longer_text","short_after_all_longer","004;740;900","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","J30520","Steatite/rectangular/rectangular","-/Stratum I/-2.0 ft","14 x 8.4 x 0","1810.1:+740-900-004+;1810.2:+700-032+","type;sides;site;material;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","shape:oval->rectangular;area_section:FTrench IV+V->D-;period_phase:Period 3C-1/Stratum IV->-/Stratum I;long_token_set:220;415;520->004;740;900","H-319: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 10060544 | H-1303: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2357879 | H-930: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks J30520","Does target H-319 +700-034+ remain visually distinct from matched 033 H-1303 +700-033+ and matched 032 H-930 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 220;415;520) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"54","E_other_034_residue","strong_two_sibling_metadata_controls","67","H-785","1676.1","+700-034+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","11348681","Steatite/rectangular/rectangular","Period 3C-2/Stratum III/-8.0 ft","15.2 x 7.1 x 0","1676.1:+700-034+;1676.2:+740-255-000+","H-798","1689.2","34","+700-033+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","10178607","Faience/rectangular/rectangular","Period 3B/C/Stratum VI/-12.5 ft","15.2 x 7.6 x 0","1689.1:+158-999-792+;1689.2:+700-033+","type;sides;site;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order;long_token_set","material:Steatite->Faience;area_section:FTrench VI->FGranery;period_phase:Period 3C-2/Stratum III->Period 3B/C/Stratum VI","H-1836","497.1","33","+700-032+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H98-3438;Figure 25.04","Faience/rectangular/rectangular","Period 3/-/-0.0 m","14 x 8 x 2.3","497.1:+700-032+;497.2:+400-740-000-792+","type;sides;site;shape;cross_section;symbol;h_bin;v_bin;area_bin;context_class;side_relation;order;long_token_set","material:Steatite->Faience;period_phase:Period 3C-2/Stratum III->Period 3/-;aspect_bin:aspect_ge_1p9->aspect_1p5_1p9","H-785: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 11348681 | H-798: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 10178607 | H-1836: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H98-3438; Figure 25.04","Does target H-785 +700-034+ remain visually distinct from matched 033 H-798 +700-033+ and matched 032 H-1836 +700-032+? After source direction and side-order checks, is the target's context (no_longer_text; NO_LONGER_TEXT) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"55","E_other_034_residue","strong_two_sibling_metadata_controls","67","H-939","1819.1","+700-034+","single_longer_text","short_before_all_longer","220;415;520","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","J402","Steatite/rectangular/rectangular","-/Stratum IV/-5.33 ft","15.2 x 7.6 x 0","1819.1:+700-034+;1819.2:+520-220-415+","H-916","1796.2","33","+700-033+","single_longer_text","short_after_all_longer","032;059;400;740","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","12516456","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-14.17 ft","15.2 x 7.6 x 0","1796.1:+400-740-032-059+;1796.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;order","area_section:D-->FTrench I;period_phase:-/Stratum IV->Period 3B/C/Stratum V;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:220;415;520->032;059;400;740","H-930","1810.2","34","+700-032+","single_longer_text","short_after_all_longer","004;740;900","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","J30520","Steatite/rectangular/rectangular","-/Stratum I/-2.0 ft","14 x 8.4 x 0","1810.1:+740-900-004+;1810.2:+700-032+","type;sides;site;material;shape;cross_section;symbol;area_section;excavation_prefix;h_bin;v_bin;area_bin;context_class;order","period_phase:-/Stratum IV->-/Stratum I;aspect_bin:aspect_ge_1p9->aspect_1p5_1p9;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:220;415;520->004;740;900","H-939: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks J402 | H-916: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 12516456 | H-930: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks J30520","Does target H-939 +700-034+ remain visually distinct from matched 033 H-916 +700-033+ and matched 032 H-930 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 220;415;520) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"56","E_other_034_residue","strong_two_sibling_metadata_controls","67","H-1823","649.1","+700-034+","single_longer_text","short_before_all_longer","001;365;400;415;740;798","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H95-2438;Figure 28.14","Faience/rectangular/rectangular","Period 3B/B?/- -","13.5 x 7.5 x 3.2","649.1:+700-034+;649.2:+400-740-798-365-415-001+","H-1872","751.1","35","+700-033+","single_longer_text","short_before_all_longer","220;236;400","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H96-2778;Figure 17.13","Faience/rectangular/rectangular","Period 3C/C/- -","13.9 x 8 x 4.2","751.1:+700-033+;751.2:+400-236-220+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:ETrench 10W/11->FTrench 37;period_phase:Period 3B/B?->Period 3C/C;excavation_prefix:H95->H96;long_token_set:001;365;400;415;740;798->220;236;400","H-1902","922.1","32","+700-032+","single_longer_text","short_before_all_longer","003;158;494","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H98-3436;Figure 25.12","Faience/rectangular-notched/rectangular","Period 3/-/-0.0 m","14.1 x 8 x 2.5","922.1:+700-032+;922.2:+158-003-494+","type;sides;site;material;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","shape:rectangular->rectangular-notched;period_phase:Period 3B/B?->Period 3/-;excavation_prefix:H95->H98;long_token_set:001;365;400;415;740;798->003;158;494","H-1823: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H95-2438; Figure 28.14 | H-1872: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H96-2778; Figure 17.13 | H-1902: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H98-3436; Figure 25.12","Does target H-1823 +700-034+ remain visually distinct from matched 033 H-1872 +700-033+ and matched 032 H-1902 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 001;365;400;415;740;798) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"57","E_other_034_residue","strong_two_sibling_metadata_controls","67","H-1825","467.1","+700-034+","single_longer_text","short_before_all_longer","176;220;740","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H2001-5082;Figure 44.06","Faience/rectangular/rectangular","Period 3B/B/- -","14 x 7.7 x 2.5","467.1:+700-034+;467.2:+740-176-220+","H-1872","751.1","35","+700-033+","single_longer_text","short_before_all_longer","220;236;400","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H96-2778;Figure 17.13","Faience/rectangular/rectangular","Period 3C/C/- -","13.9 x 8 x 4.2","751.1:+700-033+;751.2:+400-236-220+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:ETrench 54->FTrench 37;period_phase:Period 3B/B->Period 3C/C;excavation_prefix:H2001->H96;long_token_set:176;220;740->220;236;400","H-1902","922.1","32","+700-032+","single_longer_text","short_before_all_longer","003;158;494","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H98-3436;Figure 25.12","Faience/rectangular-notched/rectangular","Period 3/-/-0.0 m","14.1 x 8 x 2.5","922.1:+700-032+;922.2:+158-003-494+","type;sides;site;material;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","shape:rectangular->rectangular-notched;period_phase:Period 3B/B->Period 3/-;excavation_prefix:H2001->H98;long_token_set:176;220;740->003;158;494","H-1825: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2001-5082; Figure 44.06 | H-1872: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H96-2778; Figure 17.13 | H-1902: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H98-3436; Figure 25.12","Does target H-1825 +700-034+ remain visually distinct from matched 033 H-1872 +700-033+ and matched 032 H-1902 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 176;220;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"58","E_other_034_residue","strong_two_sibling_metadata_controls","67","H-1846","686.1","+700-034+","single_longer_text","short_before_all_longer","060;240;603;692;740","h_ge_16/v_ge_10/area_ge_180/aspect_ge_1p9","H95-2672;Figure 30.13","Faience/rectangular/rectangular","-/-/- -","23.5 x 11 x 5","686.1:+700-034+;686.2:+740-603-240-060-692+","H-770","1662.2","32","+700-033+","single_longer_text","short_after_all_longer","151;416;840","h_ge_16/v_ge_10/area_ge_180/aspect_1p5_1p9","2177353","Faience/rectangular/rectangular","Period 3B/C/Stratum VI/-10.25 ft","19.1 x 10.2 x 0","1662.1:+151-840-416+;1662.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;context_class;order","area_section:ETrench 10W/11->FTrench III;period_phase:-/-->Period 3B/C/Stratum VI;aspect_bin:aspect_ge_1p9->aspect_1p5_1p9;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:060;240;603;692;740->151;416;840","H-1853","386.1","35","+700-032+","single_longer_text","short_before_all_longer","400;617;829","h_ge_16/v_ge_10/area_ge_180/aspect_ge_1p9","H2000-4395;Figure 39.01","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","20.5 x 10.5 x 2.5","386.1:+700-032+;386.2:+400-617-829+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:ETrench 10W/11->ETrench 54;period_phase:-/-->Period 3B/C/B/C;excavation_prefix:H95->H2000;long_token_set:060;240;603;692;740->400;617;829","H-1846: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H95-2672; Figure 30.13 | H-770: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2177353 | H-1853: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2000-4395; Figure 39.01","Does target H-1846 +700-034+ remain visually distinct from matched 033 H-770 +700-033+ and matched 032 H-1853 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 060;240;603;692;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"59","E_other_034_residue","strong_two_sibling_metadata_controls","67","H-2070","862.1","+700-034+","single_longer_text","short_before_all_longer","276;400;740;817","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H97-3324;Figure 16.19","Steatite/rectangular/rectangular","Period 3/-/- -","13.2 x 8 x 2.4","862.1:+700-034+;862.2:+400-740-817-276+","H-925","1805.2","33","+700-033+","single_longer_text","short_after_all_longer","013;740;840","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","3286512","Steatite/rectangular/rectangular","Period 3C-1/Stratum IV/-12.5 ft","14 x 7.6 x 0","1805.1:+740-840-013+;1805.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;order","area_section:ETrench 11->FTrench I;period_phase:Period 3/-->Period 3C-1/Stratum IV;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:276;400;740;817->013;740;840","H-2185","834.1","34","+700-032+","single_longer_text","short_before_all_longer","158;400;690","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H97-3292;Figure 16.06","Steatite/rectangular-round/rectangular","Period 3B/B/- -","14.4 x 8.1 x 3.2","834.1:+700-032+;834.2:+400-158-690+","type;sides;site;material;cross_section;symbol;area_section;excavation_prefix;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","shape:rectangular->rectangular-round;period_phase:Period 3/-->Period 3B/B;long_token_set:276;400;740;817->158;400;690","H-2070: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H97-3324; Figure 16.19 | H-925: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 3286512 | H-2185: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H97-3292; Figure 16.06","Does target H-2070 +700-034+ remain visually distinct from matched 033 H-925 +700-033+ and matched 032 H-2185 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 276;400;740;817) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
