object,site,region,type,material,shape,symbol,condition,complete,first,prev,partner,text
M-198,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,552,817,+740-760-840-552-002-817+
M-199,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,090,240,861,+090-740-100-415-240-002-861+
M-200,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,222,820,+740-222-002-820+
M-823,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740,061,817,+740-061-002-817+
M-221,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:I,Poor,Y,740,032,820,+740-760-335-220-032-002-820+
M-240,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,520,032,861,+520-240-220-032-002-861-603+
M-245,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740,503,817,+740-760-070-921-460-503-002-817+
M-246,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,740,233,817,+740-503-235-233-002-817+
M-258,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Fine,Y,384,717,861,+384-575/892-706-717-002-861+
M-259,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,520,231,817,+520-231-002-817+
M-260,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Zebu,Good,Y,090,014,820,+090-740-220-014-002-820+
M-278,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,621,004,817,+621-390-004-002-817+
M-285,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fine,Y,504,240,861,+504-350-240-002-861+
M-289,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Fine,Y,740,240,817,+740-176-240-002-817+
M-295,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Comp,Poor,?,621,740,861,+621/090-740/002-861+
M-314,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Good,Y,953,235,820,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+
M-316,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,Y,367,710,861,+367-390-710-002-861+
M-327,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,519,861,+740-519-002-861+
M-330,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Fair,Y,002,<START>,861,+002-861-698+
M-355,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,235,861,+740-877-032-033-705-231-235-002-861-360-520-919-140+
M-362,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740,503,817,+740-007-503-002-817+
M-364,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,354,817,+740-354-002-817+
M-375,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,032,820,+740-100-233-220-032-002-820+
M-376,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,740,176,861,+740-100-176-002-861-533-717+
M-381,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,798,820,+740-055-220-032-798-002-820+
M-384,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,803,820,+740-900-003-803-002-820+
M-385,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,407,004,820,+407-004-002-820+
M-391,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Good,Y,405,805,861,+405-845-686-740-793-003-233-805-002-861-533-717+
M-408,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Good,Y,407,061,817,+407-061-002-817+
M-437,Mohenjo-daro,Lower Indus,TAG:P,Clay,square,Zebu,Fair,Y,740,590,820,+740-390-590-002-820+
M-453,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Scene,Fair,Y,740,220,861,+740-032-840-220-002-861+
M-471,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,NA,Fair,Y,740,191,817,+740-100-415-191-002-817+
M-629,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Fine,Y,679,798,861,+679-740-176-240-798-002-861+
M-644,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,240,817,+740-585-017-740-240-002-817-090-370+
M-646,Mohenjo-daro,Lower Indus,SEAL:S,Paste,square,Bull1,Poor,N,740,000,817,+740-760-440-000-002-817+
M-650,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,520,519,817,+520-220-415-519-002-817+
M-651,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,240,820,+740-717-220-240-002-820+
M-653,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,679,235,861,+679-740-235-002-861+
M-658,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,000,002,817,]000-003-070-002-002-817+
M-677,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:L,Fair,Y,740,242,861,+740-923-070-032-033-706-231-242-002-861-901+
M-692,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,000,004,817,+000-004-002-817-000[
M-703,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,N,000,235,817,+000-000-233-235-002-817+
M-706,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,240,861,+740-773-240-002-861-031+
M-714,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,803,861,+740-585-017-033-705-233-798-803-002-861-603+
M-717,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,061,861,+740-142-061-002-861+
M-720,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,000,032,817,+000-740-923-220-032-002-817+
M-722,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740,032,817,+740-585-240-220-032-002-817+
M-723,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,740,032,861,+740-460-510-235-220-032-002-861+
M-724,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:J,Good,Y,390,790,861,+390-721-790-002-861+
M-726,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:T,Fair,Y,031,803,820,+031-850-140-236-220-032-803-002-820+
M-727,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,415,820,+740-100-415-002-820+
M-728,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:V,Good,Y,740,017,820,+740-575-017-002-820+
M-732,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:V,Good,Y,520,350,817,+520-400-350-002-817+
M-776,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,017,817,+740-032-840-585-017-002-817+
M-780,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,156,820,+740-773-156-002-820+
M-781,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,520,706,861,+520-033-706-002-861+
M-783,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,151,061,861,+151-061-002-861+
M-785,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,740,705,861,+740-255-705-002-861+
M-792,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,679,017,817,+679-740-575-017-002-817+
M-793,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Poor,Y,740,798,861,+740-388-235-240-798-002-861+
M-794,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,804,231,861,+804-231-002-861+
M-795,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,156,260,817,+156-260-002-817+
M-813,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Good,Y,161,590,861,+161-390-590-002-861+
M-815,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:W,Good,Y,520,798,861,+520-070-233-798-002-861+
M-816,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,255,817,+740-690-435-255-002-817+
M-819,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,520,803,817,+520-233-240-803-002-817+
M-834,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:J,Good,Y,151,900,861,+151-390-590-900-002-861+
M-835,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,090,000,817,+090-740-035-171-000-002-817+
M-839,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,740,415,817,+740-100-415-002-817+
M-869,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Poor,Y,740,415,861,+740-100-415-002-861+
M-851,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,621,590,817,+621-740-390-590-002-817+
M-853,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,090,792,817,+090-740-792-002-817+
M-855,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,861,590,817,+861-260-832-390-590-002-817-690-544+
M-868,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Fair,Y,520,220,817,+520-033-705-231-220-002-817+
M-889,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,Y,740,803,820,+740-384-032-803-002-820+
M-897,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,527,235,817,+527-550-235-002-817+
M-900,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740,838,820,+740-390-590-233-220-415-798-838-002-820+
M-901,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,090,125,861,+090-125-002-861+
M-903,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740,772,817,+740-772-002-817+
M-918,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1,Poor,Y,390,869,861,+390-869-002-861+
M-924,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,N,000,772,817,+000-772-002-817+
M-934,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,526,235,861,+526-555-235-002-861+
M-941,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,N,000,031,861,+000-642-240-031-002-861+
M-1044,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull,Poor,Y,520,032,861,+520-220-032-002-861+
M-1045,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,N,740,032,820,+740-100-415-070-032-002-820-000+
M-1085,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740,350,817,+740-100-415-798-460-350-002-817+
M-1088,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740,540,820,+740-540-002-820+
M-1109,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,Y,520,231,820,+520-231-002-820+
M-1110,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,Y,740,104,817,+740-615-104-002-817+
M-1115,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,Y,740,233,861,+740-335-233-002-861+
M-1119,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,740,803,820,+740-803-002-820-741+
M-1126,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Poor,N,820,031,817,+820/000-000-031-002-817+
M-1136,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Rhin,Poor,?,740,240,820,]740-717-240-002-820+
M-1137,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,Y,740,904,820,+740-904-002-820+
M-1138,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Fair,Y,740,017,820,+740-585-017-002-820+
M-1139,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Poor,Y,740,621,820,+740-416-621-002-820+
M-1148,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,520,220,861,+520-220-002-861+
M-1152,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,740,235,861,+740-032-840-235-002-861+
M-1160,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fair,N,000,031,861,+000-136-031-002-861+
M-1161,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,520,031,861,+520-233-031-002-861+
M-1166,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Good,Y,740,240,817,+740-923-240-002-817+
M-1177,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,CompBull,Good,Y,740,760,817,+740-760-002-817+
M-1178,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,NA,Poor,N,002,<START>,820,+002-820-906-000[
M-1206,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740,255,861,+740-690-435-255-002-861+
M-1226,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,520,233,817,+520-033-705-235-233-002-817+
M-1267,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,Y,416,175,861,+416-001-740-720-175-002-861+
M-1268,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,740,176,817,+740-455-176-002-817+
M-1273,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,740,055,861,+740-055-002-861-603+
M-1299,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,527,233,817,+527-550-033-705-233-002-817+
M-1306,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,740,806,820,+740-405-590-806-002-820+
M-1311,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,520,354,817,+520-400-354-002-817+
M-1343,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Poor,Y,740,235,861,+740-390-590-235-002-861+
M-1346,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Poor,Y,740,803,820,+740-861-032-233-803-002-820+
M-1354,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Poor,N,000,000,820,]000-002-820+
M-1385,Mohenjo-daro,Lower Indus,TAG:P,Clay,circular,Bull1,Poor,Y,740,032,817,+740-760-032-002-817+
M-1391,Mohenjo-daro,Lower Indus,TAG:O,Clay,square,Bull1,Poor,N,000,798,817,+000-000-000-798-002-817-032-320+
M-1420,Mohenjo-daro,Lower Indus,TAB:B,Faience,NA,NA,Poor,?,838,838,817,]838-002-817+
M-1426,Mohenjo-daro,Lower Indus,TAB:B,Clay,prism,NA,Fair,Y,740,798,861,+740-760-036-220-415-798-002-861+
M-1658,Mohenjo-daro,Lower Indus,MISC,NA,NA,NA,Poor,N,000,016,861,+000-016-002-861+
Ns-5,Nausharo,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,090,016,820,+090-740-220-016-002-820+
?-5,Unknown,Other,TAB:B,NA,rectangular,NA,Poor,Y,555,233,820,+555-233-002-820+
?-6,Unknown,Other,TAB:B,NA,rectangular,NA,Poor,Y,740,061,817,+740-702-061-002-817+
-:3896.1,Unknown,Other,SEAL:S,NA,square,Bull1:W,Good,Y,740,235,820,+740-222-235-002-820+
M-1670,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:II,Good,Y,740,233,861,+740-760-001-233-002-861+
M-1698,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Good,Y,740,705,861,+740-482-033-705-002-861-803+
H-1048,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Poor,Y,740,235,817,+740-032-840-235-002-817+
H-1076,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,740,706,820,+740-611-706-002-820+
M-1788,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:I,Fair,N,000,032,817,+000-220-032-002-817+
M-1959,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Poor,N,740,000,820,+740-100-000-002-820+
M-1973,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Fair,Y,740,550,861,+740-575-017-233-550-002-861+
M-2087,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,N,820,904,861,+820-000-032-740-904-002-861+
-:4154.1,Rakhigarhi,Eastern Headwaters,SEAL:S,Steatite,NA,Bull1,Fair,?,240,803,861,]240-803-002-861+
-:4314.1,Dholavira,Gujarat/Kutch,TAG,NA,NA,Bull1,Poor,N,520,000,820,+520-000-002-820+
-:4195.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:V,Good,Y,820,590,861,+820-390-590-002-861+
-:4197.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Good,N,001,904,817,+001-000-000-832-904-002-817+
-:4211.1,Dholavira,Gujarat/Kutch,SEAL,NA,NA,NA,Poor,Y,740,235,817,+740-100-235-002-817+
-:4272.1,Dholavira,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,405,016,861,+405-016-002-861+
-:4345.1,Dholavira,Gujarat/Kutch,TAG,Clay,square,Bull1,Fair,N,000,705,861,+000-705-002-861+
-:4348.1,Dholavira,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,740,000,861,]740-142-000-002-861-390[
K-145,Kalibangan,Inter-Riverine,SEAL:S,NA,square,Bull1:J,Good,Y,740,032,820,+740-585-231-220-032-002-820+
K-155,Kalibangan,Inter-Riverine,TAG,Terracotta,NA,Bull1,Poor,N,002,<START>,817,]002-817-000+
K-431,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,000,406,820,]000-000-406-002-820+
Ns-54,Nausharo,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,222,817,+740-222-002-817+
Ns-57,Nausharo,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,861,606,820,+861-111-606-002-820+
-:5420.1,Kanmer,Gujarat/Kutch,TAG,Clay,circular,NA,Fair,N,000,049,820,]000-049-002-820+
-:5464.1,Unknown,Other,SEAL:S,NA,square,Elep,Fair,N,000,140,817,+000-840-140-002-817+
-:5541.1,Shikarpur,Gujarat/Kutch,POT:T:p,Clay,NA,NA,Fair,N,002,<START>,861,+002-861-000[
-:5575.1,Unknown,Other,SEAL:S,NA,square,Bull:i:J,Fair,Y,136,136,861,+136-002-861+
