"cisi","priority","type","site","sides","horizontal_mm","vertical_mm","thickness_mm","functional_labels","exact_short_sides","short_side_texts","long_side_texts"
"H-319","P2_tab_i_core_short_queue","TAB:I","Harappa","2","13.2","7.6","0","FRAME700_SUBTYPE034_LOCAL_MODEL_LABEL_SOURCE_PENDING","+700-034+","2:+700-034+","1:+520-220-415+"
"H-922","P2_tab_i_core_short_queue","TAB:I","Harappa","2","12.2","7.1","0","EXACT_520_031;FRAME003_ROLE861","+520-031+;+861-003+","1:+861-003+|2:+520-031+",""
"H-923","P2_tab_i_core_short_queue","TAB:I","Harappa","2","12.7","7.6","0","EXACT_520_031;FRAME003_ROLE861","+520-031+;+861-003+","1:+861-003+|2:+520-031+",""
"H-1284","P2_tab_i_core_short_queue","TAB:I","Harappa","2","13","7","0","FRAME700_SUBTYPE034_LOCAL_MODEL_LABEL_SOURCE_PENDING","+700-034+","2:+700-034+","1:+520-220-415+"
"H-285","P2_tab_i_core_short_queue","TAB:I","Harappa","2","11.4","11.4","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+",""
"H-307","P2_tab_i_core_short_queue","TAB:I","Harappa","2","12.7","6.4","0","EXACT_368_900;FRAME700_SUBTYPE034","+368-900+;+700-034+","1:+368-900+|2:+700-034+",""
"H-320","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14","7.6","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+",""
"H-327","P2_tab_i_core_short_queue","TAB:I","Harappa","2","16","0","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-329","P2_tab_i_core_short_queue","TAB:I","Harappa","2","15","8","0","EXACT_520_220;FRAME700_SUBTYPE033","+520-220+;+700-033+","1:+520-220+|2:+700-033+",""
"H-340","P2_tab_i_core_short_queue","TAB:I","Harappa","2","16.5","0","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-344","P2_tab_i_core_short_queue","TAB:I","Harappa","2","0","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+526-550-220+"
"H-346","P2_tab_i_core_short_queue","TAB:I","Harappa","2","0","0","0","EXACT_700_090","+700-090+","2:+700-090+","1:+520-220-415+"
"H-359","P2_tab_i_core_short_queue","TAB:I","Harappa","2","15.2","5.1","0","FRAME700_SUBTYPE032","+032-700+","2:+032-700+","1:+526-550-220+"
"H-361","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14","0","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-363","P2_tab_i_core_short_queue","TAB:I","Harappa","3","16","5","3.5","EXACT_692_892;FRAME700_SUBTYPE034","+692-892+;+700-034+","2:+700-034+|3:+692-892+","1:+565-741-263+"
"H-891","P2_tab_i_core_short_queue","TAB:I","Harappa","2","16.5","7.6","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+",""
"H-910","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14.7","7.6","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+002-861-416+"
"H-911","P2_tab_i_core_short_queue","TAB:I","Harappa","2","15.2","8.9","0","EXACT_033_255","+033-255+","2:+033-255+","1:+416-590-033+"
"H-914","P2_tab_i_core_short_queue","TAB:I","Harappa","2","15.2","8.9","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+",""
"H-926","P2_tab_i_core_short_queue","TAB:I","Harappa","2","15.2","10.2","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-931","P2_tab_i_core_short_queue","TAB:I","Harappa","2","12.2","6.6","0","FRAME700_SUBTYPE033","+033-700+","2:+033-700+",""
"H-938","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14","7.6","0","FRAME700_SUBTYPE034","+034-700+","2:+034-700+","1:+520-220-415+"
"H-939","P2_tab_i_core_short_queue","TAB:I","Harappa","2","15.2","7.6","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+520-220-415+"
"H-942","P2_tab_i_core_short_queue","TAB:I","Harappa","2","12.7","7.1","0","FRAME700_SUBTYPE033","+033-700+","2:+033-700+","1:+520-220-016+"
"H-945","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14","6.4","0","EXACT_400_234;FRAME700_SUBTYPE034","+034-700+;+400-234+","1:+400-234+|2:+034-700+",""
"H-946","P2_tab_i_core_short_queue","TAB:I","Harappa","2","13.2","6.4","0","EXACT_400_234;FRAME700_SUBTYPE034","+400-234+;+700-034+","1:+700-034+|2:+400-234+",""
"H-947","P2_tab_i_core_short_queue","TAB:I","Harappa","2","10.2","5.8","0","EXACT_400_236;FRAME700_SUBTYPE034","+400-236+;+700-034+","1:+400-236+|2:+700-034+",""
"H-949","P2_tab_i_core_short_queue","TAB:I","Harappa","2","17.8","7.6","0","EXACT_151_229;FRAME700_SUBTYPE033","+151-229+;+700-033+","1:+700-033+|2:+151-229+",""
"H-950","P2_tab_i_core_short_queue","TAB:I","Harappa","2","16","8.9","0","FRAME700_SUBTYPE033","+033-700+","2:+033-700+","1:+710-455-220-032+"
"H-951","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14","7.6","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+388-134-368-590+"
"H-952","P2_tab_i_core_short_queue","TAB:I","Harappa","2","11.4","7.1","0","EXACT_740_564;FRAME700_SUBTYPE034","+700-034+;+740-564+","1:+740-564+|2:+700-034+",""
"H-953","P2_tab_i_core_short_queue","TAB:I","Harappa","2","11.5","7","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+",""
"H-961","P2_tab_i_core_short_queue","TAB:I","Harappa","2","16","7.6","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+",""
"H-963","P2_tab_i_core_short_queue","TAB:I","Harappa","2","7.6","6.4","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-968","P2_tab_i_core_short_queue","TAB:I","Harappa","2","18","8.5","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+526-550-233+"
"H-976","P2_tab_i_core_short_queue","TAB:I","Harappa","2","10.2","7.6","0","EXACT_400_137;FRAME700_SUBTYPE033","+400-137+;+700-033+","1:+400-137+|2:+700-033+",""
"H-985","P2_tab_i_core_short_queue","TAB:I","Harappa","2","15.2","6.4","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+156-435-255+"
"H-986","P2_tab_i_core_short_queue","TAB:I","Harappa","3","16.5","6.4","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+",""
"H-1177","P2_tab_i_core_short_queue","TAB:I","Harappa","2","0","0","0","EXACT_033_720","+033-720+","2:+033-720+",""
"H-1188","P2_tab_i_core_short_queue","TAB:I","Harappa","2","16.5","8","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+",""
"H-1189","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14","7.6","0","EXACT_033_255","+033-255+","2:+033-255+",""
"H-1270","P2_tab_i_core_short_queue","TAB:I","Harappa","2","12.7","6.9","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+",""
"H-1281","P2_tab_i_core_short_queue","TAB:I","Harappa","2","13.5","8.9","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+",""
"H-1294","P2_tab_i_core_short_queue","TAB:I","Harappa","2","15.2","7.6","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+527-550-233+"
"H-1295","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14","8","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+",""
"H-1313","P2_tab_i_core_short_queue","TAB:I","Harappa","2","15","6","1.5","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-1319","P2_tab_i_core_short_queue","TAB:I","Harappa","2","17.8","8.9","0","EXACT_400_678;FRAME700_SUBTYPE032","+400-678+;+700-032+","1:+700-032+|2:+400-678+",""
"H-1320","P2_tab_i_core_short_queue","TAB:I","Harappa","2","17","10","0","EXACT_400_678;FRAME700_SUBTYPE032","+400-678+;+700-032+","1:+400-678+|2:+700-032+",""
"H-1330","P2_tab_i_core_short_queue","TAB:I","Harappa","2","0","0","0","EXACT_520_220;FRAME700_SUBTYPE032","+520-220+;+700-032+","1:+700-032+|2:+520-220+",""
"H-1348","P2_tab_i_core_short_queue","TAB:I","Harappa","2","0","6.4","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+",""
"H-2097","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14.5","7.8","3.5","FRAME700_SUBTYPE034","+034-700+","1:+034-700+","2:+002-861-416+"
"H-2099","P2_tab_i_core_short_queue","TAB:I","Harappa","2","13","7","2.6","EXACT_255_033","+255-033+","1:+255-033+","2:+416-590-033+"
"H-2102","P2_tab_i_core_short_queue","TAB:I","Harappa","2","13.6","7.5","2.5","EXACT_137_413;FRAME700_SUBTYPE034","+137-413+;+700-034+","1:+700-034+|2:+137-413+",""
"H-2105","P2_tab_i_core_short_queue","TAB:I","Harappa","2","11.5","7.5","3","FRAME700_SUBTYPE034","+700-034+","2:+700-034+",""
"H-2119","P2_tab_i_core_short_queue","TAB:I","Harappa","2","13","8","3","EXACT_740_416;FRAME003_ROLE861","+740-416+;+861-003+","1:+861-003+|2:+740-416+",""
"H-2129","P2_tab_i_core_short_queue","TAB:I","Harappa","2","0","8","2.7","FRAME700_SUBTYPE032","+700-032+","1:+700-032+",""
"H-2130","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14.2","8.4","2.8","EXACT_365_900;FRAME700_SUBTYPE034","+365-900+;+700-034+","1:+700-034+|2:+365-900+",""
"H-2146","P2_tab_i_core_short_queue","TAB:I","Harappa","2","11","6.8","2.5","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+520-220-415+"
"H-2154","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14","6","3.4","EXACT_400_226;FRAME700_SUBTYPE034","+034-700+;+400-226+","1:+034-700+|2:+400-226+",""
"H-2155","P2_tab_i_core_short_queue","TAB:I","Harappa","2","9.2","7.1","2.7","EXACT_400_236;FRAME700_SUBTYPE034","+400-236+;+700-034+","1:+700-034+|2:+400-236+",""
"H-2186","P2_tab_i_core_short_queue","TAB:I","Harappa","2","15","8.8","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+390-004-155-390+"
"H-2211","P2_tab_i_core_short_queue","TAB:I","Harappa","2","13.7","6","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+700-840-032-741+"
"H-2215","P2_tab_i_core_short_queue","TAB:I","Harappa","3","7.5","10","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+",""
"H-196","P3_other_short_mark","TAB:B","Harappa","3","29.2","0","0","EXACT_167_706","+167-706+","2:+167-706+","1:+407-590-740-072+|3:+032-700-100-001+"
"H-304","P3_other_short_mark","TAB:I","Harappa","2","14.7","7.6","0","EXACT_690_681","+690-681+","1:+690-681+","2:+740-032-059+"
"H-325","P3_other_short_mark","TAB:I","Harappa","2","12.7","8.9","0","EXACT_740_926","+740-926+","2:+740-926+",""
"H-328","P3_other_short_mark","TAB:I","Harappa","2","15.2","10.2","0","EXACT_690_004","+690-004+","1:+690-004+","2:+400-741-717-235+"
"H-791","P3_other_short_mark","TAB:B","Harappa","2","12.7","8.9","0","EXACT_550_233","+550-233+","2:+550-233+",""
"H-825","P3_other_short_mark","TAB:B","Harappa","2","0","0","0","EXACT_368_817","+368-817+","1:+368-817+","2:+740-032-840+"
"H-906","P3_other_short_mark","TAB:I","Harappa","2","0","7","0","EXACT_151_229","+151-229+","2:+151-229+","1:+824-892-413+"
"H-917","P3_other_short_mark","TAB:I","Harappa","2","16.5","7.6","0","EXACT_690_687","+690-687+","1:+690-687+","2:+400-740-032-027+"
"H-918","P3_other_short_mark","TAB:I","Harappa","2","17.8","7.6","0","EXACT_692_687","+692-687+","1:+692-687+",""
"H-919","P3_other_short_mark","TAB:I","Harappa","2","0","6","0","EXACT_690_687","+690-687+","1:+690-687+","2:+740-636-240+"
"H-1126","P3_other_short_mark","TAB:B","Harappa","2","15","9","0","EXACT_740_850","+740-850+;+740-850+","1:+740-850+|2:+740-850+",""
"H-1166","P3_other_short_mark","TAB:I","Harappa","2","10.2","6.4","0","EXACT_167_705","+167-705+","2:+167-705+",""
"H-1187","P3_other_short_mark","TAB:I","Harappa","2","14","7.6","0","EXACT_740_924","+740-924+","2:+740-924+","1:+824-892-413+"
"H-1863","P3_other_short_mark","TAB:B","Harappa","2","15","11","4.2","EXACT_368_091","+368-091+","2:+368-091+","1:+400-740-388+"
"H-1878","P3_other_short_mark","TAB:B","Harappa","2","12","12","1.7","EXACT_167_705","+167-705+","2:+167-705+",""
"H-1892","P3_other_short_mark","TAB:B","Harappa","2","25","11.5","6.2","EXACT_400_698","+400-698+","2:+400-698+",""
"H-2104","P3_other_short_mark","TAB:I","Harappa","2","15","9.4","3","EXACT_400_137","+400-137+","2:+400-137+","1:+740-797-688+"
"H-2108","P3_other_short_mark","TAB:I","Harappa","2","18","9","2.5","EXACT_690_681","+690-681+","1:+690-681+","2:+400-740-032-014+"
"H-2240","P3_other_short_mark","TAB:I","Harappa","2","12","6","5","EXACT_869_575","+869-575+","2:+869-575+","1:+520-220-415+"
