"cisi","lipi_id","lipi_site","lipi_type","lipi_dir","lipi_text_length","lipi_signs","lipi_text","mayig_side_id","mayig_path","mayig_description","mayig_grapheme_count","mayig_graphemes","count_match","comparison_status"
"M-127","2654.1","Mohenjo-daro","SEAL:S","R/L","5","5","+565-740-220-741-176+","M-127A","corpus/m100_m199/m127.json","unicorn IV seal","5","P238 P324 P060 P324 P194","True","sign_system_unmapped"
"M-128","2655.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-923-803-741-500-705+","M-128A","corpus/m100_m199/m128.json","unicorn IV seal","6","P324 P175 P364 P324 P208 P316","True","sign_system_unmapped"
"M-129","2656.1","Mohenjo-daro","SEAL:S","R/L","6","6","+520-233-240-235-741-360+","M-129A","corpus/m100_m199/m129.json","unicorn IV seal","6","P217 P058 P062 P060 P325 P293","True","sign_system_unmapped"
"M-130","2657.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-094-220-032-002-144+","M-130A","corpus/m100_m199/m130.json","unicorn IV seal","6","P324 P003 P050 P145 P122 P032","True","sign_system_unmapped"
"M-131","2658.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-390-590-741-390-790+","M-131A","corpus/m100_m199/m131.json","unicorn IV seal","6","P324 P086 P276 P325 P086 P355","True","sign_system_unmapped"
"M-132","2659.1","Mohenjo-daro","SEAL:S","R/L","3","3","+156-003-545+","M-132A","corpus/m100_m199/m132.json","unicorn IV seal","3","P004 P123 P226","True","sign_system_unmapped"
"M-133","2660.1","Mohenjo-daro","SEAL:S","R/L","8","8","+527-550-240-220-255-812-906-388+","M-133A","corpus/m100_m199/m133.json","unicorn IV seal","8","P301 P230 P062 P050 P073 P369 P174 P110","True","sign_system_unmapped"
"M-134","2661.1","Mohenjo-daro","SEAL:S","R/L","3","3","+872-032-692+","M-134A","corpus/m100_m199/m134.json","unicorn IV seal","3","P390 P145 P256","True","sign_system_unmapped"
"M-135","2662.1","Mohenjo-daro","SEAL:S","R/L","4","4","+520-033-705-031+","M-135A","corpus/m100_m199/m135.json","unicorn IV seal","4","P217 P147 P316 P144","True","sign_system_unmapped"
"M-136","2663.1","Mohenjo-daro","SEAL:S","R/L","7","7","+090-740-220-016-031-908-545+","M-136A","corpus/m100_m199/m136.json","unicorn IV seal","7","P013 P324 P050 P126 P144 P177 P226","True","sign_system_unmapped"
"M-137","2664.1","Mohenjo-daro","SEAL:S","NR","1","1","+945+","M-137A","corpus/m100_m199/m137.json","unicorn IV seal","1","P379","True","sign_system_unmapped"
"M-138","2665.1","Mohenjo-daro","SEAL:S","R/L","3","3","+740-900-005+","M-138A","corpus/m100_m199/m138.json","unicorn IV seal","3","P324 P154 P125","True","sign_system_unmapped"
"M-139","2666.1","Mohenjo-daro","SEAL:S","R/L","5","5","+033-832-236-741-361+","M-139A","corpus/m100_m199/m139.json","unicorn IV seal","5","P147 P368 P061 P325 P294","True","sign_system_unmapped"
"M-140","2667.1","Mohenjo-daro","SEAL:S","R/L","7","7","+740-336-002-220-065-440-455+","M-140A","corpus/m100_m199/m140.json","unicorn IV seal","7","P324 P309 P145 P050 P201 P283 P221","True","sign_system_unmapped"
"M-141","2668.1","Mohenjo-daro","SEAL:S","R/L","10","6","+817-255-636/000-000-000-240-002-031-000+","M-141A","corpus/m100_m199/m141.json","unicorn IV seal","3","P000 P122 P000","False","sign_system_unmapped"
"M-142","2669.1","Mohenjo-daro","SEAL:S","R/L","4","4","+136-140-002-861+","M-142A","corpus/m100_m199/m142.json","unicorn IV seal","4","P022 P011 P122 P385","True","sign_system_unmapped"
"M-143","2670.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-205-032-002-252-840+","M-143A","corpus/m100_m199/m143.json","unicorn IV seal","6","P324 P082 P122 P145 P170 P349","True","sign_system_unmapped"
"M-144","2671.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-100-415-240-002-817+","M-144A","corpus/m100_m199/m144.json","unicorn IV seal","6","P324 P009 P092 P062 P122 P385","True","sign_system_unmapped"
"M-145","2672.1","Mohenjo-daro","SEAL:S","R/L","4","4","+740-400-142-880+","M-145A","corpus/m100_m199/m145.json","unicorn IV seal","4","P324 P098 P031 P384","True","sign_system_unmapped"
"M-146","2673.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-255-920-060-692+","M-146A","corpus/m100_m199/m146.json","unicorn IV seal","5","P324 P073 P160 P120 P256","True","sign_system_unmapped"
"M-147","2674.1","Mohenjo-daro","SEAL:S","R/L","6","6","+226-803-002-220-455-520+","M-147A","corpus/m100_m199/m147.json","unicorn IV seal","6","P051 P364 P122 P050 P221 P217","True","sign_system_unmapped"
"M-148","2675.1","Mohenjo-daro","SEAL:S","R/L","3","3","+740-817-556+","M-148A","corpus/m100_m199/m148.json","unicorn IV seal","3","P324 P385 P231","True","sign_system_unmapped"
"M-149","2676.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-760-440-060-550+","M-149A","corpus/m100_m199/m149.json","unicorn IV seal","5","P324 P332 P283 P120 P230","True","sign_system_unmapped"
"M-150","2677.1","Mohenjo-daro","SEAL:S","R/L","2","2","+740-832+","M-150A","corpus/m100_m199/m150.json","unicorn IV seal","2","P324 P368","True","sign_system_unmapped"
"M-151","2678.1","Mohenjo-daro","SEAL:S","R/L","3","3","+220-065-864+","M-151A","corpus/m100_m199/m151.json","unicorn IV seal","3","P050 P201 P393","True","sign_system_unmapped"
"M-152","2679.1","Mohenjo-daro","SEAL:S","R/L","4","4","+740-772-002-861+","M-152A","corpus/m100_m199/m152.json","unicorn IV seal","4","P324 P096 P122 P385","True","sign_system_unmapped"
"M-153","2680.1","Mohenjo-daro","SEAL:S","R/L","3","3","+269-130-190+","M-153A","corpus/m100_m199/m153.json","unicorn IV seal","3","P067 P026 P076","True","sign_system_unmapped"
"M-154","2681.1","Mohenjo-daro","SEAL:S","R/L","7","7","+520-220-621-415-002-257-898+","M-154A","corpus/m100_m199/m154.json","unicorn IV seal","7","P217 P050 P092 P122 P300 P182 P265","True","sign_system_unmapped"
"M-155","2682.1","Mohenjo-daro","SEAL:S","R/L","3","3","+740-176-031+","M-155A","corpus/m100_m199/m155.json","unicorn IV seal","3","P324 P194 P144","True","sign_system_unmapped"
"M-157","2683.1","Mohenjo-daro","SEAL:S","R/L","7","7","+740-900-790-233-798-001-820+","M-157A","corpus/m100_m199/m157.json","unicorn IV seal","7","P324 P154 P355 P058 P075 P121 P378","True","sign_system_unmapped"
"M-158","2684.1","Mohenjo-daro","SEAL:S","R/L","4","4","+390-016-060-550+","M-158A","corpus/m100_m199/m158.json","unicorn IV seal","4","P086 P126 P120 P230","True","sign_system_unmapped"
"M-159","2685.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-048-741-250-579+","M-159A","corpus/m100_m199/m159.json","unicorn IV seal","5","P324 P136 P325 P166 P290","True","sign_system_unmapped"
"M-160","2686.1","Mohenjo-daro","SEAL:S","R/L","6","6","+151-243-031-002-820-741+","M-160A","corpus/m100_m199/m160.json","unicorn IV seal","6","P001 P048 P144 P122 P378 P325","True","sign_system_unmapped"
"M-161","2687.1","Mohenjo-daro","SEAL:S","R/L","3","3","+617-122-003+","M-161A","corpus/m100_m199/m161.json","unicorn IV seal","4","P268 P268 P037 P123","False","sign_system_unmapped"
"M-162","2688.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-760-840-552-003+","M-162A","corpus/m100_m199/m162.json","unicorn IV seal","6","P324 P332 P349 P230 P234 P123","False","sign_system_unmapped"
"M-163","2689.1","Mohenjo-daro","SEAL:S","R/L","5","5","+520-220-415-060-820+","M-163A","corpus/m100_m199/m163.json","unicorn IV seal","5","P217 P050 P092 P120 P378","True","sign_system_unmapped"
"M-164","2690.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-142-061-002-817+","M-164A","corpus/m100_m199/m164.json","unicorn IV seal","5","P324 P031 P204 P122 P385","True","sign_system_unmapped"
"M-166","2691.1","Mohenjo-daro","SEAL:S","R/L","6","6","+390-844-240-806-002-861+","M-166A","corpus/m100_m199/m166.json","unicorn IV seal","6","P086 P349 P062 P364 P122 P385","True","sign_system_unmapped"
"M-167","2692.1","Mohenjo-daro","SEAL:S","R/L","4","3","+156-000-368-780+","M-167A","corpus/m100_m199/m167.json","unicorn IV seal","3","P324 P000 P385","True","sign_system_unmapped"
"M-169","2694.1","Mohenjo-daro","SEAL:S","R/L","7","5","+740-575-017-000-000-031-032+","M-169A","corpus/m100_m199/m169.json","unicorn IV seal","5","P324 P289 P127 P000 P145","True","sign_system_unmapped"
"M-170","2695.1","Mohenjo-daro","SEAL:S","R/L","8","8","+740-923-406-061-070-032-741-861+","M-170A","corpus/m100_m199/m170.json","unicorn IV seal","8","P324 P175 P086 P204 P114 P145 P325 P385","True","sign_system_unmapped"
"M-171","2696.1","Mohenjo-daro","SEAL:S","R/L","8","8","+407-061-740-923-233-806-060-692+","M-171A","corpus/m100_m199/m171.json","unicorn IV seal","8","P086 P204 P324 P175 P058 P364 P120 P256","True","sign_system_unmapped"
"M-172","2697.1","Mohenjo-daro","SEAL:S","R/L","6","6","+405-018-001-220-786-850+","M-172A","corpus/m100_m199/m172.json","unicorn IV seal","6","P086 P128 P121 P050 P117 P355","True","sign_system_unmapped"
"M-173","2698.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-388-900-320-806+","M-173A","corpus/m100_m199/m173.json","unicorn IV seal","5","P324 P110 P160 P303 P364","True","sign_system_unmapped"
"M-174","2699.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-923-220-032-002-820+","M-174A","corpus/m100_m199/m174.json","unicorn IV seal","6","P324 P175 P050 P145 P122 P378","True","sign_system_unmapped"
"M-175","2700.1","Mohenjo-daro","SEAL:S","R/L","2+?","2","]002-861+","M-175A","corpus/m100_m199/m175.json","unicorn V seal","3","P000 P122 P385","False","sign_system_unmapped"
"M-176","2701.1","Mohenjo-daro","SEAL:S","R/L","2","2","+740-690+","M-176A","corpus/m100_m199/m176.json","unicorn V seal","2","P000 P255","True","sign_system_unmapped"
"M-177","2702.1","Mohenjo-daro","SEAL:S","R/L","4","4","+390-003-002-803+","M-177A","corpus/m100_m199/m177.json","unicorn V seal","4","P086 P123 P122 P385","True","sign_system_unmapped"
"M-178","2704.1","Mohenjo-daro","SEAL:S","R/L","2","2","+390-016+","M-178A","corpus/m100_m199/m178.json","unicorn V seal","2","P086 P126","True","sign_system_unmapped"
"M-179","2705.1","Mohenjo-daro","SEAL:S","R/L","2","2","+390-003+","M-179A","corpus/m100_m199/m179.json","unicorn V seal","2","P086 P123","True","sign_system_unmapped"
"M-180","2706.1","Mohenjo-daro","SEAL:S","R/L","2","2","+740-621+","M-180A","corpus/m100_m199/m180.json","unicorn V seal","2","P324 P265","True","sign_system_unmapped"
"M-181","2707.1","Mohenjo-daro","SEAL:S","R/L","5","5","+520-175-002-295-502+","M-181A","corpus/m100_m199/m181.json","unicorn V seal","5","P217 P193 P122 P205 P207","True","sign_system_unmapped"
"M-183","2708.1","Mohenjo-daro","SEAL:S","R/L","4","4","+520-233-060-297+","M-183A","corpus/m100_m199/m183.json","unicorn V seal","4","P217 P058 P120 P205","True","sign_system_unmapped"
"M-184","2709.1","Mohenjo-daro","SEAL:S","R/L","4","4","+090-740-101-853+","M-184A","corpus/m100_m199/m184.json","unicorn V seal","4","P013 P324 P010 P359","True","sign_system_unmapped"
"M-182","3845.1","Mohenjo-daro","SEAL:S","R/L","2","2","+740-416+","M-182A","corpus/m100_m199/m182.json","unicorn V seal","2","P324 P095","True","sign_system_unmapped"
