"site","type","prev","next","frame","text","row_count","ids","cisis","sites","types","materials","companion_classes","prev_is_240","next_is_032","no_companion_side"
"Mohenjo-daro","SEAL:S","240","032","240-220-032","+740-812-033-240-220-032+","1","2837.1","M-319","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"Mohenjo-daro","SEAL:S","240","255","240-220-255","+527-550-240-220-255-812-906-388+","1","2660.1","M-133","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","false","true"
"Mohenjo-daro","SEAL:S","255","032","255-220-032","+740-690-435-255-220-032-002-717-820+","1","2490.1","M-1667","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","255","032","255-220-032","+740-690-435-255-220-032-240-235-002-390-125-632-032+","1","2566.1","M-38","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","255","063","255-220-063","+740-760-260/220-255-220-063-315+","1","2475.1","M-1841","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","260","255","260-220-255","+740-760-260/220-255-220-063-315+","1","2475.1","M-1841","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","286","031","286-220-031","+125-435-255-002-286-220-031-012-031-455-033-590+","1","2231.1","M-1688","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","320","415","320-220-415","+520-920-320-220-415+","1","3311.1","M-914","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","335","032","335-220-032","+740-760-335-220-032-002-820+","1","2745.1","M-221","Mohenjo-daro","SEAL:S","-","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","400","428","400-220-428","+400-220-428+","1","2742.1","M-218","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","440","032","440-220-032","+740-440-220-032-741-390-590-032+","1","3169.1","M-746","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","510","065","510-220-065","+740-460-510-220-065-393+","1","2507.1","M-1730","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","001","520-220-001","+520-220-001-820-220-063-315+","1","3995.1","M-1843","Mohenjo-daro","SEAL:S","-","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","002","520-220-002","+520-220-002-727-317+","1","2827.1","M-308","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","002","520-220-002","+520-220-002-861+","1","3509.1","M-1148","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","002","520-220-002","+621-520-220-002-817+","1","2268.1","M-1709","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","003","520-220-003","+520-220-003-741-060-920+","1","2516.1","M-1672","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","003","520-220-003","+520-220-003+","1","2441.1","M-1912","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","004","520-220-004","+520-220-004-002-817+","1","2603.1","M-75","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","016","520-220-016","+520-220-016-002-416-000+","1","2510.1","M-1884","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","031","520-220-031","+520-220-031-001-706-575+","1","2593.1","M-65","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","032","520-220-032","+520-220-032-002-861+","1","3421.1","M-1044","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","520","034","520-220-034","+520-220-034+","1","3556.1","M-1206","Mohenjo-daro","SEAL:S","Steatite","longer_other","false","false","false"
"Mohenjo-daro","SEAL:S","520","060","520-220-060","+621-520-220-060-880+","1","2816.1","M-296","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","235","520-220-235","+520-220-235-000-130-741+","1","3464.1","M-1090","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","235","520-220-235","+842-535-099-004/740-482-060-692-520-220-235-001-920+","1","2757.1","M-234","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","235","520-220-235","+842-871-192-368/740-482-060-692-520-220-235-001-920+","1","2551.1","M-23","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","240","520-220-240","+520-220-240-235+","1","3357.1","M-962","Mohenjo-daro","SEAL:S","-","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","240","520-220-240","+520-220-240-741-440+","1","2265.1","M-888","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","240","520-220-240","+520-220-240-803-002-820+","1","2506.1","M-1716","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","368","520-220-368","+520-220-368-817+","1","2485.1","M-1687","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","415","520-220-415","+520-220-415-002-700-000+","1","2800.1","M-279","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","415","520-220-415","+520-220-415-060-820+","1","2689.1","M-163","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","415","520-220-415","+520-220-415-235+","1","2841.1","M-323","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","415","520-220-415","+520-220-415-240+","1","2420.1","M-1814","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","415","520-220-415","+520-220-415-519-002-817+","1","3094.1","M-650","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","415","520-220-415","+520-220-415+","1","2565.1","M-37","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","621","520-220-621","+520-220-621-415-002-257-898+","1","2681.1","M-154","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","520","803","520-220-803","+520-220-803-741-262+","1","2513.1","M-1776","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","585","002","585-220-002","+740-585-220/002-130-035-171+","1","3483.1","M-1112","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","590","003","590-220-003","+740-390-590-220-003+","1","2621.1","M-94","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","630","032","630-220-032","+740-794-630-220-032-002-368-906-329+","1","2564.1","M-36","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","705","032","705-220-032","+520-033-705-220-032/231-072-002-270-633-032+","1","3529.1","M-1169","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","705","415","705-220-415","+520-033-705-220-415-002-861+","1","2178.1","M-1696","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","705","803","705-220-803","+520-033-705-220-803-055-002-820+","1","2644.1","M-117","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","706","415","706-220-415","+520-033-706-220-415+","1","3113.1","M-674","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","717","240","717-220-240","+740-717-220-240-002-820+","1","3095.1","M-651","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","717","415","717-220-415","+740-717-220-415+","1","2401.1","M-1680","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","740","003","740-220-003","+090-740-220-003-741-252-530+","1","3149.1","M-725","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","740","003","740-220-003","+740-220-003+","1","2814.1","M-294","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","740","014","740-220-014","+090-740-220-014-002-820+","1","2783.1","M-260","Mohenjo-daro","SEAL:S","Faience","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","740","016","740-220-016","+090-740-220-016-002-297-190-920-140+","1","2581.1","M-53","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","740","016","740-220-016","+090-740-220-016-031-908-545+","1","2663.1","M-136","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","740","032","740-220-032","+416-001-565-740-220-032-002-861+","1","2313.1","M-1763","Mohenjo-daro","SEAL:S","Faience","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","740","060","740-220-060","+550-740-220-060-297-630+","1","3318.1","M-921","Mohenjo-daro","SEAL:S","-","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","740","235","740-220-235","+090-740-220-235-853+","1","2631.1","M-104","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","740","415","740-220-415","+679-740-220-415-001-820-812-820-140-820+","1","3084.1","M-634","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","740","741","740-220-741","+565-740-220-741-176+","1","2654.1","M-127","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","740","742","740-220-742","+090-740-220-742-534-550-090+","1","2823.1","M-304","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","760","016","760-220-016","+740-760-220-016-382-741-572-684+","1","2639.1","M-112","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","760","892","760-220-892","+151-740-760-220/892-590-850-032+","1","3157.1","M-733","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","798","032","798-220-032","+740-100-798-220-032-002-861-255-416+","1","2618.1","M-91","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","798","060","798-220-060","+740-798-220-060-820+","1","2427.1","M-1768","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","798","415","798-220-415","+740-798-220-415-741-072+","1","3100.1","M-661","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","803","032","803-220-032","+740-803-220-032-220-002-820+","1","2292.1","M-1706","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","803","368","803-220-368","+740-803-220-368-000+","1","2798.1","M-277","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","804","060","804-220-060","+930/804-220-060-550+","1","2779.1","M-256","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","820","063","820-220-063","+520-220-001-820-220-063-315+","1","3995.1","M-1843","Mohenjo-daro","SEAL:S","-","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","820","065","820-220-065","+413-820-220-065-798-550-820+","1","2635.1","M-108","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","879","415","879-220-415","+740-879-220-415-002-287-140+","1","2636.1","M-109","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","904","032","904-220-032","+740-904-220-032-002-142+","1","2381.1","M-1686","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","923","032","923-220-032","+000-740-923-220-032-002-817+","1","3144.1","M-720","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","923","032","923-220-032","+740-923-220-032-002-820+","1","2699.1","M-174","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","923","032","923-220-032","+740-923-220-032+","1","2651.1","M-124","Mohenjo-daro","SEAL:S","Clay","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","958","278","958-220-278","+520-070-220-032-240-838-741-958-220-278+","1","2403.1","M-1690","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","TAB:B","036","415","036-220-415","+740-760-036-220-415-798-002-861+","1","3711.1","M-1426","Mohenjo-daro","TAB:B","Clay","no_companion_side","false","false","true"
"Mohenjo-daro","TAB:B","740","003","740-220-003","+090-740-792-740-220-003-803+","1","3713.1","M-1429","Mohenjo-daro","TAB:B","-","no_companion_side","false","false","true"
"Mohenjo-daro","TAB:B","740","003","740-220-003","+740-220-003+","2","3720.1;3723.1","M-1439;M-1442","Mohenjo-daro","TAB:B","-","no_companion_side","false","false","true"
"Mohenjo-daro","TAB:B","740","415","740-220-415","+400-740-220-415-798+","2","2953.1;2954.1","M-468;M-469","Mohenjo-daro","TAB:B","-;Faience","no_companion_side","false","false","true"
"Mohenjo-daro","TAB:B","840","002","840-220-002","+740-032-840-220-002-861+","1","2938.1","M-453","Mohenjo-daro","TAB:B","Faience","no_companion_side","false","false","true"
"Mohenjo-daro","TAB:C","176","032","176-220-032","+740-176-220-032+","2","2987.2;2988.2","M-511;M-512","Mohenjo-daro","TAB:C","Copper","700_other_branch","false","true","false"
"Mohenjo-daro","TAB:C","222","235","222-220-235","+740-222-220-235+","1","3773.1","M-1520","Mohenjo-daro","TAB:C","Copper","no_companion_side","false","false","true"
"Mohenjo-daro","TAB:C","590","003","590-220-003","+740-405-590-220-003+","1","3066.2","M-605","Mohenjo-daro","TAB:C","Copper","one_sign_other","false","false","false"
"Mohenjo-daro","TAB:C","740","000","740-220-000","+740-220-000+","1","3069.1","M-608","Mohenjo-daro","TAB:C","Copper","no_companion_side","false","false","true"
"Mohenjo-daro","TAB:C","740","233","740-220-233","+740-220-233-000+","1","3729.1","M-1450","Mohenjo-daro","TAB:C","Copper","no_companion_side","false","false","true"
"Mohenjo-daro","TAB:C","773","032","773-220-032","+740-773-220-032+","1","3041.1","M-571","Mohenjo-daro","TAB:C","Copper","no_companion_side","false","true","true"
"Mohenjo-daro","TAB:C","845","415","845-220-415","+407-845-220-415+","4","2983.1;2984.1;3733.1;3734.1","M-1456;M-1457;M-507;M-508","Mohenjo-daro","TAB:C","Copper","longer_other;no_companion_side","false","false","false"
"Mohenjo-daro","TAG:O","002","627","002-220-627","+484-140-002-220-627-615-906-388+","1","3712.1","M-1427","Mohenjo-daro","TAG:O","Clay","no_companion_side","false","false","true"
"Nausharo","SEAL:S","520","742","520-220-742","+520-220-742-060-920+","1","5360.1","Ns-59","Nausharo","SEAL:S","Steatite","no_companion_side","false","false","true"
"Nausharo","SEAL:S","740","016","740-220-016","+090-740-220-016-002-820+","1","3853.1","Ns-5","Nausharo","SEAL:S","Steatite","no_companion_side","false","false","true"
"Nindowari-damb","SEAL:S","817","632","817-220-632","+817-220-632-066-740-760-026-060-257+","1","3858.1","Nd-1","Nindowari-damb","SEAL:S","-","no_companion_side","false","false","true"
"Rupar","POT:T:g","590","033","590-220-033","+000-590-220-033+","1","3871.1","-","Rupar","POT:T:g","Clay","no_companion_side","false","false","true"
"Saar","SEAL:C","091","055","091-220-055","+031-093-001-091-220-055+","1","5229.1","-","Saar","SEAL:C","-","no_companion_side","false","false","true"
"Shikarpur","SEAL:S","335","098","335-220-098","+335-220-098-921-861+","1","5451.1","-","Shikarpur","SEAL:S","Steatite","no_companion_side","false","false","true"
"Tarkhanewala-dera","TAG","235","032","235-220-032","+520-235-220-032+","1","5456.1","-","Tarkhanewala-dera","TAG","Clay","no_companion_side","false","true","true"
"Tello","SEAL:S","000","390","000-220-390","+000-220-390-440-384+","1","3885.1","-","Tello","SEAL:S","-","no_companion_side","false","false","true"
"Unknown","SEAL:C","001","033","001-220-033","+000-061-032-001-220-033-000+","1","5224.1","-","Unknown","SEAL:C","-","no_companion_side","false","false","true"
"Unknown","SEAL:S","832","003","832-220-003","+520-070-255-832-220-003-853+","1","3118.1","-","Unknown","SEAL:S","-","no_companion_side","false","false","true"
"Ur","SEAL:C","924","528","924-220-528","+093-340-924-220-528+","1","3897.1","-","Ur","SEAL:C","Steatite","no_companion_side","false","false","true"
