"type","sequence_signature","artifact_count","sample_cisi","priority_counts","short_tokens","long_tokens"
"TAB:I","1:+400-156-384-031+|2:+700-034+","1","H-324","P1_mixed_short_long_core:1","034;700","031;156;384;400"
"TAB:I","1:+400-156-435-255+|2:+034-700+|3:+740-000+","1","H-358","P1_mixed_short_long_core:1","034;700","156;255;400;435"
"TAB:I","1:+400-234+|2:+034-700+","1","H-945","P2_tab_i_core_short_queue:1","034;234;400;700",""
"TAB:I","1:+400-236+|2:+700-034+","1","H-947","P2_tab_i_core_short_queue:1","034;236;400;700",""
"TAB:I","1:+400-678+|2:+700-032+","1","H-1320","P2_tab_i_core_short_queue:1","032;400;678;700",""
"TAB:I","1:+400-740-032-027+|2:+700-033+","1","H-303","P1_mixed_short_long_core:1","033;700","027;032;400;740"
"TAB:I","1:+400-740-032-028+|2:+700-032+","1","H-322","P1_mixed_short_long_core:1","032;700","028;032;400;740"
"TAB:I","1:+400-740-032-059+|2:+700-033+","1","H-916","P1_mixed_short_long_core:1","033;700","032;059;400;740"
"TAB:I","1:+400-740-032-060-013+|2:+700-034+","1","H-351","P1_mixed_short_long_core:1","034;700","013;032;060;400;740"
"TAB:I","1:+400-740-176+|2:+700-033+|3:+700-033+","1","H-355","P1_mixed_short_long_core:1","033;700","176;400;740"
"TAB:I","1:+400-740-336-176+|2:+034-700+","1","H-892","P1_mixed_short_long_core:1","034;700","176;336;400;740"
"TAB:I","1:+400-740-336-176+|2:+700-032+","1","H-341","P1_mixed_short_long_core:1","032;700","176;336;400;740"
"TAB:I","1:+400-740-337+|2:+700-034+","1","H-893","P1_mixed_short_long_core:1","034;700","337;400;740"
"TAB:I","1:+400-740-575-017-920+|2:+700-033+","1","H-296","P1_mixed_short_long_core:1","033;700","017;400;575;740;920"
"TAB:I","1:+400-740-636-240+|2:+700-126+","1","H-298","P1_mixed_short_long_core:1","126;700","240;400;636;740"
"TAB:I","1:+400-740-637-240+|2:+700-034+","1","H-983","P1_mixed_short_long_core:1","034;700","240;400;637;740"
"TAB:I","1:+400-740-817-491+|2:+700-033+","1","H-900","P1_mixed_short_long_core:1","033;700","400;491;740;817"
"TAB:I","1:+400-740-840-000-220+|2:+700-032+","1","H-926","P2_tab_i_core_short_queue:1","032;700",""
"TAB:I","1:+415-033-000+|2:+700-033+","1","H-914","P2_tab_i_core_short_queue:1","033;700",""
"TAB:I","1:+416-590-033+|2:+033-255+","1","H-911","P2_tab_i_core_short_queue:1","033;255","033;416;590"
"TAB:I","1:+520-220-016+|2:+033-700+","1","H-942","P2_tab_i_core_short_queue:1","033;700","016;220;520"
"TAB:I","1:+520-220-415+|2:+034-700+","1","H-938","P2_tab_i_core_short_queue:1","034;700","220;415;520"
"TAB:I","1:+520-220-415+|2:+700-032+","1","H-2146","P2_tab_i_core_short_queue:1","032;700","220;415;520"
"TAB:I","1:+520-220-415+|2:+700-090+","1","H-346","P2_tab_i_core_short_queue:1","090;700","220;415;520"
"TAB:I","1:+520-220-415+|2:+869-575+","1","H-2240","P3_other_short_mark:1","575;869","220;415;520"
"TAB:I","1:+520-220+|2:+700-033+","1","H-329","P2_tab_i_core_short_queue:1","033;220;520;700",""
"TAB:I","1:+520-240-000+|2:+700-034+","1","H-320","P2_tab_i_core_short_queue:1","034;700",""
"TAB:I","1:+526-550-220+|2:+032-700+","1","H-359","P2_tab_i_core_short_queue:1","032;700","220;526;550"
"TAB:I","1:+526-550-220+|2:+700-033+","1","H-344","P2_tab_i_core_short_queue:1","033;700","220;526;550"
"TAB:I","1:+527-550-233+|2:+700-032+","1","H-1294","P2_tab_i_core_short_queue:1","032;700","233;527;550"
"TAB:I","1:+565-741-263+|2:+700-034+|3:+692-892+","1","H-363","P2_tab_i_core_short_queue:1","034;692;700;892","263;565;741"
"TAB:I","1:+690-004+|2:+400-741-717-235+","1","H-328","P3_other_short_mark:1","004;690","235;400;717;741"
"TAB:I","1:+690-365-817+|2:+700-033+|3:+400-740-176+","1","H-987","P1_mixed_short_long_core:1","033;700","176;365;400;690;740;817"
"TAB:I","1:+690-681+|2:+400-740-032-014+","1","H-2108","P3_other_short_mark:1","681;690","014;032;400;740"
"TAB:I","1:+690-681+|2:+740-032-059+","1","H-304","P3_other_short_mark:1","681;690","032;059;740"
"TAB:I","1:+690-687+|2:+400-740-032-027+","1","H-917","P3_other_short_mark:1","687;690","027;032;400;740"
"TAB:I","1:+690-687+|2:+740-636-240+","1","H-919","P3_other_short_mark:1","687;690","240;636;740"
"TAB:I","1:+692-687+|2:+400-740-032-000+","1","H-918","P3_other_short_mark:1","687;692",""
"TAB:I","1:+700-032+|2:]000-590-231+","1","H-2129","P2_tab_i_core_short_queue:1","032;700",""
"TAB:I","1:+700-032+|2:+000[","1","H-1281","P2_tab_i_core_short_queue:1","032;700",""
"TAB:I","1:+700-032+|2:+390-004-155-390+","1","H-2186","P2_tab_i_core_short_queue:1","032;700","004;155;390"
"TAB:I","1:+700-032+|2:+400-158-690+","1","H-2185","P1_mixed_short_long_core:1","032;700","158;400;690"
"TAB:I","1:+700-032+|2:+400-678+","1","H-1319","P2_tab_i_core_short_queue:1","032;400;678;700",""
"TAB:I","1:+700-032+|2:+400-740-032-015+","1","H-2184","P1_mixed_short_long_core:1","032;700","015;032;400;740"
"TAB:I","1:+700-032+|2:+400-740-176-240+","1","H-2201","P1_mixed_short_long_core:1","032;700","176;240;400;740"
"TAB:I","1:+700-032+|2:+400-740-575-017-798+","1","H-2183","P1_mixed_short_long_core:1","032;700","017;400;575;740;798"
"TAB:I","1:+700-032+|2:+400-740-817-491+","1","H-2173","P1_mixed_short_long_core:1","032;700","400;491;740;817"
"TAB:I","1:+700-032+|2:+400-854-032+|3:+257-360+","1","H-2217","P1_mixed_short_long_core:1","032;257;360;700","032;400;854"
"TAB:I","1:+700-032+|2:+520-220+","1","H-1330","P2_tab_i_core_short_queue:1","032;220;520;700",""
"TAB:I","1:+700-032+|2:+526-550-233+","1","H-968","P2_tab_i_core_short_queue:1","032;700","233;526;550"
"TAB:I","1:+700-032+|2:+700-840-032-741+","1","H-2211","P2_tab_i_core_short_queue:1","032;700","032;700;741;840"
"TAB:I","1:+700-032+|2:+740-176-033-705-235+","1","H-2139","P1_mixed_short_long_core:1","032;700","033;176;235;705;740"
"TAB:I","1:+700-033+|2:+151-229+","1","H-949","P2_tab_i_core_short_queue:1","033;151;229;700",""
"TAB:I","1:+700-033+|2:+156+|3:+000+","1","H-2215","P2_tab_i_core_short_queue:1","033;700",""
"TAB:I","1:+700-033+|2:+400-090-740-100-390-231+","1","H-2197","P1_mixed_short_long_core:1","033;700","090;100;231;390;400;740"
"TAB:I","1:+700-033+|2:+400-740-032-025+","1","H-2209","P1_mixed_short_long_core:1","033;700","025;032;400;740"
"TAB:I","1:+700-033+|2:+400-740-032-028+","1","H-2115","P1_mixed_short_long_core:1","033;700","028;032;400;740"
"TAB:I","1:+700-033+|2:+400-740-590-017-000+","1","H-891","P2_tab_i_core_short_queue:1","033;700",""
"TAB:I","1:+700-033+|2:+740-143-067+","1","H-2125","P1_mixed_short_long_core:1","033;700","067;143;740"
"TAB:I","1:+700-033+|2:+740-760-840-799+|3:+876-032-578-415+","1","H-2214","P1_mixed_short_long_core:1","033;700","032;415;578;740;760;799;840;876"
"TAB:I","1:+700-033+|2:+824-032-578-415+|3:+740-760-840-799+","1","H-2213","P1_mixed_short_long_core:1","033;700","032;415;578;740;760;799;824;840"
"TAB:I","1:+700-033+|2:+861-003+|3:+156-003+","1","H-2238","P1_tab_i_three_side_short_series:1","003;033;156;700;861",""
"TAB:I","1:+700-033+|2:+869-000+","1","H-1188","P2_tab_i_core_short_queue:1","033;700",""
"TAB:I","1:+700-034+|2:+000-550-556+","1","H-953","P2_tab_i_core_short_queue:1","034;700",""
"TAB:I","1:+700-034+|2:+090-740-792+","1","H-2143","P1_mixed_short_long_core:1","034;700","090;740;792"
"TAB:I","1:+700-034+|2:+137-413+","1","H-2102","P2_tab_i_core_short_queue:1","034;137;413;700",""
"TAB:I","1:+700-034+|2:+156-435-255+","1","H-985","P2_tab_i_core_short_queue:1","034;700","156;255;435"
"TAB:I","1:+700-034+|2:+365-900+","1","H-2130","P2_tab_i_core_short_queue:1","034;365;700;900",""
"TAB:I","1:+700-034+|2:+400-234+","1","H-946","P2_tab_i_core_short_queue:1","034;234;400;700",""
"TAB:I","1:+700-034+|2:+400-236+","1","H-2155","P2_tab_i_core_short_queue:1","034;236;400;700",""
"TAB:I","1:+700-034+|2:+400-740-032-027+","1","H-2204","P1_mixed_short_long_core:1","034;700","027;032;400;740"
"TAB:I","1:+700-034+|2:+400-740-176+","1","H-960","P1_mixed_short_long_core:1","034;700","176;400;740"
"TAB:I","1:+700-034+|2:+400-740-817-276+","1","H-2070","P1_mixed_short_long_core:1","034;700","276;400;740;817"
"TAB:I","1:+700-034+|2:+520-220-415+","1","H-939","P2_tab_i_core_short_queue:1","034;700","220;415;520"
"TAB:I","1:+700-034+|2:+740-032-025+","1","H-2206","P1_mixed_short_long_core:1","034;700","025;032;740"
"TAB:I","1:+700-034+|2:+740-100-176+","1","H-2137","P1_mixed_short_long_core:1","034;700","100;176;740"
"TAB:I","1:+700-034+|2:+824-032-578-415+|3:+740-760-840-799+","1","H-2246","P1_mixed_short_long_core:1","034;700","032;415;578;740;760;799;824;840"
"TAB:I","1:+700-034+|2:+861-003+|3:+154-003+","1","H-2237","P1_tab_i_three_side_short_series:1","003;034;154;700;861",""
"TAB:I","1:+710-455-220-032+|2:+033-700+","1","H-950","P2_tab_i_core_short_queue:1","033;700","032;220;455;710"
"TAB:I","1:+740-000-000-000+|2:+700-032+","1","H-361","P2_tab_i_core_short_queue:1","032;700",""
"TAB:I","1:+740-031-904-001-032+|2:+700-032+","1","H-1312","P1_mixed_short_long_core:1","032;700","001;031;032;740;904"
"TAB:I","1:+740-032-840+|2:+700-033+","1","H-306","P1_mixed_short_long_core:1","033;700","032;740;840"
"TAB:I","1:+740-061-001-031-820+|2:+700-033+","1","H-1198","P1_mixed_short_long_core:1","033;700","001;031;061;740;820"
"TAB:I","1:+740-100-240+|2:+033-700+","1","H-323","P1_mixed_short_long_core:1","033;700","100;240;740"
"TAB:I","1:+740-255-032+|2:+700-032+","1","H-2198","P1_mixed_short_long_core:1","032;700","032;255;740"
"TAB:I","1:+740-255-061+|2:+861-003+","1","H-2123","P1_mixed_short_long_core:1","003;861","061;255;740"
"TAB:I","1:+740-382-002[|2:+700-034+","1","H-285","P2_tab_i_core_short_queue:1","034;700",""
"TAB:I","1:+740-564+|2:+700-034+","1","H-952","P2_tab_i_core_short_queue:1","034;564;700;740",""
"TAB:I","1:+740-690-630-240+|2:+032-700+","1","H-321","P1_mixed_short_long_core:1","032;700","240;630;690;740"
"TAB:I","1:+740-690-636-240+|2:+700-033+","1","H-1308","P1_mixed_short_long_core:1","033;700","240;636;690;740"
"TAB:I","1:+740-690-642-240+|2:+700-034+","1","H-350","P1_mixed_short_long_core:1","034;700","240;642;690;740"
"TAB:I","1:+740-760-382+|2:+700-032+","1","H-975","P1_mixed_short_long_core:1","032;700","382;740;760"
"TAB:I","1:+740-760-797+|2:+700-032+","1","H-362","P1_mixed_short_long_core:1","032;700","740;760;797"
"TAB:I","1:+740-797-688+|2:+400-137+","1","H-2104","P3_other_short_mark:1","137;400","688;740;797"
"TAB:I","1:+740-840-000+|2:+700-032+","1","H-1313","P2_tab_i_core_short_queue:1","032;700",""
"TAB:I","1:+740-861-877+|2:+700-033+","1","H-343","P1_mixed_short_long_core:1","033;700","740;861;877"
"TAB:I","1:+740-900-004+|2:+700-032+","1","H-930","P1_mixed_short_long_core:1","032;700","004;740;900"
"TAB:I","1:+824-032-578-415+|2:+740-714-840-799+|3:+700-034+","1","H-1354","P1_mixed_short_long_core:1","034;700","032;415;578;714;740;799;824;840"
"TAB:I","1:+824-892-413+|2:+151-229+","1","H-906","P3_other_short_mark:1","151;229","413;824;892"
"TAB:I","1:+824-892-413+|2:+740-924+","1","H-1187","P3_other_short_mark:1","740;924","413;824;892"
"TAB:I","1:+861-003+|2:+740-255-061+","1","H-921","P1_mixed_short_long_core:1","003;861","061;255;740"
"TAB:I","1:+861-003+|2:+740-416+","1","H-2119","P2_tab_i_core_short_queue:1","003;416;740;861",""
