"independence_rank","original_triad_rank","target_cisi","target_row_id","target_short_text","target_bucket","evidence_tier","independence_score","triad_score","contrast_readiness","target_long_token_set","target_long_set_count","acquisition_family_count","target_source_prefix","target_source_prefix_count","source_gap_status","target_hook_grade","control_033_cisi","control_033_reuse_count","control_033_hook_grade","control_032_cisi","control_032_reuse_count","control_032_hook_grade","object_format_match_status","direction_risk","copy_family_pressure","source_prefix_pressure","control_reuse_pressure","priority_reason","next_source_action","source_check_status"
"40","27","H-1876","468.1","+034-700+","A_034_direction_reversal","B_source_ready_with_direction_or_reuse_pressure","113","62","strong_two_sibling_metadata_controls","400;516;775","2","2","H2001","6","all_three_have_source_hooks","excavation_plus_figure_hook","H-790","1","catalog_or_excavation_hook","H-1772","2","excavation_plus_figure_hook","target_and_both_controls_match","target_700_order_reversed","no_extra_pressure_flag","source_prefix_seen_6","no_extra_pressure_flag","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=2; source_prefix=H2001/6; control_reuse_max=2; object_format=target_and_both_controls_match; direction=target_700_order_reversed","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"41","28","H-853","1739.2","+034-700+","A_034_direction_reversal","B_source_ready_with_direction_or_reuse_pressure","113","59","strong_two_sibling_metadata_controls","177;231;740","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-846","1","catalog_or_excavation_hook","H-854","2","catalog_or_excavation_hook","target_differs_from_both_controls","target_700_order_reversed","no_extra_pressure_flag","source_prefix_seen_35","no_extra_pressure_flag","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=2; object_format=target_differs_from_both_controls; direction=target_700_order_reversed","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"42","22","H-1877","396.1","+034-700+","A_034_direction_reversal","B_source_ready_with_direction_or_reuse_pressure","107","66","strong_two_sibling_metadata_controls","400;516;775","2","2","H2000","12","all_three_have_source_hooks","excavation_plus_figure_hook","H-1872","7","excavation_plus_figure_hook","H-212","5","catalog_or_excavation_hook","target_and_both_controls_match","target_700_order_reversed","no_extra_pressure_flag","source_prefix_seen_12","033_control_reused_7;032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=2; source_prefix=H2000/12; control_reuse_max=7; object_format=target_and_both_controls_match; direction=target_700_order_reversed","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"43","30","H-358","1377.2","+034-700+","A_034_direction_reversal","B_source_ready_with_direction_or_reuse_pressure","107","53","strong_two_sibling_metadata_controls","156;255;400;435","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-355","2","catalog_or_excavation_hook","H-1294","3","catalog_or_excavation_hook","target_differs_from_both_controls","target_700_order_reversed","no_extra_pressure_flag","source_prefix_seen_35","no_extra_pressure_flag","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=3; object_format=target_differs_from_both_controls; direction=target_700_order_reversed","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"44","91","H-2143","752.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","103","51","strong_032_control_only","090;740;792","1","1","H96","9","all_three_have_source_hooks","catalog_or_excavation_hook","H-306","1","catalog_or_excavation_hook","H-2211","4","excavation_plus_figure_hook","target_matches_one_control","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_9","032_control_reused_4","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H96/9; control_reuse_max=4; object_format=target_matches_one_control","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"45","73","H-1868","509.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","97","63","strong_two_sibling_metadata_controls","151;222;740","2","2","H90","4","all_three_have_source_hooks","excavation_plus_figure_hook","H-1883","4","excavation_plus_figure_hook","H-212","5","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_4","033_control_reused_4;032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=2; source_prefix=H90/4; control_reuse_max=5; object_format=target_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"46","74","H-1869","508.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","97","63","strong_two_sibling_metadata_controls","151;222;740","2","2","H90","4","all_three_have_source_hooks","excavation_plus_figure_hook","H-1883","4","excavation_plus_figure_hook","H-212","5","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_4","033_control_reused_4;032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=2; source_prefix=H90/4; control_reuse_max=5; object_format=target_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"47","39","H-1860","637.1","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","118","73","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","H95","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-1861","3","excavation_plus_figure_hook","H-1865","2","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_9","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H95/9; control_reuse_max=3; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"48","52","H-2102","1018.1","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","117","68","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","H99","1","all_three_have_source_hooks","excavation_plus_figure_hook","H-2131","3","excavation_plus_figure_hook","H-930","16","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_28","no_extra_pressure_flag","032_control_reused_16","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H99/1; control_reuse_max=16; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"49","8","H-2105","642.2","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","112","67","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","H95","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-929","2","catalog_or_excavation_hook","H-2129","1","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_9","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H95/9; control_reuse_max=2; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"50","1","H-910","1792.2","+700-034+","A_034_002_861_416_companion","C_repeated_target_family_pressure","110","70","strong_two_sibling_metadata_controls","002;416;861","5","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-916","2","catalog_or_excavation_hook","H-1294","3","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_5","source_prefix_seen_35","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=5; source_prefix=numeric_catalog/35; control_reuse_max=3; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"51","46","H-1874","388.1","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","107","69","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","H2000","12","all_three_have_source_hooks","excavation_plus_figure_hook","H-1905","2","excavation_plus_figure_hook","H-1804","2","excavation_plus_figure_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_12","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H2000/12; control_reuse_max=2; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"52","43","H-2130","823.1","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","105","70","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","H96","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-2131","3","excavation_plus_figure_hook","H-930","16","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_9","032_control_reused_16","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H96/9; control_reuse_max=16; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"53","55","H-939","1819.1","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","103","67","strong_two_sibling_metadata_controls","220;415;520","4","1","J","2","all_three_have_source_hooks","catalog_or_excavation_hook","H-916","2","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_and_both_controls_match","target_side_relation_differs_from_both_controls","repeated_target_long_set_4","no_extra_pressure_flag","032_control_reused_16","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=4; source_prefix=J/2; control_reuse_max=16; object_format=target_and_both_controls_match; direction=target_side_relation_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"54","67","H-1981","393.1","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","103","65","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","H2000","12","all_three_have_source_hooks","excavation_plus_figure_hook","H-1993","1","excavation_plus_figure_hook","H-768","1","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_12","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H2000/12; control_reuse_max=1; object_format=target_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"55","75","H-1870","901.1","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","101","63","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","H97","6","all_three_have_source_hooks","excavation_plus_figure_hook","H-1905","2","excavation_plus_figure_hook","H-1804","2","excavation_plus_figure_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_6","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H97/6; control_reuse_max=2; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"56","9","H-952","1832.2","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","100","64","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","G","2","all_three_have_source_hooks","catalog_or_excavation_hook","H-929","2","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_28","no_extra_pressure_flag","032_control_reused_16","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=G/2; control_reuse_max=16; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"57","6","H-307","1329.2","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","99","69","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-928","4","catalog_or_excavation_hook","H-1156","3","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_35","033_control_reused_4","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=numeric_catalog/35; control_reuse_max=4; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"58","7","H-788","1679.2","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","98","68","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-798","2","catalog_or_excavation_hook","H-1836","4","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_35","032_control_reused_4","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=numeric_catalog/35; control_reuse_max=4; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"59","15","H-2155","812.1","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","97","59","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","H96","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-2131","3","excavation_plus_figure_hook","H-963","1","catalog_or_excavation_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_9","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H96/9; control_reuse_max=3; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"60","38","H-960","1837.1","+700-034+","B_034_400_740_176_bridge","C_repeated_target_family_pressure","96","63","strong_two_sibling_metadata_controls","176;400;740","9","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-935","3","catalog_or_excavation_hook","H-962","1","catalog_or_excavation_hook","target_matches_one_control","target_side_relation_differs_from_both_controls","repeated_target_long_set_9","source_prefix_seen_35","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=9; source_prefix=numeric_catalog/35; control_reuse_max=3; object_format=target_matches_one_control; direction=target_side_relation_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"61","31","H-308","1330.2","+700-034+","B_034_400_740_176_bridge","C_repeated_target_family_pressure","94","74","strong_two_sibling_metadata_controls","176;400;740","9","7","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-935","3","catalog_or_excavation_hook","H-2146","2","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_9;acquisition_sequence_family_7","source_prefix_seen_35","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=9; source_prefix=numeric_catalog/35; control_reuse_max=3; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"62","10","H-947","1827.2","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","93","63","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-928","4","catalog_or_excavation_hook","H-2146","2","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_35","033_control_reused_4","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=numeric_catalog/35; control_reuse_max=4; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"63","18","H-1831","772.1","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","92","54","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","2","H96","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-1858","1","excavation_plus_figure_hook","H-802","1","catalog_or_excavation_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_9","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H96/9; control_reuse_max=1; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"64","3","H-2097","488.1","+034-700+","A_034_002_861_416_companion","C_repeated_target_family_pressure","91","64","strong_two_sibling_metadata_controls","002;416;861","5","1","H2001","6","all_three_have_source_hooks","excavation_plus_figure_hook","H-925","9","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_and_both_controls_match","target_700_order_reversed","repeated_target_long_set_5","source_prefix_seen_6","033_control_reused_9;032_control_reused_16","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=5; source_prefix=H2001/6; control_reuse_max=16; object_format=target_and_both_controls_match; direction=target_700_order_reversed","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"65","14","H-285","1307.2","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","91","60","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","J","2","all_three_have_source_hooks","catalog_or_excavation_hook","H-891","2","catalog_or_excavation_hook","H-926","1","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","repeated_target_long_set_28","no_extra_pressure_flag","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=J/2; control_reuse_max=2; object_format=target_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"66","19","H-938","1818.2","+034-700+","A_034_direction_reversal","C_repeated_target_family_pressure","91","69","strong_two_sibling_metadata_controls","220;415;520","4","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-925","9","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_and_both_controls_match","target_700_order_reversed","repeated_target_long_set_4","source_prefix_seen_35","033_control_reused_9;032_control_reused_16","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=4; source_prefix=numeric_catalog/35; control_reuse_max=16; object_format=target_and_both_controls_match; direction=target_700_order_reversed","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"67","32","H-313","1335.2","+700-034+","B_034_400_740_176_bridge","C_repeated_target_family_pressure","91","71","strong_two_sibling_metadata_controls","176;400;740","9","7","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-1303","3","catalog_or_excavation_hook","H-315","3","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_9;acquisition_sequence_family_7","source_prefix_seen_35","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=9; source_prefix=numeric_catalog/35; control_reuse_max=3; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"68","48","H-946","1826.1","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","91","68","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-928","4","catalog_or_excavation_hook","H-1313","4","catalog_or_excavation_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_35","033_control_reused_4;032_control_reused_4","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=numeric_catalog/35; control_reuse_max=4; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"69","86","H-1120","3968.2","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","90","57","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-891","2","catalog_or_excavation_hook","H-779","2","catalog_or_excavation_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_35","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=numeric_catalog/35; control_reuse_max=2; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"70","16","H-953","1833.1","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","88","55","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-1295","1","catalog_or_excavation_hook","H-1156","3","catalog_or_excavation_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_35","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=numeric_catalog/35; control_reuse_max=3; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"71","36","H-314","1336.2","+700-034+","B_034_400_740_176_bridge","C_repeated_target_family_pressure","85","65","strong_two_sibling_metadata_controls","176;400;740","9","7","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-1302","1","catalog_or_excavation_hook","H-315","3","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_9;acquisition_sequence_family_7","source_prefix_seen_35","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=9; source_prefix=numeric_catalog/35; control_reuse_max=3; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"72","2","H-2094","476.1","+700-034+","A_034_002_861_416_companion","C_repeated_target_family_pressure","84","66","strong_two_sibling_metadata_controls","002;416;861","5","3","H2001","6","all_three_have_source_hooks","excavation_plus_figure_hook","H-900","2","catalog_or_excavation_hook","H-2173","1","excavation_plus_figure_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_5;acquisition_sequence_family_3","source_prefix_seen_6","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=5; source_prefix=H2001/6; control_reuse_max=2; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"73","13","H-1907","743.2","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","83","61","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","2","H96","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-1861","3","excavation_plus_figure_hook","H-1865","2","excavation_plus_figure_hook","target_differs_from_both_controls","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_9","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H96/9; control_reuse_max=3; object_format=target_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"74","25","H-2154","815.1","+034-700+","A_034_direction_reversal","C_repeated_target_family_pressure","83","63","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","H96","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-927","2","catalog_or_excavation_hook","H-1313","4","catalog_or_excavation_hook","target_matches_one_control","target_700_order_reversed","repeated_target_long_set_28","source_prefix_seen_9","032_control_reused_4","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H96/9; control_reuse_max=4; object_format=target_matches_one_control; direction=target_700_order_reversed","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"75","11","H-1828","895.2","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","82","62","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","2","H97","6","all_three_have_source_hooks","excavation_plus_figure_hook","H-1859","2","excavation_plus_figure_hook","H-1836","4","excavation_plus_figure_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_6","032_control_reused_4","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H97/6; control_reuse_max=4; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"76","12","H-1829","890.2","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","82","62","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","2","H97","6","all_three_have_source_hooks","excavation_plus_figure_hook","H-1859","2","excavation_plus_figure_hook","H-1836","4","excavation_plus_figure_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_6","032_control_reused_4","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H97/6; control_reuse_max=4; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"77","53","H-319","1341.2","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","82","67","strong_two_sibling_metadata_controls","220;415;520","4","2","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-1303","3","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_4","source_prefix_seen_35","032_control_reused_16","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=4; source_prefix=numeric_catalog/35; control_reuse_max=16; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"78","54","H-785","1676.1","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","82","67","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-798","2","catalog_or_excavation_hook","H-1836","4","excavation_plus_figure_hook","target_differs_from_both_controls","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_35","032_control_reused_4","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=numeric_catalog/35; control_reuse_max=4; object_format=target_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"79","21","H-945","1825.2","+034-700+","A_034_direction_reversal","C_repeated_target_family_pressure","81","66","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-928","4","catalog_or_excavation_hook","H-1313","4","catalog_or_excavation_hook","target_matches_one_control","target_700_order_reversed","repeated_target_long_set_28","source_prefix_seen_35","033_control_reused_4;032_control_reused_4","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=numeric_catalog/35; control_reuse_max=4; object_format=target_matches_one_control; direction=target_700_order_reversed","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"80","87","H-819","1708.2","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","81","56","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","2","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-249","1","catalog_or_excavation_hook","H-839","1","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_35","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=numeric_catalog/35; control_reuse_max=1; object_format=target_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
