"queue_rank","priority_band","source_validation_need","representative_cisi","family_cisis","representative_lipi_id","harsh_id","site","type","material","symbol","direction","text","tokens","token_count","family_size","family_source_weight","direction_outcome","stored_logprob","reversed_logprob","diff_per_transition","major_leave_one_delta_stored_win","site_leave_one_delta_stored_win","source_hint_count","best_source_rank","best_source_file","best_status_text","best_source_url","best_local_image","best_sha256","best_note","source_files"
"75","P1_audit_reversed_anomaly","replace_non_source_grade_catalogue_hint","M-1629","M-1629","3823.1","one_edit_family_00329","Mohenjo-daro","BNGL","Stoneware","None","R/L","+705-032-595-090-175+","705 032 595 090 175","5","1","1","reversed_higher","-38.914363","-35.480376","-0.572331","-0.002618","-0.003867","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"76","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-1097","M-1097","3469.1","one_edit_family_00346","Mohenjo-daro","SEAL:S","Steatite","Gaur","R/L","+808-347-061+","808 347 061","3","1","1","reversed_higher","-25.849103","-23.451208","-0.599474","-0.002618","-0.003867","0","0","","","","","","",""
"77","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-402","M-402","2898.1","one_edit_family_00246","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+494-615-179-100-001-033-426+","494 615 179 100 001 033 426","7","1","1","reversed_higher","-50.720191","-45.9244","-0.599474","-0.002618","-0.008607","0","0","","","","","","",""
"78","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-420","M-420","2914.1","one_edit_family_00336","Mohenjo-daro","POT:T:s","Clay","None","L/R","+747-004-408+","747 004 408","3","1","1","reversed_higher","-25.965243","-23.567347","-0.599474","-0.002618","-0.003867","0","0","","","","","","",""
"79","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-1990","H-1988;H-1989;H-1990","581.1","one_edit_family_00353","Harappa","TAB:B","Clay","None","R/L","+851-740-705-924-156+","851 740 705 924 156","5","1","3","reversed_higher","-38.86471","-35.151138","-0.618929","-0.002618","-0.015685","0","0","","","","","","",""
"80","P1_audit_reversed_anomaly","replace_non_source_grade_catalogue_hint","M-309","M-309","2828.1","one_edit_family_00121","Mohenjo-daro","SEAL:S","Steatite","T-A-T","R/L","+224-740-061-002-824+","224 740 061 002 824","5","1","1","reversed_higher","-37.102785","-33.02217","-0.680102","-0.002618","-0.003867","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"81","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-2021","M-2021","4016.1","one_edit_family_00036","Mohenjo-daro","TAB:B","-","Mult","R/L","+095-031-740-927+","095 031 740 927","4","1","1","reversed_higher","-33.299031","-29.865044","-0.686797","-0.002618","-0.003867","0","0","","","","","","",""
"82","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-911","H-2099;H-911","310.1","one_edit_family_00229","Harappa","TAB:I","Steatite","None","R/L","+416-590-033+","416 590 033","3","1","2","reversed_higher","-20.529524","-17.492839","-0.759171","-0.002618","0.002333","0","0","","","","","","",""
"83","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-415","M-415","2911.1","one_edit_family_00147","Mohenjo-daro","SEAL:C","Steatite","Gaur","R/L","+256-832+","256 832","2","1","1","reversed_higher","-19.9259","-17.528005","-0.799298","-0.002618","-0.003867","0","0","","","","","","",""
"84","P1_audit_reversed_anomaly","replace_non_source_grade_catalogue_hint","H-1187","H-1187;H-1866;H-1939;H-1991;H-2084;H-301;H-786;H-787;H-905;H-906;H-988","295.1","one_edit_family_00350","Harappa","TAB:I","Steatite","Bult","R/L","+824-892-413+","824 892 413","3","1","11","reversed_higher","-19.982465","-15.855724","-1.031685","0.000478","-0.006676","9","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","campaign_520_220_x_source_visibility_hints_addendum.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"85","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-2127","H-2127;H-2128","491.1","one_edit_family_00243","Harappa","TAB:I","Steatite","None","R/L","+455-590-142-220+","455 590 142 220","4","1","2","reversed_higher","-29.193448","-23.300234","-1.178643","-0.00881","-0.024694","0","0","","","","","","",""
"86","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-1075","H-1075","3927.1","one_edit_family_00335","Harappa","SEAL:R","-","None","R/L","+742-440-556+","742 440 556","3","1","1","reversed_higher","-25.911065","-21.115275","-1.198948","-0.002618","-0.006676","0","0","","","","","","",""
"87","P1_audit_reversed_anomaly","replace_non_source_grade_catalogue_hint","M-3","M-3","2532.1","one_edit_family_00331","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+717-032-521+","717 032 521","3","1","1","reversed_higher","-26.591361","-21.148944","-1.360604","-0.005714","-0.003867","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"88","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-1233","M-1233","3565.5","one_edit_family_00024","Mohenjo-daro","SEAL:S","Steatite","None","R/L","+033-700-850-002+","033 700 850 002","4","1","1","reversed_higher","-27.159785","-19.153273","-1.601302","-0.005714","-0.003867","0","0","","","","","","",""
"89","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-2085","H-2085","887.2","one_edit_family_00227","Harappa","TAB:I","Steatite","None","L/R","+413-892-824+","413 892 824","3","1","1","reversed_higher","-23.696037","-14.321794","-2.343561","-0.005714","-0.015685","0","0","","","","","","",""
"90","P2_validate_positive_support","find_public_or_request_source_route","M-189","M-189","2714.1","one_edit_family_00241","Mohenjo-daro","SEAL:S","Steatite","Bull1:J","R/L","+436-740-176+","436 740 176","3","1","1","stored_higher","-18.940394","-26.916646","1.994063","0.000478","0.000872","0","0","","","","","","",""
"91","P2_validate_positive_support","find_public_or_request_source_route","H-1682","H-1682","810.1","one_edit_family_00077","Harappa","SEAL:S","Steatite","Bull1","R/L","+154-003-617-033+","154 003 617 033","4","1","1","stored_higher","-19.775838","-29.584051","1.961643","0.000478","0.002333","0","0","","","","","","",""
"92","P2_validate_positive_support","find_public_or_request_source_route","M-519","M-519;M-520","2994.1","one_edit_family_00299","Mohenjo-daro","TAB:C","Copper","Bull1:W","R/L","+617-142-001-595-095-760-744+","617 142 001 595 095 760 744","7","1","2","stored_higher","-33.118709","-48.569429","1.93134","0.000478","0.000872","0","0","","","","","","",""
"93","P2_validate_positive_support","find_public_or_request_source_route","M-513","M-513;M-514;M-515","2989.2","one_edit_family_00217","Mohenjo-daro","TAB:C","Copper","None","R/L","+407-585-233+","407 585 233","3","1","3","stored_higher","-18.960529","-26.661729","1.9253","0.000478","0.000872","0","0","","","","","","",""
"94","P2_validate_positive_support","find_public_or_request_source_route","H-1990","H-1811;H-1812;H-1813;H-1988;H-1989;H-1990;H-205;H-774","581.2","one_edit_family_00324","Harappa","TAB:B","Clay","None","R/L","+700-033-711-335-575-413+","700 033 711 335 575 413","6","1","8","stored_higher","-21.784872","-35.117973","1.904729","0.000478","0.002333","0","0","","","","","","",""
"95","P2_validate_positive_support","find_public_or_request_source_route","M-133","M-133","2660.1","one_edit_family_00260","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+527-550-240-220-255-812-906-388+","527 550 240 220 255 812 906 388","8","1","1","stored_higher","-37.744244","-54.795997","1.894639","0.000478","0.000872","0","0","","","","","","",""
"96","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-2014","M-2014","2432.2","one_edit_family_00262","Mohenjo-daro","TAB:B","Clay","Mult","R/L","+527-550-798-220+","527 550 798 220","4","1","1","stored_higher","-20.08028","-29.509973","1.885939","-0.002618","0.000872","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"97","P2_validate_positive_support","find_public_or_request_source_route","M-102","M-102","2629.1","one_edit_family_00078","Mohenjo-daro","SEAL:S","Steatite","Bull1:J","R/L","+154-003-900-545+","154 003 900 545","4","1","1","stored_higher","-20.668605","-30.079516","1.882182","0.000478","0.000872","0","0","","","","","","",""
"98","P2_validate_positive_support","find_public_or_request_source_route","M-1262","M-1262","3569.1","one_edit_family_00203","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+407-004-001-745-561-586+","407 004 001 745 561 586","6","1","1","stored_higher","-31.944954","-44.893657","1.849815","0.000478","0.000872","0","0","","","","","","",""
"99","P2_validate_positive_support","find_public_or_request_source_route","M-1476","M-1476;M-1479;M-1480","3742.1","one_edit_family_00231","Mohenjo-daro","TAB:C","Copper","Buff","R/L","+422-003-900-740-690-435-255+","422 003 900 740 690 435 255","7","1","3","stored_higher","-34.199033","-48.758531","1.819937","0.000478","0.000872","0","0","","","","","","",""
"100","P2_validate_positive_support","find_public_or_request_source_route","M-1081","M-1081","3455.1","one_edit_family_00267","Mohenjo-daro","SEAL:S","Steatite","Gaur","R/L","+527-555-055-233-235-741-831-518+","527 555 055 233 235 741 831 518","8","1","1","stored_higher","-38.135545","-54.358605","1.802562","0.000478","0.000872","0","0","","","","","","",""
"101","P2_validate_positive_support","find_public_or_request_source_route","M-296","M-296","2816.1","one_edit_family_00309","Mohenjo-daro","SEAL:S","Steatite","Othr","R/L","+621-520-220-060-880+","621 520 220 060 880","5","1","1","stored_higher","-27.943788","-38.571461","1.771279","0.003574","0.000872","0","0","","","","","","",""
"102","P2_validate_positive_support","find_public_or_request_source_route","M-1703","M-1703","2524.1","one_edit_family_00058","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+151-097-232-416+","151 097 232 416","4","1","1","stored_higher","-20.945813","-29.718367","1.754511","0.000478","0.000872","0","0","","","","","","",""
"103","P2_validate_positive_support","find_public_or_request_source_route","M-1756","M-1756","2254.1","one_edit_family_00062","Mohenjo-daro","SEAL:S","Steatite","Bull1:J","R/L","+151-240-235-741-892+","151 240 235 741 892","5","1","1","stored_higher","-25.634943","-36.158765","1.75397","0.000478","0.000872","0","0","","","","","","",""
"104","P2_validate_positive_support","find_public_or_request_source_route","M-740","M-740","3164.1","one_edit_family_00130","Mohenjo-daro","SEAL:S","Steatite","Bull1:J","R/L","+226-491-742-705-575+","226 491 742 705 575","5","1","1","stored_higher","-27.904791","-38.410707","1.750986","0.00667","0.010351","0","0","","","","","","",""
"105","P2_validate_positive_support","find_public_or_request_source_route","M-254","M-254","2777.1","one_edit_family_00240","Mohenjo-daro","SEAL:S","Steatite","Gaur","R/L","+435-255-390-005+","435 255 390 005","4","1","1","stored_higher","-23.614547","-32.342163","1.745523","0.003574","0.000872","0","0","","","","","","",""
"106","P2_validate_positive_support","find_public_or_request_source_route","M-670","M-670","3109.1","one_edit_family_00079","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+154-031-001-520-033-705+","154 031 001 520 033 705","6","1","1","stored_higher","-31.484411","-43.654914","1.738643","0.000478","0.000872","0","0","","","","","","",""
"107","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-1375","M-1375","3673.1","one_edit_family_00341","Mohenjo-daro","POT:T:s","Steatite","None","R/L","+790-032-033-705+","790 032 033 705","4","1","1","stored_higher","-19.969308","-28.560782","1.718295","0.000478","0.000872","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"108","P2_validate_positive_support","find_public_or_request_source_route","M-2121","M-2121","2362.1","one_edit_family_00347","Mohenjo-daro","IMPL","Copper","None","R/L","+821-001-480-850-595-391+","821 001 480 850 595 391","6","1","1","stored_higher","-30.342862","-42.332338","1.712782","0.003574","0.005611","0","0","","","","","","",""
"109","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-10","M-10","2539.1","one_edit_family_00193","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+405-061-070-032-033-706-235-806-002-267-455+","405 061 070 032 033 706 235 806 002 267 455","11","1","1","stored_higher","-53.599793","-74.10949","1.709141","0.000478","0.000872","3","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"110","P2_validate_positive_support","find_public_or_request_source_route","M-1977","M-1977","2317.1","one_edit_family_00303","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+617-142-746-140+","617 142 746 140","4","1","1","stored_higher","-19.379062","-27.818161","1.68782","0.000478","0.000872","0","0","","","","","","",""
"111","P2_validate_positive_support","find_public_or_request_source_route","H-756","H-756","1649.1","one_edit_family_00207","Harappa","TAB:B","Faience","None","R/L","+407-005-741-500-561+","407 005 741 500 561","5","1","1","stored_higher","-28.512316","-38.611411","1.683183","0.003574","0.002333","0","0","","","","","","",""
"112","P2_validate_positive_support","find_public_or_request_source_route","M-403","M-403","2899.1","one_edit_family_00213","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+407-063-520-095+","407 063 520 095","4","1","1","stored_higher","-21.644556","-29.992383","1.669565","0.000478","0.000872","0","0","","","","","","",""
"113","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-371","M-371","2867.1","one_edit_family_00301","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+617-142-384-032-154-806-467+","617 142 384 032 154 806 467","7","1","1","stored_higher","-35.408259","-48.740668","1.666551","0.000478","0.000872","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"114","P2_validate_positive_support","find_public_or_request_source_route","M-1270","M-1270","3577.1","one_edit_family_00081","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+154-388-717-706+","154 388 717 706","4","1","1","stored_higher","-24.086025","-32.414718","1.665739","0.000478","0.000872","0","0","","","","","","",""
"115","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-1532","M-1532","3782.1","one_edit_family_00204","Mohenjo-daro","TAB:C","Copper","Othr","R/L","+407-004-002-365-460-495+","407 004 002 365 460 495","6","1","1","stored_higher","-33.298014","-44.93104","1.661861","0.000478","0.000872","3","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"116","P2_validate_positive_support","find_public_or_request_source_route","M-1457","M-1457","3734.2","one_edit_family_00343","Mohenjo-daro","TAB:C","Copper","Loop","R/L","+790-740-100-405-590+","790 740 100 405 590","5","1","1","stored_higher","-23.7329","-33.686177","1.65888","0.000478","0.000872","0","0","","","","","","",""
"117","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-1089","M-1089","3463.1","one_edit_family_00068","Mohenjo-daro","SEAL:S","Steatite","Gaur","R/L","+151-390-590-002-374-840+","151 390 590 002 374 840","6","1","1","stored_higher","-31.560558","-43.120472","1.651416","0.000478","0.005611","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"118","P2_validate_positive_support","find_public_or_request_source_route","H-1517","H-1517","315.1","one_edit_family_00189","Harappa","ROD","Ivory","None","R/L","+405-005-002+","405 005 002","3","1","1","stored_higher","-16.844902","-23.448945","1.651011","0.000478","-0.006676","0","0","","","","","","",""
"119","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-1052","M-1052","3427.1","one_edit_family_00312","Mohenjo-daro","SEAL:R","-","-","R/L","+679-740-220-032-806-001-595-575-001-095+","679 740 220 032 806 001 595 575 001 095","10","1","1","stored_higher","-48.903086","-66.936397","1.639392","0.000478","0.000872","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"120","P2_validate_positive_support","find_public_or_request_source_route","M-63","M-63","2591.1","one_edit_family_00253","Mohenjo-daro","SEAL:S","Steatite","Bull1:J","R/L","+526-555-060-550+","526 555 060 550","4","1","1","stored_higher","-21.872022","-30.066527","1.638901","0.003574","0.000872","0","0","","","","","","",""
"121","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-81","M-81","2608.1","one_edit_family_00270","Mohenjo-daro","SEAL:S","Steatite","Bull1:S","R/L","+527-555-240-002-617-070+","527 555 240 002 617 070","6","1","1","stored_higher","-34.009863","-45.437132","1.632467","0.000478","0.000872","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"122","P2_validate_positive_support","find_public_or_request_source_route","M-1470","M-1470","3738.1","one_edit_family_00298","Mohenjo-daro","TAB:C","Copper","Bull1:W","R/L","+617-142-001-595-095-717-747+","617 142 001 595 095 717 747","7","1","1","stored_higher","-33.307951","-46.360776","1.631603","0.000478","0.000872","0","0","","","","","","",""
"123","P2_validate_positive_support","find_public_or_request_source_route","H-1732","H-1732","603.1","one_edit_family_00097","Harappa","POT:T:s","Clay","None","R/L","+158-805-480+","158 805 480","3","1","1","stored_higher","-19.454121","-25.96289","1.627192","0.000478","0.002333","0","0","","","","","","",""
"124","P2_validate_positive_support","find_public_or_request_source_route","H-190","H-1104;H-1105;H-190;H-724;H-726","1223.1","one_edit_family_00098","Harappa","TAB:B","Clay","Phyt","R/L","+158-806-465+","158 806 465","3","1","5","stored_higher","-19.800903","-26.309672","1.627192","0.000478","0.002333","0","0","","","","","","",""
"125","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-1150","M-1150","3511.1","one_edit_family_00310","Mohenjo-daro","SEAL:S","Steatite","Elep","R/L","+621-520-231-240-002-456+","621 520 231 240 002 456","6","1","1","stored_higher","-33.701165","-44.975465","1.610614","0.000478","0.000872","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"126","P2_validate_positive_support","review_existing_crop_for_direction_and_token_order","M-49","M-49","2577.1","one_edit_family_00259","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+527-550-240-220-032-002-300-350-032-190+","527 550 240 220 032 002 300 350 032 190","10","1","1","stored_higher","-48.430223","-66.128603","1.608944","0.003574","0.005611","17","85","campaign_032_002_branch_tail_token_order_verdicts.csv","source_single_line:yes | pass_existing_token_box | confidence:medium | later 032 tail: 300-350-032-190","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M49_target_300_fullpanel_a.png","","","campaign_032_002_branch_tail_token_order_boxes.csv;campaign_032_002_branch_tail_token_order_verdicts.csv;campaign_032_002_source_normalized_branch_tail_decisive_rows.csv;campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch2.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv"
"127","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","H-363","H-363","1382.1","one_edit_family_00280","Harappa","TAB:I","-","Mult","R/L","+565-741-263+","565 741 263","3","1","1","stored_higher","-20.036355","-26.366076","1.58243","0.000478","0.002333","2","5","lipi_frame700_034_source_acquisition_manifest.csv","no_public_lead_source_required | source_acquisition_only_source_images_not_validated","","","","Request source-grade images/plates for all catalog rows of H-363. Metadata source hooks: 13030. Packet rows to verify: 1382.2 +700-034+. All local rows to reconcile: 1382.1 +565-741-263+; 1382.2 +700-034+; 1382.3 +692-892+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","effective_unicity_directionality_source_queue_source_index.csv;lipi_frame700_034_source_acquisition_manifest.csv"
"128","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-225","M-225","2749.1","one_edit_family_00139","Mohenjo-daro","SEAL:S","Steatite","Bull1:S","R/L","+241-002-880+","241 002 880","3","1","1","stored_higher","-20.427121","-26.756842","1.58243","0.000478","0.000872","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"129","P2_validate_positive_support","find_public_or_request_source_route","M-409","M-409","2905.1","one_edit_family_00029","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+045-740-806+","045 740 806","3","1","1","stored_higher","-20.789225","-27.118946","1.58243","0.000478","0.000872","0","0","","","","","","",""
"130","P2_validate_positive_support","find_public_or_request_source_route","H-58","H-58","1117.1","one_edit_family_00099","Harappa","SEAL:S","Steatite","Bull1:W","R/L","+158-806-468-740-752-231-235+","158 806 468 740 752 231 235","7","1","1","stored_higher","-38.575748","-51.195984","1.57753","0.000478","0.002333","0","0","","","","","","",""
"131","P2_validate_positive_support","find_public_or_request_source_route","M-1978","M-1978","2445.1","one_edit_family_00192","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+405-061-033-705-236+","405 061 033 705 236","5","1","1","stored_higher","-26.60105","-35.987107","1.564343","0.000478","0.000872","0","0","","","","","","",""
"132","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-509","M-509;M-510","2985.2","one_edit_family_00195","Mohenjo-daro","TAB:C","Copper","None","R/L","+405-240-740-176-002-326+","405 240 740 176 002 326","6","1","2","stored_higher","-32.27951","-43.168655","1.555592","0.000478","0.000872","4","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"133","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","H-412","H-412","1416.1","one_edit_family_00105","Harappa","SEAL:S","Steatite","Bull1:I","R/L","+161-233-220-032-741-831+","161 233 220 032 741 831","6","1","1","stored_higher","-32.222793","-43.107628","1.554976","0.000478","0.002333","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"134","P2_validate_positive_support","find_public_or_request_source_route","H-151","H-151","1192.1","one_edit_family_00209","Harappa","SEAL:R","-","None","R/L","+407-017-060-193+","407 017 060 193","4","1","1","stored_higher","-24.833923","-32.535123","1.54024","0.003574","0.011342","0","0","","","","","","",""
"135","P2_validate_positive_support","find_public_or_request_source_route","M-762","M-762","3185.1","one_edit_family_00127","Mohenjo-daro","SEAL:S","Steatite","Bull1:I","R/L","+226-140-002+","226 140 002","3","1","1","stored_higher","-17.432518","-23.555813","1.530824","-0.002618","0.000872","0","0","","","","","","",""
"136","P2_validate_positive_support","find_public_or_request_source_route","M-848","M-848","3260.1","one_edit_family_00198","Mohenjo-daro","SEAL:S","Steatite","Bull1","R/L","+406-125-176+","406 125 176","3","1","1","stored_higher","-20.114809","-26.226276","1.527867","0.000478","0.000872","0","0","","","","","","",""
"137","P2_validate_positive_support","find_public_or_request_source_route","H-1815","H-1810;H-1815","561.2","one_edit_family_00025","Harappa","TAB:B","Faience","None","L/R","+033-711-335-575-413+","033 711 335 575 413","5","1","2","stored_higher","-20.470584","-29.444508","1.495654","0.000478","0.002333","0","0","","","","","","",""
"138","P2_validate_positive_support","find_public_or_request_source_route","M-777","M-777","3191.1","one_edit_family_00109","Mohenjo-daro","SEAL:S","Steatite","Bull1:J","R/L","+173-520-235-060-550+","173 520 235 060 550","5","1","1","stored_higher","-27.41331","-36.254443","1.473522","0.003574","0.000872","0","0","","","","","","",""
"139","P2_validate_positive_support","find_public_or_request_source_route","M-664","M-664","3103.1","one_edit_family_00056","Mohenjo-daro","SEAL:S","Steatite","Bull1:S","R/L","+151-062-820-500-706+","151 062 820 500 706","5","1","1","stored_higher","-29.361171","-38.156148","1.465829","0.000478","0.000872","0","0","","","","","","",""
"140","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-57","M-57","2585.1","one_edit_family_00125","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+226-032-231-798-002-693+","226 032 231 798 002 693","6","1","1","stored_higher","-35.261667","-45.487998","1.460905","0.000478","0.000872","3","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"141","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-1274","M-1274","3581.1","one_edit_family_00045","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+130-032-905+","130 032 905","3","1","1","stored_higher","-20.627267","-26.45915","1.457971","0.000478","0.000872","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"142","P2_validate_positive_support","find_public_or_request_source_route","H-770","H-770","1662.1","one_edit_family_00074","Harappa","TAB:B","Faience","None","R/L","+151-840-416+","151 840 416","3","1","1","stored_higher","-18.222677","-23.950709","1.432008","0.000478","0.011342","0","0","","","","","","",""
"143","P2_validate_positive_support","find_public_or_request_source_route","M-1","M-1","2531.1","one_edit_family_00004","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+001-368-861-255-371+","001 368 861 255 371","5","1","1","stored_higher","-27.450925","-35.960287","1.418227","0.000478","0.000872","0","0","","","","","","",""
"144","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","H-2016","H-2016;H-811","370.1","one_edit_family_00158","Harappa","TAB:B","Clay","None","R/L","+317-740-335-740-176-002-920-491+","317 740 335 740 176 002 920 491","8","1","2","stored_higher","-43.135235","-55.884855","1.416624","0.003574","0.002333","6","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"145","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-833","M-833","3245.1","one_edit_family_00261","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+527-550-740-240-002-808+","527 550 740 240 002 808","6","1","1","stored_higher","-29.323397","-39.181464","1.408295","0.003574","0.000872","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"146","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-160","M-160","2686.1","one_edit_family_00063","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+151-243-031-002-820-741+","151 243 031 002 820 741","6","1","1","stored_higher","-33.70125","-43.532319","1.404438","0.000478","0.005611","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"147","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","H-1870","H-1870","901.2","one_edit_family_00096","Harappa","TAB:B","Faience","None","R/L","+158-221+","158 221","2","1","1","stored_higher","-15.866851","-19.977725","1.370291","0.000478","0.002333","2","5","lipi_frame700_034_source_acquisition_manifest.csv","no_public_lead_source_required | source_acquisition_only_source_images_not_validated","","","","Request source-grade images/plates for all catalog rows of H-1870. Metadata source hooks: H97-3380; Figure 14.16. Packet rows to verify: 901.1 +700-034+. All local rows to reconcile: 901.1 +700-034+; 901.2 +158-221+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","effective_unicity_directionality_source_queue_source_index.csv;lipi_frame700_034_source_acquisition_manifest.csv"
"148","P2_validate_positive_support","replace_non_source_grade_catalogue_hint","M-1371","M-1371;M-1381","3670.1","one_edit_family_00256","Mohenjo-daro","POT:T:s","Clay","None","R/L","+527-550-002-370+","527 550 002 370","4","1","2","stored_higher","-21.680497","-28.494042","1.362709","-0.002618","0.000872","4","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
