"row_index_1based","sign_token_count","gap_position_0based","target_sign","left_context","right_context","ivc_p95_length_eligible","exact_sequence_count","original_sequence","gapped_sequence"
"173","7","0","da","<s>","wi","true","1","da-wi ri-jo-no OVIS:m OVIS:f","*-wi ri-jo-no OVIS:m OVIS:f"
"174","7","1","re","mo","u","true","1","mo-re u-ta-no OVIS:m OVIS:f","mo-* u-ta-no OVIS:m OVIS:f"
"175","4","2","no","ta","OVIS:m","true","2","u-ta-no OVIS:m","u-ta-* OVIS:m"
"176","8","4","u","ro","ta","true","1","*22-ri-ta-ro u-ta-no OVIS:m","*22-ri-ta-ro *-ta-no OVIS:m"
"177","5","0","u","<s>","ta","true","1","u-ta-no OVIS:m oOVIS:m","*-ta-no OVIS:m oOVIS:m"
"178","9","3","*56","ro","ko","false","1","o-wi-ro *56-ko-we OVIS:m OVIS:f paOVIS:m","o-wi-ro *-ko-we OVIS:m OVIS:f paOVIS:m"
"179","9","4","ko","*56","we","false","1","ka-*56-no *56-ko-we OVIS:m OVIS:f peOVIS:m","ka-*56-no *56-*-we OVIS:m OVIS:f peOVIS:m"
"180","9","2","mu","ra","ro","false","1","da-ra-mu-ro *56-ko-we OVIS:m peOVIS:m","da-ra-*-ro *56-ko-we OVIS:m peOVIS:m"
"181","8","3","we","ro","*56","true","1","a3-ta-ro-we *56-ko-we OVIS:m","a3-ta-ro-* *56-ko-we OVIS:m"
"182","9","1","a","de","ta","false","1","de-a-ta *56-ko-we OVIS:m OVIS:f peOVIS:m","de-*-ta *56-ko-we OVIS:m OVIS:f peOVIS:m"
"183","11","4","mo","da","*56","false","1","a-ko-ro-da-mo *56-ko-we OVIS:m OVIS:f peOVIS:m","a-ko-ro-da-* *56-ko-we OVIS:m OVIS:f peOVIS:m"
"184","8","2","jo","na","*56","true","1","wi-na-jo *56-ko-we OVIS:m OVIS:f","wi-na-* *56-ko-we OVIS:m OVIS:f"
"185","9","0","a","<s>","ze","false","1","a-ze-o *56-ko-we OVIS:m OVIS:f OVIS:m","*-ze-o *56-ko-we OVIS:m OVIS:f OVIS:m"
"186","9","6","we","ko","OVIS:m","false","1","sa-nu-we-ta *56-ko-we OVIS:m OVIS:f","sa-nu-we-ta *56-ko-* OVIS:m OVIS:f"
"187","8","1","da","no","ro","true","1","no-da-ro *56-ko-we OVIS:m peOVIS:m","no-*-ro *56-ko-we OVIS:m peOVIS:m"
"188","10","0","a","<s>","ra","false","1","a-ra-si-jo *56-ko-we OVIS:m OVIS:f peOVIS:m","*-ra-si-jo *56-ko-we OVIS:m OVIS:f peOVIS:m"
"189","8","0","ka","<s>","pte","true","1","ka-pte *56-ko-we OVIS:m OVIS:f peOVIS:m","*-pte *56-ko-we OVIS:m OVIS:f peOVIS:m"
"190","16","6","ri","ti","to","false","1","da-i-ta-ra-ro ti-ri-to pe-ri-qo-te-jo OVIS:m OVIS:f oOVIS:m","da-i-ta-ra-ro ti-*-to pe-ri-qo-te-jo OVIS:m OVIS:f oOVIS:m"
"191","14","4","ti","jo","ri","false","1","na-pu-ti-jo ti-ri-to pe-ri-qo-te-jo OVIS:m OVIS:f","na-pu-ti-jo *-ri-to pe-ri-qo-te-jo OVIS:m OVIS:f"
"192","9","5","to","ri","OVIS:m","false","1","pu-nu-so ti-ri-to OVIS:m OVIS:f peOVIS:m","pu-nu-so ti-ri-* OVIS:m OVIS:f peOVIS:m"
"193","8","0","ro","<s>","ru","true","1","ro-ru ti-ri-to OVIS:m OVIS:f oOVIS","*-ru ti-ri-to OVIS:m OVIS:f oOVIS"
"194","11","1","ra2","qa","ti","false","1","qa-ra2-ti-jo ti-ri-to OVIS:m OVIS:f peOVIS:m oOVIS:m","qa-*-ti-jo ti-ri-to OVIS:m OVIS:f peOVIS:m oOVIS:m"
"195","8","2","ko","ra","ti","true","1","a-ra-ko ti-ri-to OVIS:m OVIS:f","a-ra-* ti-ri-to OVIS:m OVIS:f"
"196","9","3","jo","si","ti","false","1","ku-ta-si-jo ti-ri-to OVIS:m OVIS:f","ku-ta-si-* ti-ri-to OVIS:m OVIS:f"
"197","7","1","ka","ku","ro","true","1","ku-ka-ro ti-ri-to OVIS:m","ku-*-ro ti-ri-to OVIS:m"
"198","6","0","do","<s>","ti","true","1","do-ti ti-ri-to OVIS:m","*-ti ti-ri-to OVIS:m"
"199","7","0","ko","<s>","ku","true","1","ko-ku ti-ri-to nekiOVIS:m peOVIS:m","*-ku ti-ri-to nekiOVIS:m peOVIS:m"
"200","9","0","o","<s>","te","false","1","o-te-se-u tu-ri-so OVIS:m OVIS:f","*-te-se-u tu-ri-so OVIS:m OVIS:f"
"201","9","5","ri","tu","so","false","1","wa-du-na-ro tu-ri-so OVIS:m OVIS:f","wa-du-na-ro tu-*-so OVIS:m OVIS:f"
"202","6","4","OVIS:f","OVIS:m","paOVIS:m","true","1","tu-ri-so OVIS:m OVIS:f paOVIS:m","tu-ri-so OVIS:m * paOVIS:m"
"203","8","2","zo","wi","tu","true","1","ra-wi-zo tu-ri-so OVIS:m OVIS:f","ra-wi-* tu-ri-so OVIS:m OVIS:f"
"204","8","0","a","<s>","wa","true","1","a-wa-so tu-ni-ja OVIS:m OVIS:f","*-wa-so tu-ni-ja OVIS:m OVIS:f"
"205","7","0","ta","<s>","za","true","1","ta-za tu-ni-ja OVIS:m OVIS:f","*-za tu-ni-ja OVIS:m OVIS:f"
"206","10","4","tu","to","ni","false","1","ki-ri-ne-to tu-ni-ja OVIS:m OVIS:m peOVIS:m","ki-ri-ne-to *-ni-ja OVIS:m OVIS:m peOVIS:m"
"207","8","5","ja","ni","OVIS:m","true","1","ra-o-no tu-ni-ja OVIS:m OVIS:f","ra-o-no tu-ni-* OVIS:m OVIS:f"
"208","5","1","ni","tu","ja","true","1","tu-ni-ja OVIS:m OVIS:f","tu-*-ja OVIS:m OVIS:f"
"209","11","2","pe","zo","ri","false","1","*34-zo pe-ri-qo-te-jo tu-ni-ja OVIS:m","*34-zo *-ri-qo-te-jo tu-ni-ja OVIS:m"
"210","8","1","ja","ku","ro","true","1","ku-ja-ro qa-ra OVIS:m OVIS:f oOVIS:m","ku-*-ro qa-ra OVIS:m OVIS:f oOVIS:m"
"211","9","2","wa","ri","ta","false","1","me-ri-wa-ta qa-ra OVIS:m OVIS:f oOVIS:m","me-ri-*-ta qa-ra OVIS:m OVIS:f oOVIS:m"
"212","9","4","qa","to","ra","false","1","ka-mi-ni-to qa-ra OVIS:m OVIS:f oOVIS:m","ka-mi-ni-to *-ra OVIS:m OVIS:f oOVIS:m"
"213","8","5","ra","qa","OVIS:m","true","1","a-no-ke-we qa-ra OVIS:m OVIS:f","a-no-ke-we qa-* OVIS:m OVIS:f"
"214","7","3","qa","ro","ra","true","1","sa-ze-ro qa-ra OVIS:m OVIS:f","sa-ze-ro *-ra OVIS:m OVIS:f"
"215","8","0","qi","<s>","si","true","1","qi-si-ta qa-ra OVIS:m OVIS:f oOVIS:m","*-si-ta qa-ra OVIS:m OVIS:f oOVIS:m"
"216","7","0","u","<s>","ra","true","1","u-ra-jo qa-ra OVIS:m OVIS:f","*-ra-jo qa-ra OVIS:m OVIS:f"
"217","6","1","je","wi","mo","true","1","wi-je-mo qa-ra OVIS:m","wi-*-mo qa-ra OVIS:m"
"218","7","2","jo","ri","qa","true","1","ko-ri-jo qa-ra OVIS:m OVIS:f","ko-ri-* qa-ra OVIS:m OVIS:f"
"219","6","2","se","ra","wo","true","1","qa-ra se-wo-to OVIS:m","qa-ra *-wo-to OVIS:m"
"220","9","4","qa","so","ra","false","1","ta-u-na-so qa-ra OVIS:m OVIS:f oOVIS:m","ta-u-na-so *-ra OVIS:m OVIS:f oOVIS:m"
"221","10","1","ku","a","di","false","1","a-ku-di-ri-jo e-ko-so OVIS:m oOVIS:m","a-*-di-ri-jo e-ko-so OVIS:m oOVIS:m"
"222","8","0","du","<s>","ni","true","1","du-ni e-ko-so OVIS:m OVIS:f paOVIS:m","*-ni e-ko-so OVIS:m OVIS:f paOVIS:m"
"223","12","0","a","<s>","ti","false","1","a-ti-ro e-ko-so ko-ma-we-to OVIS:m oOVIS:m","*-ti-ro e-ko-so ko-ma-we-to OVIS:m oOVIS:m"
"224","7","0","je","<s>","zo","true","1","je-zo e-ko-so OVIS:m OVIS:f","*-zo e-ko-so OVIS:m OVIS:f"
"225","7","4","ko","e","so","true","1","ka-ma-to e-ko-so OVIS:m","ka-ma-to e-*-so OVIS:m"
"226","7","3","e","no","ko","true","1","to-tu-no e-ko-so OVIS:m","to-tu-no *-ko-so OVIS:m"
"227","7","2","mo","na","e","true","1","ru-na-mo e-ko-so OVIS:m","ru-na-* e-ko-so OVIS:m"
"228","9","0","ti","<s>","ja","false","1","ti-ja ru-ki-to OVIS:m OVIS:f paOVIS:m peOVIS:m","*-ja ru-ki-to OVIS:m OVIS:f paOVIS:m peOVIS:m"
"229","10","6","ki","ru","to","false","1","tu-qa-ni-ja-so ru-ki-to OVIS:m OVIS:f","tu-qa-ni-ja-so ru-*-to OVIS:m OVIS:f"
"230","10","3","ru","to","ki","false","1","si-ni-to ru-ki-to OVIS:m OVIS:f paOVIS:m peOVIS:m","si-ni-to *-ki-to OVIS:m OVIS:f paOVIS:m peOVIS:m"
"231","8","0","pa","<s>","ti","true","1","pa-ti ru-ki-to OVIS:m OVIS:f paOVIS:m","*-ti ru-ki-to OVIS:m OVIS:f paOVIS:m"
"232","8","2","jo","na","ru","true","1","wi-na-jo ru-ki-to OVIS:m OVIS:f","wi-na-* ru-ki-to OVIS:m OVIS:f"
"233","9","1","sa","qa","ko","false","1","qa-sa-ko ru-ki-to OVIS:m OVIS:f paOVIS:m","qa-*-ko ru-ki-to OVIS:m OVIS:f paOVIS:m"
"234","9","2","ro","su","ru","false","1","wi-su-ro ru-ki-to OVIS:m OVIS:f paOVIS:m","wi-su-* ru-ki-to OVIS:m OVIS:f paOVIS:m"
"235","9","2","so","de","ru","false","1","ta-de-so ru-ki-to OVIS:m OVIS:f peOVIS:m","ta-de-* ru-ki-to OVIS:m OVIS:f peOVIS:m"
"236","9","4","ki","ru","to","false","1","u-wa-ta ru-ki-to OVIS:m OVIS:f paOVIS:m","u-wa-ta ru-*-to OVIS:m OVIS:f paOVIS:m"
"237","9","4","ki","ru","to","false","1","ka-wa-ro ru-ki-to OVIS:m OVIS:f oOVIS:m","ka-wa-ro ru-*-to OVIS:m OVIS:f oOVIS:m"
"238","7","6","OVIS:m","to","</s>","true","1","mo-ni-ko ru-ki-to OVIS:m","mo-ni-ko ru-ki-to *"
"239","8","0","a","<s>","no","true","1","a-no-qo-ta ru-ki-to OVIS:m","*-no-qo-ta ru-ki-to OVIS:m"
"240","9","2","jo","sa","ru","false","1","sa-sa-jo ru-ki-to OVIS:m OVIS:f peOVIS:m","sa-sa-* ru-ki-to OVIS:m OVIS:f peOVIS:m"
"241","8","0","qi","<s>","zo","true","1","qi-zo ru-ki-to OVIS:m OVIS:f paOVIS:m","*-zo ru-ki-to OVIS:m OVIS:f paOVIS:m"
"242","7","2","qo","ta","ru","true","1","mi-ta-qo ru-ki-to OVIS:m","mi-ta-* ru-ki-to OVIS:m"
"243","8","2","ni","mo","jo","true","1","ka-mo-ni-jo ru-ki-to OVIS:m","ka-mo-*-jo ru-ki-to OVIS:m"
"244","10","1","da","qe","do","false","1","qe-da-do-ro ru-ki-to OVIS:m OVIS:f oOVIS:m","qe-*-do-ro ru-ki-to OVIS:m OVIS:f oOVIS:m"
"245","9","2","wa","ke","to","false","1","a3-ke-wa-to ru-ki-to OVIS:m OVIS:f","a3-ke-*-to ru-ki-to OVIS:m OVIS:f"
"246","10","2","pi","ra","jo","false","1","ma-ra-pi-jo ru-ki-to OVIS:m OVIS:f paOVIS:m","ma-ra-*-jo ru-ki-to OVIS:m OVIS:f paOVIS:m"
"247","8","2","so","da","ru","true","1","qa-da-so ru-ki-so OVIS:m OVIS:f","qa-da-* ru-ki-so OVIS:m OVIS:f"
"248","11","0","a","<s>","te","false","1","a-te-mo e-ra ki-ri-jo-te OVIS:m peOVIS:m","*-te-mo e-ra ki-ri-jo-te OVIS:m peOVIS:m"
"249","12","1","u","e","ko","false","1","e-u-ko-ro do-ti-ja ki-ri-jo-te OVIS:m","e-*-ko-ro do-ti-ja ki-ri-jo-te OVIS:m"
"250","10","6","ja","ti","OVIS:m","false","1","ra-u-ra-ta do-ti-ja OVIS:m OVIS:f paOVIS:m","ra-u-ra-ta do-ti-* OVIS:m OVIS:f paOVIS:m"
"251","12","7","te","a","jo","false","1","ja-ti-ri do-ti-ja a-te-jo OVIS:m OVIS:f oOVIS:m","ja-ti-ri do-ti-ja a-*-jo OVIS:m OVIS:f oOVIS:m"
"252","8","0","da","<s>","nwa","true","1","da-nwa-re do-ti-ja OVIS:m OVIS:f","*-nwa-re do-ti-ja OVIS:m OVIS:f"
"253","11","3","do","mo","ti","false","1","de-ni-mo do-ti-ja a-te-jo OVIS:m oOVIS:m","de-ni-mo *-ti-ja a-te-jo OVIS:m oOVIS:m"
"254","7","0","na","<s>","ru","true","1","na-ru do-ti-ja OVIS:m OVIS:f","*-ru do-ti-ja OVIS:m OVIS:f"
"255","9","2","qo","jo","ta","false","1","wi-jo-qo-ta do-ti-ja OVIS:m OVIS:f","wi-jo-*-ta do-ti-ja OVIS:m OVIS:f"
"256","9","2","so","ke","do","false","1","ku-ke-so do-ti-ja OVIS:m OVIS:f paOVIS:m","ku-ke-* do-ti-ja OVIS:m OVIS:f paOVIS:m"
"257","12","2","ko","ra","do","false","1","a-ra-ko do-ti-ja a-te-jo OVIS:m OVIS:f oOVIS:m","a-ra-* do-ti-ja a-te-jo OVIS:m OVIS:f oOVIS:m"
"258","8","2","sa","ru","do","true","1","te-ru-sa do-ti-ja OVIS:m OVIS:f","te-ru-* do-ti-ja OVIS:m OVIS:f"
"259","5","4","wo","da","</s>","true","1","ko-ru-to da-wo","ko-ru-to da-*"
"260","6","1","ru","su","so","true","1","su-ru-so da-wo OVIS:m","su-*-so da-wo OVIS:m"
"261","7","0","ku","<s>","mo","true","1","ku-mo-no-so da-wo OVIS:m","*-mo-no-so da-wo OVIS:m"
"262","12","2","ti","i","jo","false","1","po-i-ti-jo da-wo te-ra-po-si-jo OVIS:m","po-i-*-jo da-wo te-ra-po-si-jo OVIS:m"
"263","7","2","mo","ra","no","true","1","u-ra-mo-no da-wo OVIS:m","u-ra-*-no da-wo OVIS:m"
"264","9","4","mo","qa","OVIS:m","false","1","si-ta-ro qa-mo OVIS:m OVIS:f paOVIS:m peOVIS:m","si-ta-ro qa-* OVIS:m OVIS:f paOVIS:m peOVIS:m"
"265","11","2","ze","i","to","false","1","da-i-ze-to qa-mo u-ta-jo-jo OVIS:m","da-i-*-to qa-mo u-ta-jo-jo OVIS:m"
"266","6","4","ja","si","neOVIS:m","true","1","a-mi-ni-si-ja neOVIS:m","a-mi-ni-si-* neOVIS:m"
"267","6","0","da","<s>","mi","true","1","da-mi-ni-jo OVIS:m oLANA","*-mi-ni-jo OVIS:m oLANA"
"268","11","7","qo","ri","te","false","1","su-ta-no ra-to pe-ri-qo-te-jo OVIS:m","su-ta-no ra-to pe-ri-*-te-jo OVIS:m"
"269","8","1","ri","pe","qo","true","1","pe-ri-qo-te-jo OVIS:m OVIS:f oOVIS:m","pe-*-qo-te-jo OVIS:m OVIS:f oOVIS:m"
"270","9","2","jo","na","su","false","1","da-na-jo su-ki-ri-ta OVIS:m OVIS:f","da-na-* su-ki-ri-ta OVIS:m OVIS:f"
"271","10","0","a","<s>","re","false","1","a-re-ta2 su-ki-ri-ta OVIS:m OVIS:f peOVIS:m","*-re-ta2 su-ki-ri-ta OVIS:m OVIS:f peOVIS:m"
"272","9","4","ki","su","ri","false","1","ki-mu-ku su-ki-ri-ta OVIS:m OVIS:f","ki-mu-ku su-*-ri-ta OVIS:m OVIS:f"
"273","12","0","u","<s>","ra","false","1","u-ra-jo qa-sa-ro-we a-te-jo OVIS:m OVIS:f","*-ra-jo qa-sa-ro-we a-te-jo OVIS:m OVIS:f"
"274","9","3","e","jo","ra","false","1","wi-na-jo e-ra u-ta-jo OVIS:m","wi-na-jo *-ra u-ta-jo OVIS:m"
"275","12","2","si","we","jo","false","1","ta-we-si-jo pe-ri-qo-te-jo e-ra OVIS:m","ta-we-*-jo pe-ri-qo-te-jo e-ra OVIS:m"
"276","11","3","pe","ro","ri","false","1","pu-to-ro pe-ri-qo-te-jo e-ra OVIS:m","pu-to-ro *-ri-qo-te-jo e-ra OVIS:m"
"277","11","1","ka","ku","no","false","1","ku-ka-no pu-na-so a-te-jo OVIS:m oOVIS:m","ku-*-no pu-na-so a-te-jo OVIS:m oOVIS:m"
"278","6","3","di","ro","ro","true","1","te-mi-ro di-ro OVIS:m","te-mi-ro *-ro OVIS:m"
"279","6","4","so","pu","OVIS:m","true","1","si-ki-to pu-so OVIS:m","si-ki-to pu-* OVIS:m"
"280","6","4","ra","e","OVIS:m","true","1","ta-pe-ro e-ra OVIS:m","ta-pe-ro e-* OVIS:m"
"281","7","4","a","ta","ka","true","1","ka-ne-u-ta a-ka OVIS:m","ka-ne-u-ta *-ka OVIS:m"
"282","5","0","qa","<s>","na","true","1","qa-na-no-to OVIS:m","*-na-no-to OVIS:m"
"283","7","3","da","ko","*22","true","1","a-ri-ko da-*22-to OVIS:m","a-ri-ko *-*22-to OVIS:m"
"284","3","0","di","<s>","ro","true","1","di-ro OVIS:m","*-ro OVIS:m"
"285","8","5","we","ko","OVIS:m","true","1","e-ra-to *56-ko-we OVIS:m peOVIS:m","e-ra-to *56-ko-* OVIS:m peOVIS:m"
"286","8","0","qe","<s>","ri","true","1","qe-ri do-ti-ja OVIS:m OVIS:f peOVIS:m","*-ri do-ti-ja OVIS:m OVIS:f peOVIS:m"
"287","10","1","wo","da","te","false","1","da-wo te-ra-po-si-jo OVIS:m OVIS:f oOVIS:m","da-* te-ra-po-si-jo OVIS:m OVIS:f oOVIS:m"
"288","8","3","qa","mo","ra","true","1","a-nu-mo qa-ra OVIS:m OVIS:f oOVIS:m","a-nu-mo *-ra OVIS:m OVIS:f oOVIS:m"
"289","7","1","*18","ki","i","true","2","ki-*18-i-so qa-ra OVIS:m","ki-*-i-so qa-ra OVIS:m"
"290","8","2","tu","me","ro","true","1","se-me-tu-ro e-ra OVIS:m paOVIS:m","se-me-*-ro e-ra OVIS:m paOVIS:m"
"291","9","0","e","<s>","wa","false","1","e-wa-ra-jo do-ti-ja OVIS:m OVIS:f","*-wa-ra-jo do-ti-ja OVIS:m OVIS:f"
"292","8","5","wo","da","OVIS:m","true","1","tu-ma-da-ro da-wo OVIS:m OVIS:f","tu-ma-da-ro da-* OVIS:m OVIS:f"
"293","7","0","ra","<s>","ja","true","1","ra-ja u-ta-jo OVIS:m oOVIS:m","*-ja u-ta-jo OVIS:m oOVIS:m"
"294","11","6","u","ra","ta","false","1","tu-*56-da-ro e-ra u-ta-jo OVIS:m OVIS:m","tu-*56-da-ro e-ra *-ta-jo OVIS:m OVIS:m"
"295","14","0","o","<s>","to","false","1","o-to-ro-qa da-wo te-ra-po-si-jo OVIS:m OVIS:f oOVIS:m","*-to-ro-qa da-wo te-ra-po-si-jo OVIS:m OVIS:f oOVIS:m"
"296","4","2","OVIS:m","wo","OVIS:f","true","2","da-wo OVIS:m OVIS:f","da-wo * OVIS:f"
"297","8","1","ra","pa","to","true","1","pa-ra-to da-*22-to OVIS:m OVIS:f","pa-*-to da-*22-to OVIS:m OVIS:f"
"298","10","2","u","ta","ro","false","1","ma-ta-u-ro ri-jo-no OVIS:m OVIS:f paOVIS:m","ma-ta-*-ro ri-jo-no OVIS:m OVIS:f paOVIS:m"
"299","8","1","me","po","pu","true","1","po-me pu-na-so OVIS:m OVIS:f paOVIS:m","po-* pu-na-so OVIS:m OVIS:f paOVIS:m"
"300","11","4","pa","ro","i","false","1","wi-ja-ma-ro pa-i-to u-ta-jo OVIS:m","wi-ja-ma-ro *-i-to u-ta-jo OVIS:m"
"301","7","0","i","<s>","ne","true","1","i-ne-u ri-jo-no OVIS:m","*-ne-u ri-jo-no OVIS:m"
"302","9","5","to","*22","OVIS:m","false","1","te-ru-ro da-*22-to OVIS:m OVIS:f paOVIS:m","te-ru-ro da-*22-* OVIS:m OVIS:f paOVIS:m"
"303","13","0","mo","<s>","qo","false","1","mo-qo-so pu-na-so e-me-si-jo OVIS:m OVIS:f oOVIS:m","*-qo-so pu-na-so e-me-si-jo OVIS:m OVIS:f oOVIS:m"
"304","12","10","jo","ta","OVIS:m","false","1","ti-ri-jo-ko-so *56-ko-we u-ta-jo OVIS:m","ti-ri-jo-ko-so *56-ko-we u-ta-* OVIS:m"
"305","13","0","e","<s>","u","false","1","e-u-me-ta ra-ja pe-ri-qo-te-jo OVIS:m OVIS:f","*-u-me-ta ra-ja pe-ri-qo-te-jo OVIS:m OVIS:f"
"306","9","0","e","<s>","u","false","1","e-u-ko-ro ti-ri-to OVIS:m OVIS:f","*-u-ko-ro ti-ri-to OVIS:m OVIS:f"
"307","6","0","e","<s>","u","true","1","e-u-mo ra-to OVIS:m","*-u-mo ra-to OVIS:m"
"308","11","1","ke","ku","to","false","1","ku-ke-to se-to-i-ja a-te-jo OVIS:m","ku-*-to se-to-i-ja a-te-jo OVIS:m"
"309","8","1","ta","ku","si","true","1","ku-ta-si-jo ti-ri-to OVIS:m","ku-*-si-jo ti-ri-to OVIS:m"
"310","6","1","ne","ku","u","true","1","ku-ne-u da-wo OVIS:m","ku-*-u da-wo OVIS:m"
"311","10","0","se","<s>","do","false","1","se-do ra-ja u-ta-jo OVIS:m OVIS:f oOVIS:m","*-do ra-ja u-ta-jo OVIS:m OVIS:f oOVIS:m"
"312","10","2","ka","da","so","false","1","wi-da-ka-so su-ri-mo OVIS:m OVIS:f paOVIS:m","wi-da-*-so su-ri-mo OVIS:m OVIS:f paOVIS:m"
"313","9","2","te","*65","u","false","1","wi-*65-te-u *56-ko-we OVIS:m peOVIS:m","wi-*65-*-u *56-ko-we OVIS:m peOVIS:m"
"314","8","3","ti","no","ri","true","1","su-ma-no ti-ri-to kiOVIS:m peOVIS:m","su-ma-no *-ri-to kiOVIS:m peOVIS:m"
"315","9","3","e","so","ko","false","1","ta-de-so e-ko-so OVIS:m OVIS:f oOVIS:m","ta-de-so *-ko-so OVIS:m OVIS:f oOVIS:m"
"316","8","2","po","na","so","true","1","ta-na-po-so pu-so OVIS:m peOVIS:m","ta-na-*-so pu-so OVIS:m peOVIS:m"
"317","10","2","zo","ma","tu","false","1","ri-ma-zo tu-ni-ja u-ta-jo OVIS:m","ri-ma-* tu-ni-ja u-ta-jo OVIS:m"
"318","10","0","po","<s>","to","false","1","po-to ru-ki-to u-ta-jo OVIS:m oOVIS:m","*-to ru-ki-to u-ta-jo OVIS:m oOVIS:m"
"319","5","1","*83","da","jo","true","1","da-*83-jo OVIS:m peOVIS:m","da-*-jo OVIS:m peOVIS:m"
"320","11","1","ja","da","ro","false","1","da-ja-ro ru-ki-to we-we-si-jo OVIS:m","da-*-ro ru-ki-to we-we-si-jo OVIS:m"
"321","8","2","to","ri","ru","true","1","*56-ri-to ru-ki-to OVIS:m OVIS:f","*56-ri-* ru-ki-to OVIS:m OVIS:f"
"322","8","2","to","ra","qa","true","1","ja-ra-to qa-ra OVIS:m OVIS:f oOVIS:m","ja-ra-* qa-ra OVIS:m OVIS:f oOVIS:m"
"323","6","2","*18","*83","OVIS:m","true","1","ke-*83-*18 OVIS:m OVIS:f paOVIS:m","ke-*83-* OVIS:m OVIS:f paOVIS:m"
"324","9","2","se","ke","u","false","1","de-ke-se-u do-ti-ja OVIS:m OVIS:f","de-ke-*-u do-ti-ja OVIS:m OVIS:f"
"325","8","2","u","me","pe","true","1","ke-me-u pe-ri-qo-te-jo","ke-me-* pe-ri-qo-te-jo"
"326","7","2","jo","ki","ku","true","1","ki-ki-jo ku-ta-to OVIS:m","ki-ki-* ku-ta-to OVIS:m"
"327","10","2","no","ma","su","false","1","ru-ma-no su-ri-mo OVIS:m OVIS:f paOVIS:m peOVIS:m","ru-ma-* su-ri-mo OVIS:m OVIS:f paOVIS:m peOVIS:m"
"328","3","2","so","na","</s>","true","1","ru-na-so","ru-na-*"
"329","6","4","ro","sa","OVIS:m","true","1","wa-du-ka-sa-ro OVIS:m","wa-du-ka-sa-* OVIS:m"
"330","6","5","so","ko","</s>","true","1","i-je-ro e-ko-so","i-je-ro e-ko-*"
"331","6","4","to","ta","OVIS:m","true","1","ka-jo ku-ta-to OVIS:m","ka-jo ku-ta-* OVIS:m"
"332","10","7","jo","ta","OVIS:m","false","1","ma-di-qo da-wo u-ta-jo OVIS:m OVIS:f","ma-di-qo da-wo u-ta-* OVIS:m OVIS:f"
"333","9","7","we","ko","OVIS:m","false","1","ma-ri-ti-wi-jo *56-ko-we OVIS:m","ma-ri-ti-wi-jo *56-ko-* OVIS:m"
"334","10","6","no","jo","OVIS:m","false","1","a-wo-i-jo ri-jo-no OVIS:m OVIS:f OVIS:m","a-wo-i-jo ri-jo-* OVIS:m OVIS:f OVIS:m"
"335","17","14","jo","jo","OVIS:m","false","1","a-nu-ko pa-i-to ki-ri-jo-te we-we-si-jo-jo OVIS:m OVIS:f","a-nu-ko pa-i-to ki-ri-jo-te we-we-si-jo-* OVIS:m OVIS:f"
"336","6","4","ra","e","OVIS:m","true","1","a-ze-ta e-ra OVIS:m","a-ze-ta e-* OVIS:m"
"337","11","7","to","ta","OVIS:m","false","1","a-te-i-ja-ta ku-ta-to OVIS:m OVIS:f paOVIS:m","a-te-i-ja-ta ku-ta-* OVIS:m OVIS:f paOVIS:m"
"338","7","0","a","<s>","si","true","1","a-si-wi-jo OVIS:m OVIS:f peOVIS:m","*-si-wi-jo OVIS:m OVIS:f peOVIS:m"
"339","3","0","a","<s>","ti","true","1","a-ti-jo","*-ti-jo"
"340","7","0","a","<s>","na","true","1","a-na-ki-ti OVIS:m OVIS:f paOVIS:m","*-na-ki-ti OVIS:m OVIS:f paOVIS:m"
"341","11","0","a","<s>","ko","false","2","a-ko-mo-ni-jo ku-ta-to OVIS:m OVIS:f oOVIS:m","*-ko-mo-ni-jo ku-ta-to OVIS:m OVIS:f oOVIS:m"
"342","8","4","do","ta","ti","true","1","to-u-na-ta do-ti-ja OVIS:m","to-u-na-ta *-ti-ja OVIS:m"
"343","8","4","ri","mo","jo","true","1","ki-sa-nu-mo ri-jo-no OVIS:m","ki-sa-nu-mo *-jo-no OVIS:m"
"344","4","3","ja","si","</s>","true","1","ko-no-si-ja","ko-no-si-*"
"345","7","4","ku","ro","ta","true","1","qa-si-da-ro ku-ta-to","qa-si-da-ro *-ta-to"
"346","4","3","ro","na","</s>","true","1","wa-du-na-ro","wa-du-na-*"
"347","8","3","ru","ro","ki","true","1","wo-*65-ro ru-ki-to OVIS:m OVIS:f","wo-*65-ro *-ki-to OVIS:m OVIS:f"
"348","8","3","qa","no","na","true","1","o-ta2-no qa-na-no-to OVIS:m","o-ta2-no *-na-no-to OVIS:m"
"349","7","3","pa","ro","i","true","1","qo-te-ro pa-i-to OVIS:m","qo-te-ro *-i-to OVIS:m"
"350","13","4","ku","ra","ta","false","1","i-ke-ke-ra ku-ta-to da-mi-ni-jo OVIS:m peOVIS:m","i-ke-ke-ra *-ta-to da-mi-ni-jo OVIS:m peOVIS:m"
"351","3","2","zo","ja","</s>","true","1","qi-ja-zo","qi-ja-*"
"352","7","4","ra","wo","su","true","1","di-ki-nu-wo ra-su-to","di-ki-nu-wo *-su-to"
"353","10","2","u","wo","ta","false","1","di-wo u-ta-jo-jo da-*22-to OVIS:m","di-wo *-ta-jo-jo da-*22-to OVIS:m"
"354","3","2","so","za","</s>","true","1","di-za-so","di-za-*"
