"priority","role","category","before_pair","after_pair","tail_string","text","ids","cisis","sites","types","reason"
"P2","P2_outside_032_context","outside_a_220_x_032","400-740","<END>","<END>","+400-740-032+","5389.1","H-2585","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","000-<END>","000","+740-032-000+","5473.1;877.2","-;H-1519","Harappa","MISC;TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","400-740","840-<END>","840","+400-740-032-840+","567.2","H-1923","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","850-031","850-031","+032-850-031+","594.1","H-2022","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-032","700-<END>","700","+032-032-700+","628.1;876.1","H-1879;H-1899","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","032-700","032-700","+032-032-700+","628.1;876.1","H-1879;H-1899","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-590","220-<END>","220","+590-032-220+","632.1","H-2193","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","400-740","025-<END>","025","+400-740-032-025+","638.2","H-2209","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","400-740","014-<END>","014","+400-740-032-014+","640.2","H-2108","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-255","<END>","<END>","+740-255-032+","643.1","H-2198","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-876","578-415","578-415","+876-032-578-415+","672.3","H-2214","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","400-854","<END>","<END>","+400-854-032+","679.2","H-2217","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-700","000-091","000-091","+700-032-000-091+","697.1","H-2000","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-511","142-<END>","142","+511-032-142+","765.2","H-1936","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","700-601","700-601","+032-700-601+","771.1","H-1930","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","480-388","<END>","<END>","+001-480-388-032+","814.1","H-2134","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","700-840","741-<END>","741","+700-840-032-741+","829.2","H-2211","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-690","025-<END>","025","+690-032-025+","843.1","H-2109","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","480-388","<END>","<END>","+031-480-388-032+","866.2","H-2133","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","025-<END>","025","+740-032-025+","871.2","H-2206","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","690-590","220-<END>","220","+690-590-032-220+","902.2;904.2","H-2019;H-2020","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-790","<END>","<END>","+740-790-032+","930.2","H-1883","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-032","<END>","<END>","+032/032+","964.1","-","Harappa","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","032-<END>","032","+032/032+","964.1","-","Harappa","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-700","<END>","<END>","+700-032+","1021.2;1061.2;1240.2;1244.2;1245.2;1248.2;1257.2;1259.2;1276.2;1337.2;1344.2;1349.2;1361.2;1362.2;1380.2;1381.2;1602.2;1620.2;1658.2;1660.2;1669.1;1675.2;1687.2;1693.2;1703.2;1704.1;1719.2;1723.2;1738.1;1740.2;1760.2;1806.2;1810.2;1823.2;1824.2;1839.2;1840.2;1842.2;1843.2;1845.1;1846.1;1852.2;1926.2;229.2;249.2;255.1;257.2;270.2;273.2;280.2;282.1;313.2;317.2;371.1;383.1;386.1;3895.2;3959.2;3973.2;3982.2;400.1;4068.1;4072.2;4081.2;411.1;453.1;477.1;490.1;497.1;519.1;548.1;554.1;567.1;569.1;596.1;643.2;652.1;674.1;679.1;682.1;749.1;753.1;765.1;801.1;829.1;834.1;841.2;922.1;927.1","-;?-6;H-1100;H-1102;H-1123;H-1133;H-1134;H-1146;H-1153;H-1156;H-1281;H-1294;H-1309;H-1312;H-1313;H-1319;H-1320;H-1321;H-1330;H-1771;H-1772;H-1773;H-1774;H-1804;H-1836;H-1841;H-1853;H-1865;H-1902;H-1906;H-1909;H-1922;H-1923;H-1931;H-1936;H-1941;H-209;H-2129;H-213;H-2139;H-214;H-2146;H-217;H-2173;H-2183;H-2184;H-2185;H-2186;H-2198;H-2201;H-2211;H-2217;H-230;H-232;H-251;H-315;H-322;H-327;H-340;H-341;H-361;H-362;H-697;H-717;H-766;H-768;H-778;H-784;H-796;H-802;H-814;H-815;H-833;H-837;H-852;H-854;H-877;H-926;H-930;H-943;H-944;H-962;H-963;H-965;H-966;H-968;H-969;H-975;K-68","Harappa;Kalibangan;Unknown","TAB:B;TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-<END>","840","+740-032-840+","1215.1;1215.2;1328.1;1625.1;1715.2;2026.1;2511.1;535.1;535.2;694.1","-;H-182;H-1977;H-2187;H-306;H-723;H-825;L-59","Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","031-999","<END>","<END>","+031-999-032+","355.1;5381.1","-;Ns-82","Harappa;Nausharo","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","504-632","<END>","<END>","+031-504-632-032+","1877.1","K-1","Kalibangan","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","861-590","368-<END>","368","+740-690-435-255-002-368-861-590-032-368+","1885.1","K-10","Kalibangan","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","000-717","000-<END>","000","+740-100-000-717-032-000+","1937.1","K-81","Kalibangan","TAG:L","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-240","000-<END>","000","+090-740-240-032-000+","1965.1","K-121","Kalibangan","ROD","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","999-002","999-002","+032-999-002+","5285.1","K-160","Kalibangan","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","031-<END>","031","+032-031+","5290.1","K-165","Kalibangan","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","033-001","091-<END>","091","+033-001-032-091+","5228.1","-","Karzakan","SEAL:C","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","029-002","029-002-281","+740-032-029-002-281+","5235.1","-","Lakhanjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","032-832","002-415","002-415","+000-000-000-000/032-832-032-002-415+","1993.1","L-15","Lothal","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","000-000","832-032","832-032-002-415","+000-000-000-000/032-832-032-002-415+","1993.1","L-15","Lothal","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","685-226","741-390","741-390","+865-685/226-032-741-390+","2019.1","L-48","Lothal","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-233","840-233-220-032-060-825-002","+740-032-840-233-220-032-060-825-002+","2041.1","L-87","Lothal","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","700-790","063-<END>","063","+390-700-790-032-063+","2053.1","L-101","Lothal","MISC","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-140","<END>","<END>","+140-032+","2066.1","L-118","Lothal","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","233-226","001-223","001-223-575","+233-226-032-001-223-575+","2135.1","L-219","Lothal","TAG","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-877","480-<END>","480","+877-032-480+","2138.1","L-222","Lothal","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-741","031-046","031-046","+741-032/031-046+","2158.1","M-2062","Mohenjo-daro","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","845-240","845-240-002-269-892-810-033","+740-032-845-240-002-269-892-810-033+","2193.1","M-1766","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-158","<END>","<END>","+158-032+","2209.1","-","Mohenjo-daro","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","741-390","<END>","<END>","+817-740-194/740-760-001-741-390-032+","2212.1","M-165","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","125-632","<END>","<END>","+390-600-617-002-190-125-632-032+","2226.1","M-1692","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","072-921","002-820","002-820","+740-760-072-921-032-002-820+","2229.1","M-1737","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","520-382","002-820","002-820-001-440-012","+520-382-032-002-820-001-440-012+","2236.1","M-1677","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","029-<END>","029","+032-029+","2267.1","M-1848","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-407","520-095","520-095-585-017-220","+407-032-520-095-585-017-220+","2284.2","M-2053","Mohenjo-daro","TAB:C","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","002-840","<END>","<END>","+740-760-268-002-840-032+","2290.1","M-1791","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-031","171-745","171-745","+031-032-171-745+","2329.1","M-1822","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-865","226-032","226-032-700-605","+865-032/226-032-700-605+","2336.1","M-1769","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","032-226","700-605","700-605","+865-032/226-032-700-605+","2336.1","M-1769","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","002-861","520-919","520-919-140","+520-070-219-002-861-032-520-919-140+","2342.1","M-1661","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-226","060-891","060-891","+226-032-060-891+","2349.1","M-1793","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-002","840-002-768","+740-032-840-002-768+","2375.1","M-1759","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","350-761","060-572","060-572","+298-350-761-032-060-572+","2390.1","M-1707","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","892-632","<END>","<END>","+790/400-296-350-892-632-032+","2405.1","M-1767","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-740","840-740-455-861","+740-032-840-740-455-861+","2413.1","M-1796","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-220","840-220","+740-032-840-220+","2432.1","M-2014","Mohenjo-daro","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","390-590","060-201","060-201","+740-390-590-032-060-201+","2448.1","M-1739","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","820-140","820-140-005","+032-820-140-005+","2461.1","M-1853","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","610-125","<END>","<END>","+520-033-705-233-240-002-610-125-032+","2473.1","M-1665","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-033","840-033-705-798","+740-032-840-033-705-798+","2486.1","M-1723","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","032-000","740-002","740-002-820","+832-390-032/000-032-740-002-820+","2515.1","M-1851","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","832-390","000-032","000-032-740-002-820","+832-390-032/000-032-740-002-820+","2515.1","M-1851","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-717","521-<END>","521","+717-032-521+","2532.1","M-3","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","061-070","033-706","033-706-235-806-002-267-455","+405-061-070-032-033-706-235-806-002-267-455+","2539.1","M-10","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","362-692","002-861","002-861","+350-001-740-362-692-032-002-861+","2549.1","M-21","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","923-382","923-382-233-002-112","+740-032-923-382-233-002-112+","2561.1","M-33","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","125-632","<END>","<END>","+740-690-435-255-220-032-240-235-002-390-125-632-032+","2566.1","M-38","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","302-840","<END>","<END>","+617-831-013-302-840-032+","2573.1","M-45","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","300-350","190-<END>","190","+527-550-240-220-032-002-300-350-032-190+","2577.1","M-49","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-904","220-415","220-415-235-803-002-504-717","+740-904-032-220-415-235-803-002-504-717+","2580.1","M-52","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-877","235-060","235-060-550-611-840","+740-877-032-235-060-550-611-840+","2584.1","M-56","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-226","231-798","231-798-002-693","+226-032-231-798-002-693+","2585.1","M-57","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-226","741-550","741-550-000-551","+226-032-741-550-000-551+","2590.1","M-62","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-226","002-390","002-390-692","+226-032-002-390-692+","2598.1","M-70","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-344","545-<END>","545","+740-344-032-545+","2605.1","M-78","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","794-734","235-<END>","235","+740-794-734-032-235+","2616.1","M-89","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-741","840-741-060-920","+740-032-840-741-060-920+","2640.1","M-113","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","125-632","900-563","900-563","+151-337-484-002-390-125-632-032-900-563+","2646.1","M-119","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-872","692-<END>","692","+872-032-692+","2661.1","M-134","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-205","002-252","002-252-840","+740-205-032-002-252-840+","2670.1","M-143","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","000-031","<END>","<END>","+740-575-017-000-000-031-032+","2694.1","M-169","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","061-070","741-861","741-861","+740-923-406-061-070-032-741-861+","2695.1","M-170","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","350-590","900-853","900-853","+298-350-590-032-900-853+","2720.1","M-195","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-877","233-<END>","233","+740-877-032-233+","2741.1","M-217","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","090-740","840-741","840-741-572-683","+090-740-032-840-741-572-683+","2764.1","M-241","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","742-315","<END>","<END>","+740-760-264-231-742-315-032+","2795.1","M-274","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-904","060-550","060-550","+740-904-032-060-550+","2826.1","M-307","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","171-031","171-<END>","171","+000-000-171-031-032-171+","2844.3","M-326","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-877","033-705","033-705-231-235-002-861-360-520-919-140","+740-877-032-033-705-231-235-002-861-360-520-919-140+","2851.1","M-355","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","420-125","820-920","820-920-140","+400-595-420-125-032-820-920-140+","2852.1","M-356","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","001-226","002-454","002-454","+001-226-032-002-454+","2863.1","M-367","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","142-384","154-806","154-806-467","+617-142-384-032-154-806-467+","2867.1","M-371","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-226","798-742","798-742-060-920","+226-032-798-742-060-920+","2883.1","M-387","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-220","840-220-002-861","+740-032-840-220-002-861+","2938.1","M-453","Mohenjo-daro","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-240","840-240-002-000","+740-032-840-240-002-000+","2939.1","M-454","Mohenjo-daro","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","840-221","840-221-150-741-070-255","+032-840-221-150-741-070-255+","2975.2","M-494","Mohenjo-daro","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","904-017","820-740","820-740-904-741","+921-100-415-904-017-032-820-740-904-741+","2975.3","M-494","Mohenjo-daro","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","840-267","840-267-150-741-070","+032-840-267-150-741-070+","2976.2","M-495","Mohenjo-daro","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","904-017","820-740","820-740-904-741","+740-100-415-904-017-032-820-740-904-741+","2976.3","M-495","Mohenjo-daro","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","407-071","<END>","<END>","+407-071-032+","2998.1;2999.1","M-523;M-524","Mohenjo-daro","TAB:C","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-407","520-095","520-095-585-017-231","+407-032-520-095-585-017-231+","3019.1;3020.1;3021.1;3791.1;3792.1;3793.1;3794.1;5587.1","-;M-1555;M-1556;M-1557;M-1558;M-547;M-548;M-549","Mohenjo-daro","TAB:C","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","142-597","905-<END>","905","+617-142-597-032-905+","3045.1;3046.1;3778.1;3780.1;3781.1;3782.2","M-1528;M-1530;M-1531;M-1532;M-575;M-576","Mohenjo-daro","TAB:C","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","142-597","905-407","905-407-004-002-365-460-495","+617-142-597-032-905/407-004-002-365-460-495+","3047.1","M-577","Mohenjo-daro","TAB:C","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-408","520-095","520-095-585-017-220","+408-032-520-095-585-017-220+","3061.2","M-599","Mohenjo-daro","TAB:C","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-840","<END>","<END>","+840-032+","3071.1","M-619","Mohenjo-daro","MISC","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","235-168","<END>","<END>","+740-388-807-033-706-233-235-168-032+","3114.1","M-675","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","923-070","033-706","033-706-231-242-002-861-901","+740-923-070-032-033-706-231-242-002-861-901+","3115.1","M-677","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","298-460","<END>","<END>","+740-798-231-002-298-460-032+","3119.1","M-683","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","590-850","<END>","<END>","+151-740-760-220/892-590-850-032+","3157.1","M-733","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","090-850","060-573","060-573","+090-850-032-060-573+","3166.1","M-742","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","390-590","<END>","<END>","+740-440-220-032-741-390-590-032+","3169.1","M-746","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-585","840-585-017-002-817","+740-032-840-585-017-002-817+","3190.1","M-776","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-226","803-<END>","803","+226-032-803+","3224.1","M-811","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","590-165","840-<END>","840","+590-165-032-840+","3240.1","M-828","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-384","803-002","803-002-820","+740-384-032-803-002-820+","3295.1","M-889","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-927","741-208","741-208","+740-927-032-741-208+","3296.1","M-890","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","742-706","<END>","<END>","+740-798-463-350-742-706-032+","3297.1","M-892","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","031-090","001-505","001-505","+151-031-090-032-001-505+","3301.1","M-896","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","390-590","741-527","741-527","+740-390-590-032-741-527+","3359.1","M-965","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","232-000","<END>","<END>","+232-000-032+","3391.1","M-999","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","415-070","002-820","002-820-000","+740-100-415-070-032-002-820-000+","3422.1","M-1045","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-235","840-235-002-861","+740-032-840-235-002-861+","3513.1","M-1152","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","923-877","803-000","803-000-000","+740-923-877-032-803-000-000+","3514.1","M-1153","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","002-168","<END>","<END>","+232-220-032-002-168-032+","3519.1","M-1159","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","270-633","<END>","<END>","+520-033-705-220-032/231-072-002-270-633-032+","3529.1","M-1169","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","090-740","840-<END>","840","+400-090-740-032-840+","3559.1","M-1224","Mohenjo-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-130","905-<END>","905","+130-032-905+","3581.1","M-1274","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","905-<END>","905","+032-905+","3584.1","M-1277","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","055-001","055-001-407-004","+740-032-055-001-407-004+","3613.1","M-1308","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","820-877","820-877","+032-820-877+","3614.1","M-1309","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","292-590","901-620","901-620","+127-381-292-590-032-901-620+","3621.1","M-1316","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-400","000-140","000-140","+400-032-000-140+","3637.1","M-1332","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-861","233-803","233-803-002-820","+740-861-032-233-803-002-820+","3650.1","M-1346","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","002-900","002-900-285","+032-002-900-285+","3657.1","M-1358","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-790","033-705","033-705","+790-032-033-705+","3673.1","M-1375","Mohenjo-daro","POT:T:s","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-760","002-817","002-817","+740-760-032-002-817+","3681.1;3681.3","M-1385","Mohenjo-daro","TAG:P","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","002-817","320-<END>","320","+000-000-000-798-002-817-032-320+","3685.1","M-1391","Mohenjo-daro","TAG:O","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","923-226","<END>","<END>","+400-740-923-226-032+","3719.1","M-1438","Mohenjo-daro","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","142-597","904-<END>","904","+617-142-597-032-904+","3779.1","M-1529","Mohenjo-daro","TAB:C","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-904","904-<END>","904","+904-032-904+","3798.1","M-1569","Mohenjo-daro","TAB:C","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-705","595-090","595-090-175","+705-032-595-090-175+","3823.1","M-1629","Mohenjo-daro","BNGL","outside 032 function control"
