"prev","next","frame","text","row_count","ids","cisis","sites","types","materials","companion_classes","prev_is_240","next_is_032","no_companion_side"
"740","235","740-220-235","+090-740-220-235-853+","1","2631.1","M-104","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"740","415","740-220-415","+400-740-220-415-798+","4","1234.1;1641.1;2953.1;2954.1","H-203;H-748;M-468;M-469","Harappa;Mohenjo-daro","TAB:B","-;Faience","no_companion_side","false","false","true"
"740","415","740-220-415","+679-740-220-415-001-820-812-820-140-820+","1","3084.1","M-634","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"740","741","740-220-741","+565-740-220-741-176+","1","2654.1","M-127","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"740","742","740-220-742","+090-740-220-742-534-550-090+","1","2823.1","M-304","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"760","003","760-220-003","+151-760-220-003-002-861+","1","303.1","H-1043","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"760","016","760-220-016","+740-760-220-016-382-741-572-684+","1","2639.1","M-112","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"760","892","760-220-892","+151-740-760-220/892-590-850-032+","1","3157.1","M-733","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"773","032","773-220-032","+740-773-220-032+","1","3041.1","M-571","Mohenjo-daro","TAB:C","Copper","no_companion_side","false","true","true"
"785","335","785-220-335","+871-947/400-740-543-350-895-785-220-335+","1","1890.1","K-15","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"790","415","790-220-415","+740-900-790-220-415-798-806+","1","2234.1","M-1956","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"798","032","798-220-032","+740-100-798-220-032-002-861-255-416+","1","2618.1","M-91","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"798","060","798-220-060","+740-798-220-060-820+","1","2427.1","M-1768","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"798","415","798-220-415","+740-798-220-415-741-072+","1","3100.1","M-661","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"798","742","798-220-742","+740-798-220-742-146+","1","1095.1","H-36","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"803","032","803-220-032","+740-803-220-032-220-002-820+","1","2292.1","M-1706","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"803","240","803-220-240","+740-690-435-255-803-220-240-235-002-817+","1","1073.1","H-12","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"803","368","803-220-368","+740-803-220-368-000+","1","2798.1","M-277","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"804","060","804-220-060","+930/804-220-060-550+","1","2779.1","M-256","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"817","632","817-220-632","+817-220-632-066-740-760-026-060-257+","1","3858.1","Nd-1","Nindowari-damb","SEAL:S","-","no_companion_side","false","false","true"
"820","063","820-220-063","+520-220-001-820-220-063-315+","1","3995.1","M-1843","Mohenjo-daro","SEAL:S","-","no_companion_side","false","false","true"
"820","065","820-220-065","+413-820-220-065-798-550-820+","1","2635.1","M-108","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"832","003","832-220-003","+520-070-255-832-220-003-853+","1","3118.1","-","Unknown","SEAL:S","-","no_companion_side","false","false","true"
"840","002","840-220-002","+740-032-840-220-002-861+","1","2938.1","M-453","Mohenjo-daro","TAB:B","Faience","no_companion_side","false","false","true"
"845","415","845-220-415","+407-845-220-415+","3","2983.1;2984.1;3733.1","M-1456;M-507;M-508","Mohenjo-daro","TAB:C","Copper","no_companion_side","false","false","true"
"879","415","879-220-415","+740-879-220-415-002-287-140+","1","2636.1","M-109","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"879","416","879-220-416","+244-165/740-879-220-416-803-002-861+","1","130.1","-","Dholavira","SEAL:S","Steatite","no_companion_side","false","false","true"
"892","920","892-220-920","+400-202-892-220-920+","2","1216.1;1217.1","H-183;H-184","Harappa","TAB:B","-;Steatite","no_companion_side","false","false","true"
"904","032","904-220-032","+740-407-590-904-220-032-803-060-920+","1","2063.1","L-114","Lothal","SEAL:R","Steatite","no_companion_side","false","true","true"
"904","032","904-220-032","+740-904-220-032-002-142+","1","2381.1","M-1686","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"923","032","923-220-032","+000-740-923-220-032-002-817+","1","3144.1","M-720","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"923","032","923-220-032","+740-923-220-032-002-820+","1","2699.1","M-174","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"923","032","923-220-032","+740-923-220-032+","1","2651.1","M-124","Mohenjo-daro","SEAL:S","Clay","no_companion_side","false","true","true"
"924","528","924-220-528","+093-340-924-220-528+","1","3897.1","-","Ur","SEAL:C","Steatite","no_companion_side","false","false","true"
"958","278","958-220-278","+520-070-220-032-240-838-741-958-220-278+","1","2403.1","M-1690","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
