object,site,region,type,material,shape,symbol,condition,complete,constraint_statuses,text
H-389,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,740_before_002:pass,+740-405-590-235-002-031-480-625+
H-405,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Poor,Y,806_before_002:pass,+236-806-002-863+
H-408,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass,+740-176-240-002-702-503+
H-410,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,Good,Y,002_before_861:pass,+368-840-830-002-861+
H-411,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_820:pass,+740-440-240-001-820+
H-417,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,740_before_002:pass,+740-255-706-002-000[
H-444,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,002_before_861:pass,+241-220-032-002-861+
H-446,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-585-798-002-861-216+
H-456,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Fair,Y,002_before_817:pass,+520-033-706-002-817-808+
H-457,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:J,Fair,Y,740_before_002:pass,+740-798-003-002-416+
H-459,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:T,Poor,Y,002_before_817:pass,+527-555-231-002-817+
H-461,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:S,Good,N,740_before_002:pass,+090-740-384-002-452-000+
H-468,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass,+740-900-003-002-940-705+
H-471,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,?,400_before_740:fail,+740-400-142-061-368[
H-472,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_820:pass,+740-585-900-014-820+
H-476,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,740_before_002:pass,+740-100-717-002-000[
H-478,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-770-235-002-817+
H-484,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,?,002_before_817:pass,]233-002-817+
H-486,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,002_before_861:pass,]002-000-861-031+
H-506,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Good,Y,002_before_820:fail,+294-350-595-820-002-820+
H-514,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,002_before_820:pass,+151-220-016-002-820+
H-563,Harappa,Inter-Riverine,SEAL,NA,NA,NA,Poor,?,740_before_002:pass,+740-335-002-630[
H-574,Harappa,Inter-Riverine,SEAL,Steatite,square,NA,Poor,N,002_before_820:pass,]000-803-002-820+
H-593,Harappa,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,N,740_before_002:pass,+740-760-235-240-002-220-000[
H-597,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-390-590-070-032-002-861+
H-598,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,740_before_002:pass,+740-639-240-002-435-255-777+
H-609,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,002_before_817:pass,]798-233-231-002-817-000+
H-612,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,Poor,Y,740_before_002:pass,+740-615-495-002-825+
H-640,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Poor,?,002_before_817:pass,]220-032-002-817+
H-649,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,002_before_820:pass;806_before_002:pass,+520-033-705-233-240-806-002-820+
H-651,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,002_before_861:pass,]031-002-861+
H-653,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,002_before_820:pass,+000-000-000-000-002-820+
H-658,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,002_before_817:pass,]900-002-817+
H-688,Harappa,Inter-Riverine,SEAL,NA,NA,NA,Poor,Y,002_before_861:pass,+520-233-002-861-831-165+
H-702,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Mult,Poor,Y,002_before_820:pass,+137-002-820+
H-706,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Gavi,Poor,Y,002_before_820:pass,+700-033-137-002-820+
H-719,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Phyt,Fair,Y,002_before_861:pass,+405-004-002-861+
H-722,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Poor,N,400_before_740:pass,+400-090-740-000[
M-1312,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,400_before_740:pass,+400-740-220+
H-763,Harappa,Inter-Riverine,TAB:B,Steatite,rectangular,NA,Poor,?,400_before_740:pass,+400-740-920-320-233[
H-768,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,N,400_before_740:pass,+400-740-033-705-233-235-000+
H-773,Harappa,Inter-Riverine,TAB:B,Faience,plano-convex,NA,Fair,Y,740_before_002:pass,+740-798-803-002-390-530-741+
H-783,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,NA,Poor,N,400_before_740:pass,+400-740-690-000+
H-787,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,400_before_740:pass,+400-740-176-700-033+
H-790,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,400_before_740:pass,+400-740-384-033+
H-802,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,400_before_740:pass,+400-740-337-000+
H-817,Harappa,Inter-Riverine,TAB:B,Faience,notched oval,NA,Fair,Y,400_before_740:pass,+400-740-336-018+
H-820,Harappa,Inter-Riverine,TAB:B,Faience,crescent,NA,Poor,N,740_before_861:pass,+000-740-861-000+
H-829,Harappa,Inter-Riverine,TAB:B,NA,semi-circular,NA,Fair,Y,002_before_820:pass,+139-002-820+
-:4290.1,Rajanpur,Inter-Riverine,TAB:B,NA,rectangular,Maze,Good,Y,400_before_740:pass,+400-740-690-436-255+
H-836,Harappa,Inter-Riverine,TAB:B,NA,NA,NA,Poor,N,400_before_740:pass,+400-000-740-000-000+
H-838,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-615-495-002-817+
H-1149,Harappa,Inter-Riverine,TAB:B,NA,circular,NA,Fair,Y,400_before_740:pass,+400-740-790+
H-842,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,400_before_740:pass;740_before_861:pass,+400-740-861+
H-844,Harappa,Inter-Riverine,TAB:B,NA,prism,Xhch,Poor,N,740_before_002:pass,+740-840-002+
H-1151,Harappa,Inter-Riverine,TAB:B,NA,rectangular,Phyt,Poor,N,400_before_740:pass,+400-740-840-000+
H-846,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Fair,Y,400_before_740:pass,+400-740-100-031-705+
H-854,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Poor,Y,400_before_740:pass,+400-740-335-003+
H-875,Harappa,Inter-Riverine,TAB:B,Clay,cuboid,NA,Fair,Y,400_before_740:pass,+400-740-840-013+
H-891,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,N,400_before_740:pass,+400-740-590-017-000+
H-893,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,400_before_740:pass,+400-740-337+
H-895,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,N,400_before_740:pass,+400-740-630-000[
H-904,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,740_before_002:pass,+740-032-840-002+
H-909,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,N,002_before_820:pass,+002-820-000[
H-1191,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Good,Y,400_before_740:pass,+400-740-760-220-416+
H-916,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,400_before_740:pass,+400-740-032-059+
H-977,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,N,400_before_740:pass,+400-740-032-000[
H-926,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,N,400_before_740:pass,+400-740-840-000-220+
H-1160,Harappa,Inter-Riverine,TAB:I,NA,rectangular,Gavi,Poor,N,400_before_740:pass,+400-740-760-000[
H-983,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Fair,Y,400_before_740:pass,+400-740-637-240+
Jk-2,Jhukar,Lower Indus,SEAL:S,NA,square,Bull1:J,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-803-233-002-817+
K-2,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,N,740_before_002:pass,+740-585-017-002-000+
K-6,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:II,Fair,Y,740_before_861:pass;740_before_820:pass,+622-740-717/368-861-820-551+
K-10,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Fine,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-690-435-255-002-368-861-590-032-368+
K-12,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,N,002_before_820:pass,+000-003-002-820+
K-15,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:II,Fine,Y,400_before_740:pass,+871-947/400-740-543-350-895-785-220-335+
K-16,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:X,Fine,Y,740_before_820:pass,+090-740-240/060-820+
K-23,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-441-002-820-033+
K-24,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_002:pass,+740-760-093-002-252-575+
K-28,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Gaur,Good,Y,740_before_002:pass,+440-411-740-335-002-285-491+
K-33,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Buff,Fine,Y,002_before_861:pass,+226-002-861+
K-40,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Elep,Fine,Y,002_before_861:pass,+760-031-002-861-791-440-717+
K-44,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,N,740_before_002:pass,+740-337-176-002-000-000[
K-68,Kalibangan,Inter-Riverine,TAB:B,Faience,cuboid,Bull1,Poor,Y,400_before_740:pass,+400-740-263+
K-78,Kalibangan,Inter-Riverine,TAB:B,Terracotta,rectangular-round,Gavi,Good,Y,740_before_002:pass;740_before_820:pass;740_before_817:pass;002_before_820:pass;002_before_817:fail,+740-817-390-002-820+
M-712,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,002_before_861:pass,+390-003-002-861+
K-85,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Elep,Fair,Y,002_before_861:pass,+520-033-002-861+
K-87,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Mult,Poor,N,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-000-000-002-861[
K-88,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Bull1,Poor,N,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-000-460-002-861+
K-89,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Bull1,Fair,Y,740_before_002:pass,+090-740-362-002-360-832+
K-98,Kalibangan,Inter-Riverine,POT:T:g,NA,NA,NA,Poor,?,400_before_740:pass,+400-740-411-590[
Lh-1,Lohumjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Fair,Y,740_before_002:pass,+740-760-615-104-717-235-002-392-590-125+
L-4,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_002:pass,+090-740-100-233-002-575-031+
L-5,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:J,Poor,N,740_before_002:pass,+740-760-552/000-002-455-692-416+
L-11,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:L,Good,Y,002_before_817:pass,+590-705-435-255-778-002-817+
L-18,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:S,Good,Y,002_before_820:pass,+415-031-002-820+
L-25,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,N,740_before_002:pass,+740-016-002-000[
L-39,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Fair,Y,002_before_861:pass,+520-315-002-861-626+
L-41,Lothal,Gujarat/Kutch,SEAL:S,Clay,square,Bull,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+090-740-233-002-817+
L-46,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Gaur,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+527-388-233-740-176-002-861-392+
L-57,Lothal,Gujarat/Kutch,SEAL:S,NA,square,NA,Fair,Y,002_before_861:pass,+832-002-861+
L-60,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,NA,Poor,Y,740_before_861:pass,+740-861-140+
L-62,Lothal,Gujarat/Kutch,SEAL,Steatite,NA,NA,Poor,?,002_before_861:pass,]003-002-861[
L-65,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,Poor,?,002_before_861:pass,]240-002-861+
L-82,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,806_before_002:pass,+806-231-002-221+
L-83,Lothal,Gujarat/Kutch,SEAL:L,Agate,oval,NA,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass;806_before_002:pass,+740-806-240-002-820+
L-84,Lothal,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Fair,Y,002_before_817:pass,+048-002-817+
L-87,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,740_before_002:pass,+740-032-840-233-220-032-060-825-002+
L-89,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,002_before_861:pass,+527-555-235-002-861+
L-92,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,002_before_817:pass,+520-070-255-832-002-817+
L-95,Lothal,Gujarat/Kutch,SEAL:R,Clay,rectangular,NA,Poor,N,740_before_002:pass,+740-000-175-002-880+
L-112,Lothal,Gujarat/Kutch,SEAL:R,Clay,rectangular,NA,Poor,Y,740_before_002:pass,+740-760-605-002-540-590+
L-122,Lothal,Gujarat/Kutch,SEAL:R,Agate,cuboid,NA,Fair,Y,740_before_820:pass,+527-550-740-443-060-820+
L-202,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,002_before_861:pass,]236-002-861+
M-895,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-048-002-817+
L-191,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,002_before_861:pass,]235-002-861+
L-198,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,740_before_002:pass,+740-390-590-032-002-000[
L-205,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,740_before_002:pass,+740-798-803-002-000[
L-207,Lothal,Gujarat/Kutch,TAG,Clay,square,Bull1,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-482-002-820+
L-208,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,002_before_820:pass,]234-220-002-820[
L-211,Lothal,Gujarat/Kutch,TAG,Clay,NA,Bull,Poor,N,740_before_002:pass,+740-388-233-220-002-000[
L-226,Lothal,Gujarat/Kutch,POT:T:g,NA,NA,NA,Poor,N,002_before_861:pass,]000-495-002-861+
M-1755,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-176-002-861+
M-1696,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:II,Fair,Y,002_before_861:pass,+520-033-705-220-415-002-861+
M-1880,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Poor,Y,002_before_861:pass,+151-176-002-861+
M-1850,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,002_before_817:pass,+506-002-817+
M-1953,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,407_before_806:pass,+407-845-233-806+
M-1766,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740_before_002:pass,+740-032-845-240-002-269-892-810-033+
M-1895,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,N,740_before_002:pass,+740-923-000-002-285+
M-2003,Mohenjo-daro,Lower Indus,POT:T:s,Clay,NA,NA,Poor,?,740_before_820:pass,]740-831-820-705+
M-1976,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,002_before_817:pass,+617-142-002-817+
M-2089,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,002_before_861:pass,+002-861-096+
M-2113,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,400_before_740:pass,+400-740-760-435-690+
M-165,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,740_before_817:fail,+817-740-194/740-760-001-741-390-032+
M-235,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+368-001-550/740-543-350-002-820+
M-1675,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,002_before_820:pass,+621-390-844-002-820+
M-1676,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,740_before_002:pass,+740-760-070-255-832-240-002-595-504-803+
M-1737,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-760-072-921-032-002-820+
M-1916,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Fair,Y,740_before_002:pass,+740-604-142-002-518+
M-1677,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,002_before_820:pass,+520-382-032-002-820-001-440-012+
M-1778,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,N,002_before_861:pass,]000-235-002-861+
M-1674,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+090-740-222-231-002-861-683+
M-940,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,002_before_817:pass,+527-555-002-817+
M-1704,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-760-605-002-861+
M-1753,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-760-519-240-002-861+
M-656,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,002_before_861:pass,]000-920-705-803-002-861+
M-1721,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-042-002-820+
M-963,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-176-002-817+
M-1709,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,002_before_817:pass,+621-520-220-002-817+
M-1668,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,740_before_002:pass,+740-773-233-803-002-320-705-125+
M-1717,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740_before_817:pass,+740-760-017-503-368-817+
M-1860,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,?,002_before_861:pass,]231-002-861+
M-1726,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-615-495-240-002-861+
M-1990,Mohenjo-daro,Lower Indus,SEAL,Steatite,rectangular,NA,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-760-440-240-220-002-861+
M-1974,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,400_before_002:pass;002_before_820:pass,+064-031-400-521-002-820+
M-1746,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+090-740-100-415-240-002-817+
M-1760,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740_before_820:pass,+740-923-240-235-060-820+
M-2050,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Anth,Fair,Y,407_before_806:pass,+740-900-850-407-061-845-806+
M-1791,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass,+740-760-268-002-840-032+
M-1706,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-803-220-032-220-002-820+
M-808,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_820:pass,+740-455-240-235-060-820+
M-1711,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-760-049-002-817+
M-1772,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,400_before_740:fail;400_before_002:pass;740_before_002:pass,+740-400-142-061-002-798-435-255-705+
M-1708,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-585-017-002-817+
M-1810,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass,+740-100-140-003-002-156-920+
M-1763,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:W,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+416-001-565-740-220-032-002-861+
M-1891,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,400_before_740:pass,+400-740-017-503-240+
M-1955,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,002_before_820:pass,+390-920-322-803-002-820+
M-1661,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,002_before_861:pass,+520-070-219-002-861-032-520-919-140+
M-1804,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_820:pass,+740-798-231-060-820+
M-1714,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Fair,Y,740_before_861:pass,+617-243-031-740-861+
M-1899,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,002_before_861:pass,+924-132-002-861+
M-2098,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Good,Y,400_before_740:pass,+400-740-176-140+
M-1928,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Fair,N,002_before_861:pass,+000-233-220-002-861+
M-1693,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Good,Y,002_before_817:pass,+527-555-033-706-235-002-817+
M-1893,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,740_before_817:pass,+740-927-033-817+
M-1789,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:I,Good,Y,740_before_002:pass,+740-455-002-368-260+
M-1759,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740_before_002:pass,+740-032-840-002-768+
M-1842,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,002_before_861:pass,+520-000-235-002-861+
K-157,Kalibangan,Inter-Riverine,TAB:B,Terracotta,rectangular-round,Gavi,Poor,N,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-000-000-002-820+
M-1686,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass,+740-904-220-032-002-142+
-:2388.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-637-240-002-861+
M-1681,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+520-072-233-740-798-002-861-832+
M-1651,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,400_before_740:pass,+400-740-585-838-240+
M-803,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,002_before_817:pass,+390-005-002-817+
M-1927,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Mult,Fair,N,002_before_817:pass,]000-005-002-817+
M-1883,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740_before_002:pass,+090-740-035-171-061-031-002-069+
M-1787,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,N,740_before_002:pass,+740-061-002-703-000+
M-1911,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Good,Y,002_before_820:pass,+621-390-531-002-820+
M-1725,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,400_before_740:pass,+400-740-100-140-003+
M-1796,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740_before_861:pass,+740-032-840-740-455-861+
M-1728,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,002_before_820:pass,+161-055-240-220-032-002-820+
M-2129,Mohenjo-daro,Lower Indus,IMPL,Gold,NA,NA,Good,Y,002_before_817:pass,+898-017-645-002-817+
M-1954,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-407-590-031-752-033-705-220-415-798-002-861+
M-1768,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_820:pass,+740-798-220-060-820+
M-1830,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:X,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-388-002-820+
